id,s,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0,0,1.163004,5.295264,1.385711,0.560003,3.836718,1.723688
1,0.199801,0.965006,5.321339,1.492212,0.506488,3.925455,2.161053
2,0.399601,0.76537,5.327281,1.588137,0.454583,4.03395,2.566375
3,0.599402,0.566004,5.315067,1.674289,0.408185,4.15912,2.900517
4,0.799202,0.368285,5.286646,1.751342,0.363454,4.296199,3.250436
5,0.999003,0.173141,5.243946,1.819658,0.320598,4.444795,3.622137
6,1.198803,-0.018877,5.188835,1.879544,0.279001,4.604738,4.036879
7,1.398604,-0.207532,5.123105,1.931219,0.238375,4.776689,4.510164
8,1.598404,-0.392847,5.048461,1.974874,0.19868,4.961756,5.053762
9,1.798205,-0.575058,4.966517,2.010659,0.159589,5.161251,5.240574
10,1.998005,-0.754566,4.878801,2.038701,0.121227,5.360285,5.235903
11,2.197806,-0.931896,4.786755,2.059225,0.084228,5.55202,5.231235
12,2.397606,-1.107655,4.691738,2.072342,0.047127,5.737188,5.226572
13,2.597407,-1.282513,4.595068,2.078094,0.010479,5.916407,5.221913
14,2.797208,-1.457167,4.49803,2.076546,-0.025946,6.090202,0.082076
15,2.997008,-1.632322,4.401899,2.067737,-0.062216,6.092894,-6.685501
16,3.196809,-1.808657,4.307953,2.051687,-0.098438,5.869567,-5.739366
17,3.396609,-1.986804,4.217494,2.028396,-0.13472,5.670835,-4.897335
18,3.59641,-2.167318,4.131865,1.997838,-0.171185,5.495579,-4.129846
19,3.79621,-2.350651,4.052461,1.959979,-0.207833,5.343322,-3.402756
20,3.996011,-2.537118,3.98074,1.914755,-0.244854,5.214532,-2.701969
21,4.195811,-2.726863,3.918223,1.862166,-0.281724,5.109955,-1.922611
22,4.395612,-2.919818,3.866487,1.802069,-0.320949,5.034219,-0.830677
23,4.595412,-3.115693,3.827274,1.733054,-0.368836,5.001142,-0.055746
24,4.795213,-3.313907,3.802539,1.65563,-0.400174,4.998915,-0.055746
25,4.995014,-3.513447,3.793427,1.578015,-0.374711,4.996686,0.588932
26,5.194814,-3.713119,3.799162,1.507639,-0.330121,5.02018,1.624
27,5.394615,-3.911988,3.818055,1.445922,-0.287961,5.084404,2.4982
28,5.594415,-4.109452,3.848362,1.392429,-0.24773,5.181645,3.288695
29,5.794216,-4.305182,3.888408,1.346828,-0.208896,5.30694,4.053904
30,5.994016,-4.499077,3.936592,1.308887,-0.170993,5.457431,4.84078
31,6.193817,-4.691218,3.991374,1.278464,-0.133584,5.631868,5.229243
32,6.393617,-4.881832,4.051265,1.2555,-0.096274,5.814426,5.224582
33,6.593418,-5.071261,4.114811,1.240013,-0.05869,5.991268,5.219924
34,6.793218,-5.259933,4.180572,1.232092,-0.020486,6.162887,-7.068981
35,6.993019,-5.448334,4.247101,1.231891,0.018608,5.929284,-8.197099
36,7.192819,-5.636981,4.312924,1.239603,0.058782,5.646312,-7.152984
37,7.39262,-5.826385,4.376521,1.255478,0.100328,5.387253,-6.26057
38,7.592421,-6.017024,4.436303,1.279793,0.143231,5.149832,-5.499418
39,7.792221,-6.20929,4.490599,1.312793,0.187263,4.931855,-4.847912
40,7.992022,-6.403447,4.53766,1.354699,0.232379,4.731381,-4.288581
41,8.191822,-6.599573,4.575654,1.405727,0.278515,4.546674,-3.810718
42,8.391623,-6.797499,4.602676,1.46605,0.32544,4.376011,-3.374938
43,8.591423,-6.996752,4.616777,1.535854,0.374408,4.219105,-2.889356
44,8.791224,-7.196493,4.615923,1.616114,0.429393,4.079983,-2.391213
45,8.991024,-7.395414,4.597945,1.707677,0.487153,3.961152,-1.862872
46,9.190825,-7.591631,4.560714,1.810932,0.546654,3.866047,-1.217472
47,9.390625,-7.782604,4.502303,1.926427,0.609606,3.802607,-0.418263
48,9.590426,-7.965044,4.421101,2.054882,0.672626,3.780566,-0.031856
49,9.790227,-8.134935,4.316242,2.193986,0.700283,3.778882,-0.031856
50,9.990027,-8.288735,4.188953,2.328614,0.64878,3.777197,0.711883
51,10.189828,-8.424791,4.042829,2.453622,0.604042,3.814668,1.177702
52,10.389628,-8.542261,3.881359,2.5704,0.565706,3.875861,1.468283
53,10.589429,-8.640765,3.707648,2.679996,0.532801,3.950826,1.648677
54,10.789229,-8.720249,3.524412,2.78377,0.507607,4.033341,1.70604
55,10.98903,-8.780731,3.334069,2.883442,0.485606,4.116986,1.731369
56,11.18883,-8.822558,3.138778,2.976533,0.450601,4.200171,2.011399
57,11.388631,-8.846599,2.940455,3.064586,0.42279,4.294786,2.16041
58,11.588431,-8.853897,2.740862,-3.13926,0.377136,4.394143,2.674996
59,11.788232,-8.846102,2.541285,-3.066669,0.354339,4.514136,2.734021
60,11.988032,-8.824155,2.342744,-2.996539,0.348034,4.633567,2.479836
61,12.187833,-8.788474,2.146218,-2.927691,0.340369,4.739292,2.304912
62,12.387634,-8.739514,1.952547,-2.860529,0.332668,4.835487,2.169416
63,12.587434,-8.677795,1.762561,-2.794617,0.327318,4.92431,2.008831
64,12.787235,-8.603784,1.577011,-2.72963,0.323512,5.005154,1.839624
65,12.987035,-8.517938,1.396629,-2.665245,0.321142,5.078059,1.6613
66,13.186836,-8.420696,1.222123,-2.601203,0.320241,5.143009,1.470453
67,13.386636,-8.312489,1.054193,-2.537157,0.321048,5.19982,1.259141
68,13.586437,-8.193734,0.893544,-2.472869,0.321873,5.247979,1.073764
69,13.786237,-8.064892,0.74086,-2.408349,0.32632,5.288702,0.810322
70,13.986038,-7.926396,0.596914,-2.34273,0.322059,5.319226,0.82449
71,14.185838,-7.778946,0.462116,-2.281066,0.291708,5.350106,1.586412
72,14.385639,-7.62387,0.336126,-2.225973,0.265678,5.409027,2.161649
73,14.58544,-7.462337,0.218589,-2.174016,0.256001,5.488293,2.221718
74,14.78524,-7.295001,0.10946,-2.123701,0.245179,5.568587,2.328041
75,14.985041,-7.122515,0.008644,-2.076267,0.229992,5.6515,2.582918
76,15.184841,-6.945586,-0.084136,-2.031719,0.216271,5.742089,2.795642
77,15.384642,-6.764811,-0.169185,-1.989778,0.20385,5.838556,2.974964
78,15.584442,-6.580722,-0.246801,-1.950199,0.192642,5.939489,3.125364
79,15.784243,-6.39378,-0.317274,-1.912749,0.182429,6.04371,3.255022
80,15.984043,-6.204394,-0.380888,-1.877267,0.172878,6.150377,3.376149
81,16.183844,-6.012921,-0.437923,-1.843644,0.163787,6.259094,3.496058
82,16.383644,-5.819684,-0.488663,-1.811803,0.155007,6.369716,3.620338
83,16.583445,-5.624967,-0.533395,-1.781689,0.146506,6.482281,3.750084
84,16.783245,-5.429022,-0.572408,-1.753252,0.13817,6.596856,3.889957
85,16.983046,-5.232074,-0.605997,-1.726451,0.130277,6.713638,4.027474
86,17.182847,-5.034319,-0.634448,-1.701149,0.123222,6.832446,4.143591
87,17.382647,-4.835919,-0.658022,-1.677216,0.116203,6.952561,4.275152
88,17.582448,-4.637025,-0.676985,-1.654715,0.109056,7.074352,4.430481
89,17.782248,-4.437765,-0.691607,-1.633603,0.102485,7.198395,4.573962
90,17.982049,-4.238245,-0.702146,-1.613737,0.096441,7.324251,4.706775
91,18.181849,-4.038556,-0.708837,-1.59502,0.091148,7.451542,4.815116
92,18.38165,-3.838783,-0.711888,-1.57725,0.086993,7.579552,4.874116
93,18.58145,-3.638984,-0.711465,-1.560212,0.083743,7.706965,4.893372
94,18.781251,-3.439204,-0.707693,-1.54365,0.082721,7.832797,4.787964
95,18.981051,-3.239533,-0.700628,-1.527344,0.079122,7.953991,4.853107
96,19.180852,-3.040004,-0.690418,-1.512269,0.070985,8.074979,5.154539
97,19.380653,-2.84062,-0.677365,-1.498732,0.066089,8.201527,-1.886121
98,19.580453,-2.641437,-0.661673,-1.485613,0.066026,8.155449,-5.756672
99,19.780254,-2.442486,-0.643352,-1.472244,0.06817,8.013175,-5.627662
100,19.980054,-2.243794,-0.622316,-1.458227,0.072795,7.871605,-5.43944
101,20.179855,-2.04543,-0.598391,-1.443113,0.078509,7.732306,-5.24835
102,20.379655,-1.847468,-0.571357,-1.42683,0.084594,7.595479,-5.055838
103,20.579456,-1.649991,-0.54098,-1.40929,0.091041,7.461299,-4.866664
104,20.779256,-1.453099,-0.507015,-1.390433,0.097777,7.32982,-4.683137
105,20.979057,-1.25691,-0.46921,-1.370203,0.104764,7.201033,-4.507273
106,21.178857,-1.061556,-0.427307,-1.348556,0.111967,7.074869,-4.340325
107,21.378658,-0.867189,-0.381044,-1.325449,0.119361,6.951213,-4.182953
108,21.578458,-0.673982,-0.33016,-1.300848,0.126932,6.829923,-4.035235
109,21.778259,-0.482128,-0.274391,-1.274716,0.134677,6.71084,-3.896509
110,21.97806,-0.291846,-0.213481,-1.247019,0.142611,6.593809,-3.765612
111,22.17786,-0.103377,-0.147175,-1.217715,0.150762,6.478702,-3.640198
112,22.377661,0.083007,-0.075222,-1.186757,0.15919,6.36545,-3.518562
113,22.577461,0.267007,0.002622,-1.154083,0.167942,6.254033,-3.397607
114,22.777262,0.448291,0.086596,-1.119622,0.177104,6.144529,-3.271155
115,22.977062,0.626487,0.176931,-1.083275,0.186845,6.037225,-3.157093
116,23.176863,0.801188,0.273853,-1.044958,0.196706,5.931822,-3.033626
117,23.376663,0.971941,0.377566,-1.004617,0.207279,5.828745,-2.835803
118,23.576464,1.138248,0.488267,-0.961948,0.220378,5.730714,-2.579985
119,23.776264,1.299518,0.606185,-0.916437,0.23549,5.640045,-2.297533
120,23.976065,1.455061,0.731558,-0.867794,0.251566,5.558059,-1.956207
121,24.175866,1.604102,0.864592,-0.815786,0.269375,5.487287,-1.524636
122,24.375666,1.745766,1.005456,-0.759994,0.289521,5.431489,-0.87873
123,24.575467,1.879038,1.154294,-0.699698,0.31514,5.399067,-0.387172
124,24.775267,2.002702,1.311191,-0.634704,0.333762,5.38472,-0.31798
125,24.975068,2.115737,1.475888,-0.568869,0.319526,5.372909,-0.78718
126,25.174868,2.218005,1.647507,-0.506197,0.310219,5.343556,-1.184122
127,25.374669,2.309418,1.825142,-0.444335,0.309896,5.299095,-1.327454
128,25.574469,2.389674,2.008078,-0.382632,0.307229,5.248806,-1.550762
129,25.77427,2.458571,2.195595,-0.321766,0.301797,5.189439,-1.900537
130,25.97407,2.516011,2.386917,-0.26156,0.301481,5.115742,-2.115763
131,26.173871,2.561863,2.581357,-0.20181,0.296178,5.032431,-2.475294
132,26.373671,2.596027,2.778172,-0.141351,0.311429,4.933176,-2.167393
133,26.573472,2.617855,2.976736,-0.076793,0.335957,4.844598,-2.157287
134,26.773273,2.626384,3.176317,-0.008224,0.349129,4.754795,-2.132137
135,26.973073,2.620967,3.376003,0.062957,0.363871,4.664341,-2.127646
136,27.172874,2.601073,3.574766,0.136995,0.377306,4.572293,-2.151916
137,27.372674,2.566253,3.77146,0.213975,0.393735,4.477271,-2.138079
138,27.572475,2.516082,3.964804,0.294419,0.411886,4.380819,-2.09427
139,27.772275,2.450179,4.153361,0.378763,0.43295,4.284239,-2.040993
140,27.972076,2.368232,4.335513,0.467517,0.456017,4.187974,-1.949229
141,28.171876,2.270045,4.50944,0.56122,0.482581,4.093924,-1.829552
142,28.371677,2.155573,4.673097,0.660496,0.511956,4.003638,-1.635615
143,28.571477,2.024982,4.824192,0.766119,0.546237,3.921164,-1.337444
144,28.771278,1.87871,4.960141,0.879129,0.585918,3.852412,-0.892632
145,28.971079,1.717564,5.078054,1.000575,0.631002,3.805836,-0.032283
146,29.170879,1.542857,5.1747,1.132445,0.691014,3.80414,-0.032283
147,29.37068,1.356784,5.247077,1.265625,0.644083,3.802444,0.655211
