# IFAC 결선 프로파일 (2026-08-27) — map 라인(장애물 구간용)
# 컨트롤러 max_lateral_accel 8.5 / base_max_accel 5.5 / prebrake_decel 3.2 와 한 묶음.
#  ay 8.20 : 구 7.80 은 컨트롤러 천장(8.5) 아래로 0.7 을 남겨두고 있었다 -> 랩당 -0.22s
#  ax 5.20 : 실측 p99 5.58. 구 4.70->3.58 은 고속에서 실측의 64% 로 과소
#  decel   : 실측 감속 p5 -3.40 (0826 20:00). prebrake_decel 3.2 와 일치시킨다
# speed_mps,max_accel_mps2,max_decel_mps2,max_lateral_accel_mps2
0,5.20,3.20,8.20
1,5.20,3.20,8.20
2,5.20,3.20,8.20
3,5.20,3.20,8.20
4,5.20,3.20,8.20
5,5.20,3.20,8.20
6,5.10,3.20,8.20
7,5.00,3.20,8.20
8,5.00,3.20,8.20
9,5.00,3.20,8.20
