id,s,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left,d_right
0,0,-0.706042,15.188966,-2.469165,0.497831,3.471641,0.325829,0.95,2.125
1,0.250472,-0.891881,15.021037,-2.34523,0.491179,3.49507,-0.717159,0.95,1.675
2,0.500922,-1.055679,14.831576,-2.220268,0.50606,3.443297,0.873463,0.95,1.3
3,0.751354,-1.194188,14.622935,-2.095707,0.488052,3.506248,1.3241,1.025,1.025
4,1.001774,-1.306205,14.398965,-1.976543,0.463072,3.599575,3.436396,1.025,0.85
5,1.252198,-1.391541,14.163529,-1.86732,0.408774,3.831195,3.7,1.125,0.775
6,1.502636,-1.452364,13.92059,-1.773401,0.340986,4.065869,3.7,1.175,0.7
7,1.753091,-1.49224,13.673329,-1.697179,0.267532,4.287734,3.7,1.2,0.65
8,2.003562,-1.515469,13.423937,-1.638745,0.199008,4.498683,3.7,1.2,0.625
9,2.254038,-1.526241,13.173693,-1.593313,0.163713,4.700177,3.7,1.225,0.6
10,2.504529,-1.526746,12.923203,-1.566868,0.047435,4.893393,3.7,1.225,0.6
11,2.755021,-1.524273,12.672723,-1.564024,-0.024728,5.079266,3.668294,1.225,0.6
12,3.005513,-1.523353,12.422233,-1.567121,0,5.257062,3.597175,1.225,0.6
13,3.256005,-1.522432,12.171742,-1.567121,0,5.425756,3.529698,1.225,0.65
14,3.506497,-1.521511,11.921252,-1.567121,0,5.586336,3.465466,1.2,0.675
15,3.75699,-1.520591,11.670761,-1.567121,0,5.739625,3.40415,1.25,0.675
16,4.007482,-1.51967,11.420271,-1.567121,0,5.886316,3.345473,1.25,0.675
17,4.257974,-1.518749,11.16978,-1.567121,0,6.027002,3.291899,1.25,0.675
18,4.508466,-1.517829,10.91929,-1.567121,0,6.1623,3.25131,1.25,0.675
19,4.758959,-1.516908,10.668799,-1.567121,0,6.293075,3.212077,1.2,0.725
20,5.009451,-1.515987,10.418308,-1.567121,0,6.419657,3.174103,1.25,0.725
21,5.259943,-1.515067,10.167818,-1.567121,0,6.542337,3.137299,1.25,0.725
22,5.510435,-1.514146,9.917327,-1.567121,0,6.661375,3.101588,1.25,0.725
23,5.760928,-1.513225,9.666837,-1.567121,0,6.777002,3.066899,1.25,0.725
24,6.01142,-1.512305,9.416346,-1.567121,0,6.889429,3.033171,1.25,0.725
25,6.261912,-1.511384,9.165856,-1.567121,0,6.998843,-1.604095,1.25,0.725
26,6.512405,-1.510464,8.915365,-1.567121,0,6.941194,-2,1.2,0.725
27,6.762897,-1.509543,8.664874,-1.567121,0,6.868639,-2,1.2,0.725
28,7.013389,-1.508622,8.414384,-1.567121,0,6.79531,-2,1.2,0.725
29,7.263881,-1.507702,8.163893,-1.567121,0,6.721181,-2,1.15,0.725
30,7.514374,-1.506781,7.913403,-1.567121,0,6.646224,-2,1.15,0.725
31,7.764866,-1.50586,7.662912,-1.567121,0,6.570413,-2,1.15,0.725
32,8.015358,-1.50494,7.412422,-1.567121,0,6.493717,-2,1.15,0.725
33,8.26585,-1.504019,7.161931,-1.567121,0,6.416104,-2,1.15,0.675
34,8.516343,-1.503098,6.91144,-1.567121,0,6.337541,-2,1.15,0.675
35,8.766835,-1.502178,6.66095,-1.567121,0,6.257991,-2,1.15,0.675
36,9.017327,-1.501257,6.410459,-1.567121,0,6.177417,-2,1.2,0.675
37,9.267819,-1.500336,6.159969,-1.567121,0,6.095778,-2,1.2,0.675
38,9.518312,-1.499416,5.909478,-1.567121,0,6.013031,-2,1.25,0.625
39,9.768804,-1.498495,5.658988,-1.567121,0,5.92913,-2,1.25,0.625
40,10.019296,-1.497574,5.408497,-1.567121,0,5.844023,-2,1.25,0.625
