bag_id,stage,invocation_proxy_count,invocation_proxy_method,events_with_constructed_candidate,constructed_total_actual,candidate_events,validator_executed,hard_valid,evaluation_selected,published_fresh_selection
rosbag2_2026_08_24-19_00_30,M0_V1,23032,STRICT_PLUS_RELAXED_EVALUATION_PASS_COUNT,1761,35447,35447,35447,2052,4897,145
rosbag2_2026_08_24-19_00_30,M0_V2,672,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,672,13991,13991,13991,935,2137,96
rosbag2_2026_08_24-19_00_30,M1,2202,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,2202,32741,32741,32741,336,469,52
rosbag2_2026_08_24-19_24_17,M0_V1,15340,STRICT_PLUS_RELAXED_EVALUATION_PASS_COUNT,1534,23145,23145,23145,3028,9123,226
rosbag2_2026_08_24-19_24_17,M0_V2,645,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,645,11725,11725,11725,1302,3497,225
rosbag2_2026_08_24-19_24_17,M1,1146,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,1146,20642,20642,20642,474,924,83
rosbag2_2026_08_25-09_23_32,M0_V1,1857,STRICT_PLUS_RELAXED_EVALUATION_PASS_COUNT,5,144,144,144,0,0,0
rosbag2_2026_08_25-09_23_32,M0_V2,0,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,0,0,0,0,0,0,0
rosbag2_2026_08_25-09_23_32,M1,5,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,5,56,56,56,0,0,0
rosbag2_2026_08_25-09_59_22,M0_V1,22924,STRICT_PLUS_RELAXED_EVALUATION_PASS_COUNT,1734,26265,26265,26265,3611,10491,315
rosbag2_2026_08_25-09_59_22,M0_V2,812,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,812,25243,25243,25243,1090,2355,120
rosbag2_2026_08_25-09_59_22,M1,1578,EVENT_WITH_AT_LEAST_ONE_CONSTRUCTED_CANDIDATE_LOWER_BOUND,1578,23485,23485,23485,830,1223,199
