event_id,dataset_role,pre_change_fresh_s1_evaluations,post_change_fresh_s1_evaluations,logical_safe_stop_escape_probes,fresh_distinct_escape_evaluations,cached_equivalent_escape_probes,all_same_input_reuses_including_plan,callback_global_validate_candidate_executions,s1_reconstructions_sum,s1_evaluator_validator_sum,final_outcome,final_path_digest
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,1,0,0,0,0,11,12,10,FRESH_SELECTED,e08dc6cd11cfc0b6
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,1,0,0,0,0,12,12,11,FRESH_SELECTED,566ca04653498df1
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,0e80da04fd67df6e
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,3,2,2,1,1,2,25,24,24,NO_SAFE_PATH,NONE
V2E05,PILOT_SEEN_DEVELOPMENT_DATA,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
V2E06,PILOT_SEEN_DEVELOPMENT_DATA,2,2,1,1,0,1,25,24,24,NO_SAFE_PATH,NONE
V2E07,PILOT_SEEN_DEVELOPMENT_DATA,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,8dd7ec9d69ccda2b
V2E09,PILOT_SEEN_DEVELOPMENT_DATA,2,2,1,1,0,1,24,24,24,NO_SAFE_PATH,NONE
DVE001,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,1e0dd5e1cd2072f3
DVE002,DEVELOPMENT,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
DVE003,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,a56c17ecf1766dd9
DVE004,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,a17c084b2a16880d
DVE005,DEVELOPMENT,2,2,1,1,0,1,20,24,20,NO_SAFE_PATH,NONE
DVE006,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,068a6aaa5cd35376
DVE007,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,19d0c38394f7bb60
DVE008,DEVELOPMENT,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
DVE009,DEVELOPMENT,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
DVE010,DEVELOPMENT,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
DVE011,DEVELOPMENT,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
DVE012,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,c9592fe79d4433fa
DVE013,DEVELOPMENT,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
DVE014,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,688f323ac5b5281a
DVE015,DEVELOPMENT,1,1,0,0,0,0,12,12,11,FRESH_SELECTED,cebf7cd727e69b5b
DVE016,DEVELOPMENT,2,1,1,0,1,2,12,12,12,NO_SAFE_PATH,NONE
DVE017,DEVELOPMENT,1,1,0,0,0,0,12,12,11,FRESH_SELECTED,5fc1bc133385802f
DVE018,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,08dd6c73cd03a774
DVE019,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,478371406d540558
DVE020,DEVELOPMENT,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,cf86fe0c77b35947
