event_id,dataset_role,logical_probe_index,probe_role,ego_s,ego_d,ego_speed_mps,obstacle_snapshot_id,reference_snapshot_id,identical_geometry_input_to_primary,hard_valid_escape_exists,post_change_reused,changed_final_path_observed,changed_final_kind_observed,counterfactual_class,observed_effect,contract_role
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,1,REQUESTED_STOP_POINT,18.289292187730879,1.1225748368727917,0,obs_b5042bced6671b1c,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,2,EGO_ENDPOINT,8.3353792118185996,1.1225748368727917,0,obs_b5042bced6671b1c,ref_4dc0768eb37d9590,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
V2E05,PILOT_SEEN_DEVELOPMENT_DATA,1,REQUESTED_STOP_POINT,2.0759280031825122,-0.81843240029887265,0,obs_ff212a415c17c58e,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
V2E06,PILOT_SEEN_DEVELOPMENT_DATA,1,REQUESTED_STOP_POINT,36.2363722305221,-0.47998687803244622,0,obs_b2ab19fd4e895a29,ref_3f5d487564f4ee3d,0,1,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,escape_verified metadata only; braking result remained NO_SAFE_PATH,stop-location resumability/liveness; not braking collision validation
V2E07,PILOT_SEEN_DEVELOPMENT_DATA,1,REQUESTED_STOP_POINT,0.69603271093812569,0.01025702800631967,0,obs_d402f683b5f08434,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
V2E09,PILOT_SEEN_DEVELOPMENT_DATA,1,REQUESTED_STOP_POINT,43.809683053995904,0.021796703726082802,0,obs_ddecde2f67541811,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE002,DEVELOPMENT,1,REQUESTED_STOP_POINT,0.98330388905181942,0.15582772957225538,0,obs_bf3eb28faa70c345,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE005,DEVELOPMENT,1,REQUESTED_STOP_POINT,0.97000403756715237,-0.29147676794776134,0,obs_70c5a483dcab4c17,ref_3f5d487564f4ee3d,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE008,DEVELOPMENT,1,REQUESTED_STOP_POINT,16.980931981823407,-0.18201242357416456,0,obs_169f8a5f47111c70,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE009,DEVELOPMENT,1,REQUESTED_STOP_POINT,0.99496717718799466,0.13666459376074072,0,obs_7139aeda702f7d74,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE010,DEVELOPMENT,1,REQUESTED_STOP_POINT,0.98192063456527345,0.20795213566231097,0,obs_4df909cd65cab67a,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
