event_id,dataset_role,observed_pre_change_pattern,post_change_fresh_pattern,classification,evaluation_1_role,evaluation_1_ego_s,evaluation_1_ego_d,evaluation_1_speed_mps,evaluation_1_hard_valid_exists,evaluation_2_reason,evaluation_3_reason,same_obstacle_snapshot_all,same_reference_snapshot_all,final_outcome
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,5.8273975355551038,-0.35870807563195523,0.18316571785224009,1,NONE,NONE,1,1,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,14.502267334817523,0.04971217579528224,0,1,NONE,NONE,1,1,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,23.434472774298154,-0.081016566813065488,0,1,NONE,NONE,1,1,FRESH_SELECTED
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,3,2,PRIMARY_PLUS_DISTINCT_STOP_AND_EQUIVALENT_EGO_ENDPOINT,GQSC_S1_CALLBACK_PRIMARY,8.3353792118185996,1.1225748368727917,0,0,SAFE_STOP_REQUESTED_POINT,SAFE_STOP_EGO_ENDPOINT,1,1,NO_SAFE_PATH
V2E05,PILOT_SEEN_DEVELOPMENT_DATA,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,2.0759280031825122,-0.81843240029887265,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
V2E06,PILOT_SEEN_DEVELOPMENT_DATA,2,2,PRIMARY_PLUS_DISTINCT_STOP_ESCAPE,GQSC_S1_CALLBACK_PRIMARY,34.226268210544262,-0.47998687803244622,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
V2E07,PILOT_SEEN_DEVELOPMENT_DATA,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,0.69603271093812569,0.01025702800631967,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,14.69679581265768,-0.0080812648234711033,0,1,NONE,NONE,1,1,FRESH_SELECTED
V2E09,PILOT_SEEN_DEVELOPMENT_DATA,2,2,PRIMARY_PLUS_DISTINCT_STOP_ESCAPE,GQSC_S1_CALLBACK_PRIMARY,43.809683053995904,0.021796703726082802,0.28096247647390815,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE001,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,15.725968488127515,-0.66907929397263799,0.20287498389138472,1,NONE,NONE,1,1,FRESH_SELECTED
DVE002,DEVELOPMENT,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,0.98330388905181942,0.15582772957225538,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE003,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,4.3003513974450387,-0.97991894880452834,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE004,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,1.1881233467915455,0.11913705194592336,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE005,DEVELOPMENT,2,2,PRIMARY_PLUS_DISTINCT_STOP_ESCAPE,GQSC_S1_CALLBACK_PRIMARY,0.97000403756715237,-0.29147676794776134,0.32444270983246104,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE006,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,1.0185121231158745,0.24502107913697357,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE007,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,0.64527057207260063,-0.092119468656628553,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE008,DEVELOPMENT,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,16.980931981823407,-0.18201242357416456,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE009,DEVELOPMENT,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,0.99496717718799466,0.13666459376074072,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE010,DEVELOPMENT,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,0.98192063456527345,0.20795213566231097,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE011,DEVELOPMENT,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,1.0085856107001545,0.069408926215322783,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE012,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,4.8709547410483749,-0.30142587242171542,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE013,DEVELOPMENT,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,16.941458551083599,-0.012465254150380162,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE014,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,5.9458917713050869,-0.26137677246494728,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE015,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,1.6025152759605137,-0.36628716428143249,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE016,DEVELOPMENT,2,1,PRIMARY_PLUS_EQUIVALENT_ESCAPE_REUSED,GQSC_S1_CALLBACK_PRIMARY,22.172031771694577,-0.9669925159671624,0,0,SAFE_STOP_REQUESTED_POINT,NONE,1,1,NO_SAFE_PATH
DVE017,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,1.4538636316329832,-0.48180131324627001,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE018,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,4.8720930780183584,-0.28491487496708601,0,1,NONE,NONE,1,1,FRESH_SELECTED
DVE019,DEVELOPMENT,1,1,PRIMARY_ONLY,GQSC_S1_CALLBACK_PRIMARY,4.282592778975391,-0.71362068398709877,3.5784287547469145,1,NONE,NONE,1,1,FRESH_SELECTED
