event_id,dataset_role,primary_evaluations,fallback_evaluations,safe_stop_escape_evaluations,cached_same_input_reuses,r3_evaluations_total,gqsc_s1_evaluations_total,non_escape_fallback_evaluations,outcome
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,1,1,0,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,1,1,0,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,1,1,0,FRESH_SELECTED
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,1,2,2,1,3,3,0,NO_SAFE_PATH
V2E05,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,2,2,0,NO_SAFE_PATH
V2E06,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,2,2,0,NO_SAFE_PATH
V2E07,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,2,2,0,NO_SAFE_PATH
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,1,1,0,FRESH_SELECTED
V2E09,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE001,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE002,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE003,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE004,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE005,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE006,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE007,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE008,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE009,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE010,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE011,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE012,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE013,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE014,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE015,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE016,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE017,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE018,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE019,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE020,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE021,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE022,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE023,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE024,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE025,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE026,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE027,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE028,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE029,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE030,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE031,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE032,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE033,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE034,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
