environment,query,sample_count,stage,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,scope_note
ROS_NODE_ISOLATED,SCE018,40,A_snapshot_preparation,0.0100,0.0120,0.0130,0.0270,0.0330,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,B_obstacle_conversion,0.0039,0.0048,0.0055,0.0115,0.0151,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,C_corridor_free_geometry,0.3848,0.5031,0.5131,0.5168,0.5171,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,D_lateral_proposal,0.1348,0.1647,0.1694,0.2013,0.2023,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,E_transition_proposal,0.0184,0.0195,0.0222,0.0251,0.0258,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,F_B128_pair_proxy,3.4800,5.8885,5.9208,5.9467,5.9630,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,G_top12_selection,0.1140,0.1409,0.1571,0.1718,0.1766,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,H_reconstruction,4.8116,5.3474,6.0377,6.5196,6.6958,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,I_exact_validation,11.9677,13.7713,15.1966,16.5783,16.9251,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,J_final_rank_lifecycle,0.7278,0.7522,0.7926,1.2499,1.3796,SHADOW includes lifecycle after primary evaluator
ROS_NODE_ISOLATED,SCE018,40,K_message_construction,0.1004,0.1351,0.1398,0.1931,0.2263,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,L_publication,0.0969,0.1094,0.1123,0.1172,0.1196,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,M_lock_wait,0.0004,0.0005,0.0005,0.0005,0.0006,stable full-128 samples
ROS_NODE_ISOLATED,SCE018,40,N_other,1.5596,1.7854,1.8583,2.0113,2.0324,includes unchanged SHADOW/P0 residual work
ROS_NODE_ISOLATED,SCE018,40,O_total,23.4672,27.5155,30.8235,32.9275,33.6441,full callback wall before profiler serialization
ROS_NODE_ISOLATED,SCE018,40,evaluator_wall,21.7666,25.5747,28.8925,30.7325,31.2918,primary GQSC evaluator wall
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,A_snapshot_preparation,0.046085,0.046085,0.046085,0.046085,0.046085,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,B_obstacle_conversion,0.018218,0.018218,0.018218,0.018218,0.018218,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,C_corridor_free_geometry,0.853100,0.853100,0.853100,0.853100,0.853100,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,D_lateral_proposal,0.306497,0.306497,0.306497,0.306497,0.306497,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,E_transition_proposal,0.027139,0.027139,0.027139,0.027139,0.027139,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,F_B128_pair_proxy,3.615645,3.615645,3.615645,3.615645,3.615645,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,G_top12_selection,0.117639,0.117639,0.117639,0.117639,0.117639,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,H_reconstruction,4.395631,4.395631,4.395631,4.395631,4.395631,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,I_exact_validation,10.355960,10.355960,10.355960,10.355960,10.355960,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,J_final_rank_lifecycle,0.936317,0.936317,0.936317,0.936317,0.936317,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,K_message_construction,0.194921,0.194921,0.194921,0.194921,0.194921,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,L_publication,0.164636,0.164636,0.164636,0.164636,0.164636,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,M_lock_wait,0.000423,0.000423,0.000423,0.000423,0.000423,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,N_other,1.355098,1.355098,1.355098,1.355098,1.355098,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,O_total,22.387309,22.387309,22.387309,22.387309,22.387309,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,evaluator_wall,20.828925,20.828925,20.828925,20.828925,20.828925,callback 1955
LIVE_CLOSED_LOOP_REQUAL,STRAIGHT_201,1,research_diagnostic_serialization,0.021459,0.021459,0.021459,0.021459,0.021459,excluded from O_total
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,C_context_preparation,0.007741,0.007741,0.007741,0.007741,0.007741,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,C_corridor_free_geometry,0.834572,0.834572,0.834572,0.834572,0.834572,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,D_lateral_proposal,0.373576,0.373576,0.373576,0.373576,0.373576,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,E_transition_proposal,0.043597,0.043597,0.043597,0.043597,0.043597,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,F_B128_pair_proxy,5.013271,5.013271,5.013271,5.013271,5.013271,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,G_top12_selection,0.142638,0.142638,0.142638,0.142638,0.142638,sum of ordering and dedup stages
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,H_reconstruction,5.209349,5.209349,5.209349,5.209349,5.209349,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,I_exact_validation,13.309159,13.309159,13.309159,13.309159,13.309159,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,final_ranking,0.008449,0.008449,0.008449,0.008449,0.008449,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,evaluator_wall,27.802118,27.802118,27.802118,27.802118,27.802118,recorded research artifact
PREVIOUS_LIVE_FULL_TRACE,LIVE221808,1,callback_total,30.904038,30.904038,30.904038,30.904038,30.904038,recorded planning event

