workload_id,repeat_id,order_index,condition,affinity,run_state
W1_SCE018_STANDALONE,1,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,1,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,2,1,B,CPU8,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,2,2,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,3,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,3,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,4,1,B,CPU8,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,4,2,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,5,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W1_SCE018_STANDALONE,5,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,1,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,1,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,2,1,B,CPU8,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,2,2,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,3,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,3,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,4,1,B,CPU8,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,4,2,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,5,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W2_SCE018_ROS_NODE_TEST_ACTIVE,5,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,1,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,1,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,2,1,B,CPU8,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,2,2,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,3,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,3,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,4,1,B,CPU8,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,4,2,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,5,1,A,UNPINNED,FROZEN_READY_NOT_EXECUTED
W3_SCE018_FULL_STACK_CONTENTION,5,2,B,CPU8,FROZEN_READY_NOT_EXECUTED
