corpus,method,event_count,hard_count,usable_count,selected_digest_changes_vs_v1,teacher_hard_losses,standalone_only_hard
ALL_104,LEGACY,104,18,14,NA,,
ALL_104,TEACHER,104,62,51,NA,,
ALL_104,STANDALONE_V1,104,60,54,0,,
ALL_104,STANDALONE_V2_CHOSEN,104,64,55,9,VUE009;VUE014,DVE003;DVE022;DVE028;V2E05
DEVELOPMENT_49,LEGACY,49,0,0,NA,,
DEVELOPMENT_49,TEACHER,49,23,18,NA,,
DEVELOPMENT_49,STANDALONE_V1,49,24,21,0,,
DEVELOPMENT_49,STANDALONE_V2_CHOSEN,49,27,23,4,,DVE003;DVE022;DVE028;V2E05
VALIDATION_SEEN_37,LEGACY,37,0,0,NA,,
VALIDATION_SEEN_37,TEACHER,37,21,18,NA,,
VALIDATION_SEEN_37,STANDALONE_V1,37,19,18,0,,
VALIDATION_SEEN_37,STANDALONE_V2_CHOSEN,37,19,18,1,VUE009;VUE014,
SUCCESS_CONTROLS_18,LEGACY,18,18,14,NA,,
SUCCESS_CONTROLS_18,TEACHER,18,18,15,NA,,
SUCCESS_CONTROLS_18,STANDALONE_V1,18,17,15,0,,
SUCCESS_CONTROLS_18,STANDALONE_V2_CHOSEN,18,18,14,4,,
PRODUCTION_FAILURES_86,LEGACY,86,0,0,NA,,
PRODUCTION_FAILURES_86,TEACHER,86,44,36,NA,,
PRODUCTION_FAILURES_86,STANDALONE_V1,86,43,39,0,,
PRODUCTION_FAILURES_86,STANDALONE_V2_CHOSEN,86,46,41,5,VUE009;VUE014,DVE003;DVE022;DVE028;V2E05
