candidate,policy,component_operator_extension,stage,corpus,release_build,single_warm_process,instrumentation_enabled,warmup_per_snapshot,measured_repeats_per_snapshot,sample_count,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
MIN_OUTWARD_RESERVE_ONLY,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,0,EXECUTABLE_WALL_TOTAL,DEVELOPMENT_49,1,1,0,2,10,490,10.1509425,14.836835500000001,15.260122950000001,18.720688080000002,18.785162
MIN_OUTWARD_RESERVE_ONLY,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,0,GQSC_CORE_TOTAL,DEVELOPMENT_49,1,1,0,2,10,490,10.137665,14.823251800000001,15.2479625,18.70677815,18.771921
MIN_OUTWARD_RESERVE_ONLY,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,0,PAIR_PROXY_PRIORITY,DEVELOPMENT_49,1,1,0,2,10,490,1.9743495,2.5924671000000004,2.6740168,3.64405175,3.957386
MIN_OUTWARD_RESERVE_ONLY,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,0,LEXICOGRAPHIC_TOP10,DEVELOPMENT_49,1,1,0,2,10,490,0.024147000000000002,0.035841599999999994,0.0384163,0.04102146000000001,0.046839
MIN_OUTWARD_RESERVE_ONLY,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,0,COVERAGE_RESERVE2,DEVELOPMENT_49,1,1,0,2,10,490,0.02602,0.035851,0.041554150000000005,0.043500220000000006,0.049559
MIN_OUTWARD_RESERVE_ONLY,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,0,P3_RECONSTRUCTION,DEVELOPMENT_49,1,1,0,2,10,490,2.71272,5.201748199999999,5.6162585,5.756360559999999,5.771481
MIN_OUTWARD_RESERVE_ONLY,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,0,EXACT_VALIDATION,DEVELOPMENT_49,1,1,0,2,10,490,4.248874000000001,5.9156257,7.654726150000001,10.107406319999999,10.147807
V2_CHOSEN_RESERVE_PLUS_COMPONENT_OPERATOR,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,1,EXECUTABLE_WALL_TOTAL,DEVELOPMENT_49,1,1,0,2,10,490,10.0719065,14.684515500000002,15.1547822,18.68897964,18.779016
V2_CHOSEN_RESERVE_PLUS_COMPONENT_OPERATOR,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,1,GQSC_CORE_TOTAL,DEVELOPMENT_49,1,1,0,2,10,490,10.059459499999999,14.6721117,15.1423591,18.67650569,18.76598
V2_CHOSEN_RESERVE_PLUS_COMPONENT_OPERATOR,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,1,PAIR_PROXY_PRIORITY,DEVELOPMENT_49,1,1,0,2,10,490,1.972815,2.5224658,2.5915527500000004,3.57283729,3.593295
V2_CHOSEN_RESERVE_PLUS_COMPONENT_OPERATOR,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,1,LEXICOGRAPHIC_TOP10,DEVELOPMENT_49,1,1,0,2,10,490,0.024260999999999998,0.036019100000000005,0.03863755,0.04035422,0.045344
V2_CHOSEN_RESERVE_PLUS_COMPONENT_OPERATOR,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,1,COVERAGE_RESERVE2,DEVELOPMENT_49,1,1,0,2,10,490,0.0255725,0.0365257,0.040386700000000005,0.04269707,0.047216
V2_CHOSEN_RESERVE_PLUS_COMPONENT_OPERATOR,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,1,P3_RECONSTRUCTION,DEVELOPMENT_49,1,1,0,2,10,490,2.6849824999999994,5.1242773999999995,5.594437150000001,5.7381202600000005,5.770717
V2_CHOSEN_RESERVE_PLUS_COMPONENT_OPERATOR,ZERO_INTERFACE_EQUAL_MIN_OUTWARD,1,EXACT_VALIDATION,DEVELOPMENT_49,1,1,0,2,10,490,4.2222135000000005,5.9233885000000015,7.5995869,10.098488400000003,10.23121
