event_id,method,lateral_factor_count,lateral_factor_cap,transition_factor_count,transition_family_cap,pair_proxy_count,pair_proxy_cap,reconstruction_count,reconstruction_cap,validator_count,validator_cap,legacy_seed_count_consumed,legacy_builder_or_validator_called_inside_standalone,all_bounds_pass
V2E01,LEGACY_SEEDED_TEACHER_B128,38,64,7,7,128,128,12,12,9,12,9,0,1
V2E01,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,8,12,0,0,1
V2E02,LEGACY_SEEDED_TEACHER_B128,40,64,3,7,118,128,12,12,8,12,3,0,1
V2E02,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,9,12,0,0,1
V2E03,LEGACY_SEEDED_TEACHER_B128,32,64,7,7,128,128,12,12,11,12,9,0,1
V2E03,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
V2E04,LEGACY_SEEDED_TEACHER_B128,32,64,5,7,128,128,12,12,10,12,6,0,1
V2E04,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
V2E05,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,10,12,2,0,1
V2E05,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,10,12,0,0,1
V2E06,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,12,12,22,0,1
V2E06,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,12,12,0,0,1
V2E07,LEGACY_SEEDED_TEACHER_B128,23,64,2,7,44,128,12,12,10,12,2,0,1
V2E07,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
V2E08,LEGACY_SEEDED_TEACHER_B128,32,64,7,7,128,128,12,12,10,12,9,0,1
V2E08,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
V2E09,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,11,12,2,0,1
V2E09,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,11,12,0,0,1
DVE001,LEGACY_SEEDED_TEACHER_B128,31,64,2,7,60,128,12,12,10,12,2,0,1
DVE001,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
DVE002,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,10,12,2,0,1
DVE002,STANDALONE_DIRECT_SEED_B128,61,64,7,7,128,128,12,12,10,12,0,0,1
DVE003,LEGACY_SEEDED_TEACHER_B128,40,64,2,7,78,128,12,12,12,12,3,0,1
