method,stage,measurement_scope,release_build,single_warm_process,instrumentation_enabled,warmup_per_snapshot,measured_repeats_per_snapshot,sample_count,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
LEGACY_SEEDED_TEACHER_B128,EXECUTABLE_WALL_TOTAL,TEACHER_EXECUTABLE_INCLUDES_LEGACY_SEED_HARVEST,1,1,0,2,10,1040,16.2411045,34.194142,42.439595149999995,56.648884389999964,71.972217
LEGACY_SEEDED_TEACHER_B128,GQSC_CORE_TOTAL,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,7.810707000000001,16.0756893,18.5053799,21.417131109999996,23.656197
LEGACY_SEEDED_TEACHER_B128,CONTEXT_PREPARATION,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.0063865,0.0180572,0.021175799999999977,0.028537709999999997,0.036003
LEGACY_SEEDED_TEACHER_B128,GEOMETRY_PREPARATION,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.4778425,0.5256099000000001,0.5434472999999997,0.672814419999999,0.7292219999999999
LEGACY_SEEDED_TEACHER_B128,DIRECT_TRANSITION_GENERATION,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.0117155,0.023264000000000007,0.030336649999999993,0.034788490000000005,0.041029
LEGACY_SEEDED_TEACHER_B128,DIRECT_LATERAL_GENERATION,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.11525450000000001,0.1759516,0.20537054999999999,0.22387326999999957,0.316353
LEGACY_SEEDED_TEACHER_B128,PAIR_PROXY_PRIORITY,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,1.7482395,3.2001367,3.4846383499999996,3.9498806299999996,4.580255
LEGACY_SEEDED_TEACHER_B128,LEXICOGRAPHIC_TOP10,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.026615,0.039770799999999995,0.0416555,0.04734705999999996,0.060647
LEGACY_SEEDED_TEACHER_B128,COVERAGE_RESERVE2,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.008324999999999999,0.0216297,0.022752899999999996,0.02691855999999997,0.035222
LEGACY_SEEDED_TEACHER_B128,SHAPE_DEDUPLICATION,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.027098499999999998,0.0412003,0.045034999999999985,0.057579489999999976,0.076824
LEGACY_SEEDED_TEACHER_B128,P3_RECONSTRUCTION,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,2.0812625000000002,5.1725854,5.7982256499999965,6.743382340000001,7.404476
LEGACY_SEEDED_TEACHER_B128,EXACT_VALIDATION,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,2.3538645000000002,7.6235336,9.237478999999999,11.495115689999988,12.693087
LEGACY_SEEDED_TEACHER_B128,FINAL_RANKING,TEACHER_GQSC_CORE_ONLY,1,1,0,2,10,1040,0.0045709999999999995,0.0073065000000000005,0.008283299999999999,0.02055362999999996,0.028521
STANDALONE_DIRECT_SEED_B128,EXECUTABLE_WALL_TOTAL,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,10.897644,17.8171736,20.75447295,21.877586589999996,24.152168000000003
STANDALONE_DIRECT_SEED_B128,GQSC_CORE_TOTAL,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,10.8819145,17.802888399999997,20.741543,21.86395464,24.133113
STANDALONE_DIRECT_SEED_B128,CONTEXT_PREPARATION,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.0068635,0.018581300000000002,0.022615450000000002,0.02951927,0.057365
STANDALONE_DIRECT_SEED_B128,GEOMETRY_PREPARATION,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.49525450000000004,0.5366534000000001,0.5478166,0.6758622499999989,0.765996
STANDALONE_DIRECT_SEED_B128,DIRECT_TRANSITION_GENERATION,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.0192605,0.0222295,0.02397605,0.02941031999999996,0.035806
STANDALONE_DIRECT_SEED_B128,DIRECT_LATERAL_GENERATION,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.20373249999999998,0.2155501,0.2206882,0.2533879199999993,0.36924799999999997
STANDALONE_DIRECT_SEED_B128,PAIR_PROXY_PRIORITY,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,1.97588,2.6656698000000003,3.0014969999999996,3.59274905,5.179767
STANDALONE_DIRECT_SEED_B128,LEXICOGRAPHIC_TOP10,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.025806500000000003,0.039064800000000004,0.04045635,0.04756338999999999,0.056218000000000004
STANDALONE_DIRECT_SEED_B128,COVERAGE_RESERVE2,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.0170125,0.023347200000000002,0.024622249999999995,0.028707109999999814,0.035185
STANDALONE_DIRECT_SEED_B128,SHAPE_DEDUPLICATION,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.026346500000000002,0.035685,0.0379343,0.0513238999999999,0.07436
STANDALONE_DIRECT_SEED_B128,P3_RECONSTRUCTION,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,3.171227,5.6242483,6.070480699999998,6.70604442,7.502834999999999
STANDALONE_DIRECT_SEED_B128,EXACT_VALIDATION,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,4.226059,9.2442172,11.06401205,12.448462029999998,13.417328000000003
STANDALONE_DIRECT_SEED_B128,FINAL_RANKING,STANDALONE_EXECUTABLE,1,1,0,2,10,1040,0.0040595,0.0070459,0.007894849999999998,0.012657129999999957,0.018921
