event_id,dataset_role,bag,source_kind,legacy_hard_valid,legacy_usable_valid,legacy_selected_digest,teacher_hard_valid,teacher_usable_valid,standalone_hard_valid,standalone_usable_valid,teacher_selected_digest,standalone_selected_digest,selected_digest_exact,teacher_vs_legacy_selected_digest_exact,standalone_vs_legacy_selected_digest_exact,teacher_hard_candidate_count,standalone_hard_candidate_count,hard_candidate_digest_intersection,hard_candidate_digest_union,teacher_usable_candidate_count,standalone_usable_candidate_count,usable_candidate_digest_intersection,usable_candidate_digest_union,teacher_reconstructions,teacher_validators,standalone_reconstructions,standalone_validators
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,1,0,0,8,8,7,9,8,8,7,9,12,9,12,8
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,2795736f29e94f82,566ca04653498df1,0,0,0,5,6,2,9,5,6,2,9,12,8,12,9
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,0e80da04fd67df6e,0e80da04fd67df6e,1,0,0,4,4,4,4,4,4,4,4,12,11,12,10
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
V2E05,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
V2E06,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,12,12,12
V2E07,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_25-09_23_32,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,8dd7ec9d69ccda2b,8dd7ec9d69ccda2b,1,0,0,4,4,3,5,4,4,3,5,12,10,12,10
V2E09,PILOT_SEEN_DEVELOPMENT_DATA,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,11
DVE001,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,1e0dd5e1cd2072f3,70f836b083f7b199,0,0,0,10,4,3,11,10,4,3,11,12,10,12,11
DVE002,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
