validity_contract,legacy_status,gqsc_status,snapshot_count,event_ids,gqsc_execution_contract
HARD_VALID,LEGACY_SUCCESS,GQSC_SUCCESS,18,SCE001;SCE002;SCE003;SCE004;SCE005;SCE006;SCE007;SCE008;SCE009;SCE010;SCE011;SCE012;SCE013;SCE014;SCE015;SCE016;SCE017;SCE018,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
HARD_VALID,LEGACY_SUCCESS,GQSC_FAIL,0,,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
HARD_VALID,LEGACY_FAIL,GQSC_SUCCESS,44,V2E01;V2E02;V2E03;V2E08;DVE001;DVE004;DVE006;DVE007;DVE012;DVE014;DVE015;DVE017;DVE018;DVE019;DVE020;DVE023;DVE024;DVE029;DVE030;DVE031;DVE037;DVE038;DVE039;VUE004;VUE005;VUE006;VUE007;VUE008;VUE009;VUE011;VUE014;VUE018;VUE020;VUE023;VUE024;VUE025;VUE026;VUE027;VUE028;VUE030;VUE032;VUE033;VUE034;VUE036,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
HARD_VALID,LEGACY_FAIL,GQSC_FAIL,42,V2E04;V2E05;V2E06;V2E07;V2E09;DVE002;DVE003;DVE005;DVE008;DVE009;DVE010;DVE011;DVE013;DVE016;DVE021;DVE022;DVE025;DVE026;DVE027;DVE028;DVE032;DVE033;DVE034;DVE035;DVE036;DVE040;VUE001;VUE002;VUE003;VUE010;VUE012;VUE013;VUE015;VUE016;VUE017;VUE019;VUE021;VUE022;VUE029;VUE031;VUE035;VUE037,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
USABLE_VALID_EXISTS,LEGACY_SUCCESS,GQSC_SUCCESS,14,SCE001;SCE002;SCE004;SCE005;SCE006;SCE007;SCE009;SCE010;SCE011;SCE012;SCE014;SCE015;SCE016;SCE018,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
USABLE_VALID_EXISTS,LEGACY_SUCCESS,GQSC_FAIL,0,,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
USABLE_VALID_EXISTS,LEGACY_FAIL,GQSC_SUCCESS,37,V2E01;V2E02;V2E03;V2E08;DVE001;DVE012;DVE014;DVE015;DVE017;DVE018;DVE020;DVE024;DVE029;DVE030;DVE031;DVE037;DVE038;DVE039;VUE004;VUE005;VUE006;VUE007;VUE008;VUE018;VUE020;VUE023;VUE024;VUE025;VUE026;VUE027;VUE028;VUE030;VUE032;VUE033;VUE034;VUE036;SCE003,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
USABLE_VALID_EXISTS,LEGACY_FAIL,GQSC_FAIL,53,V2E04;V2E05;V2E06;V2E07;V2E09;DVE002;DVE003;DVE004;DVE005;DVE006;DVE007;DVE008;DVE009;DVE010;DVE011;DVE013;DVE016;DVE019;DVE021;DVE022;DVE023;DVE025;DVE026;DVE027;DVE028;DVE032;DVE033;DVE034;DVE035;DVE036;DVE040;VUE001;VUE002;VUE003;VUE009;VUE010;VUE011;VUE012;VUE013;VUE014;VUE015;VUE016;VUE017;VUE019;VUE021;VUE022;VUE029;VUE031;VUE035;VUE037;SCE008;SCE013;SCE017,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
SELECTED_USABLE_VALID,LEGACY_SUCCESS,GQSC_SUCCESS,14,SCE001;SCE002;SCE004;SCE005;SCE006;SCE007;SCE009;SCE010;SCE011;SCE012;SCE014;SCE015;SCE016;SCE018,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
SELECTED_USABLE_VALID,LEGACY_SUCCESS,GQSC_FAIL,0,,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
SELECTED_USABLE_VALID,LEGACY_FAIL,GQSC_SUCCESS,37,V2E01;V2E02;V2E03;V2E08;DVE001;DVE012;DVE014;DVE015;DVE017;DVE018;DVE020;DVE024;DVE029;DVE030;DVE031;DVE037;DVE038;DVE039;VUE004;VUE005;VUE006;VUE007;VUE008;VUE018;VUE020;VUE023;VUE024;VUE025;VUE026;VUE027;VUE028;VUE030;VUE032;VUE033;VUE034;VUE036;SCE003,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
SELECTED_USABLE_VALID,LEGACY_FAIL,GQSC_FAIL,53,V2E04;V2E05;V2E06;V2E07;V2E09;DVE002;DVE003;DVE004;DVE005;DVE006;DVE007;DVE008;DVE009;DVE010;DVE011;DVE013;DVE016;DVE019;DVE021;DVE022;DVE023;DVE025;DVE026;DVE027;DVE028;DVE032;DVE033;DVE034;DVE035;DVE036;DVE040;VUE001;VUE002;VUE003;VUE009;VUE010;VUE011;VUE012;VUE013;VUE014;VUE015;VUE016;VUE017;VUE019;VUE021;VUE022;VUE029;VUE031;VUE035;VUE037;SCE008;SCE013;SCE017,FORCED_SHADOW_WITH_CURRENT_LEGACY_FACTOR_SEEDS
