pass,stage,measurement_status,stage_invocation_count,candidate_construction_count,validator_execution_count,hard_valid_count,first_selected_stage_count,success_count,failure_count,runtime_measurement_count,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
STRICT,CONTEXT_PREPARATION,MEASURED,104,0,0,0,0,18,86,1040,0.0058955,0.0181784,0.02176904999999999,0.027557969999999994,0.031316
STRICT,M0_V1,MEASURED,104,337,337,48,9,9,95,1040,0.5842514999999999,5.713767600000001,7.7377295499999965,10.96660194999999,14.408551
STRICT,M0_V2,MEASURED,43,108,108,19,7,7,36,430,1.9830005000000002,6.9917378,7.285816,8.98289068,9.831918
STRICT,M1,MEASURED,88,303,303,4,2,2,86,880,1.0682205,2.5023854000000005,4.1227255,23.33283409000001,26.473637999999998
STRICT,FRESH_EVALUATOR_BOOKKEEPING,MEASURED,104,0,0,0,0,18,86,1040,0.000212,0.0028732000000000002,0.0037514499999999995,0.005912639999999988,0.017734000000000003
RELAXED,CONTEXT_PREPARATION,MEASURED,86,0,0,0,0,0,86,860,0.0060025,0.0163911,0.02040999999999999,0.02743735,0.031526
RELAXED,M0_V1,MEASURED,86,237,237,0,0,0,86,860,0.5071384999999999,4.8380451,5.12508225,8.17399283,8.553790000000001
RELAXED,M0_V2,MEASURED,35,65,65,0,0,0,35,350,1.9191305,5.9404677,6.862337849999999,7.3100961799999995,8.922178
RELAXED,M1,MEASURED,86,299,299,0,0,0,86,860,1.057818,2.492098,4.18699274999996,23.847236589999998,25.256413000000002
RELAXED,FRESH_EVALUATOR_BOOKKEEPING,MEASURED,86,0,0,0,0,0,86,860,0.000182,0.000296,0.0003462499999999997,0.0004990999999999997,0.011391
INDEPENDENT_SNAPSHOT_LIMIT,ACTIVE_P3_CONTINUATION,NOT_PRESENT_IN_STATELESS_EVALUATOR_CORPUS,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan
INDEPENDENT_SNAPSHOT_LIMIT,GUARDED_REVALIDATION,NOT_PRESENT_IN_STATELESS_EVALUATOR_CORPUS,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan
INDEPENDENT_SNAPSHOT_LIMIT,RAW_REVALIDATION,NOT_PRESENT_IN_STATELESS_EVALUATOR_CORPUS,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan
INDEPENDENT_SNAPSHOT_LIMIT,NODE_SAFETY_FALLBACK_BOOKKEEPING,NOT_PRESENT_IN_STATELESS_EVALUATOR_CORPUS,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan
