phase,dataset_role,resource,access
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/oracle_summary.csv,READ
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/lineage_parity.csv,READ
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E01.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E02.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E03.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E04.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E05.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E06.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E07.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E08.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,PILOT_SEEN_DEVELOPMENT_DATA,planning_study/p3_oracle_pilot_v2/inputs/V2E09.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/oracle_summary.csv,READ
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/lineage_parity.csv,READ
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE001.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE002.event,HARNESS_INPUT
