event_id,dataset_role,validity,side,d_target,d_mid,component_lower,component_upper,u_target_near_to_far,u_mid_near_to_far,entry_scale,exit_scale,candidate_digest
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,HARD,RIGHT,-0.15,-0.09999999999999999,-0.7474999999999999,-0.15,-0.0,-0.08368200836820085,1.310934367577036,3.94735730932694,06dd58e0d88e317b
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,USABLE,RIGHT,-0.15,-0.09999999999999999,-0.7474999999999999,-0.15,-0.0,-0.08368200836820085,1.310934367577036,3.94735730932694,06dd58e0d88e317b
DVE020,DEVELOPMENT,HARD,RIGHT,-0.6375,-0.6575,-0.6975,-0.4990264203454232,0.6976927603944868,0.7984618402629912,0.7136694116555473,0.4971684162574945,c95cc95d0d3cbe89
DVE020,DEVELOPMENT,HARD,RIGHT,-0.6875,-0.6875,-0.6975,-0.4990264203454232,0.9496154600657478,0.9496154600657478,0.7136694116555473,0.4971684162574945,ee55a83d678ce124
DVE020,DEVELOPMENT,HARD,RIGHT,-0.6875,-0.6875,-0.6975,-0.4990264203454232,0.9496154600657478,0.9496154600657478,0.5145810930150512,0.4971684162574945,5bc52d8a2ab9299c
DVE020,DEVELOPMENT,HARD,RIGHT,-0.6375,-0.6575,-0.6975,-0.4990264203454232,0.6976927603944868,0.7984618402629912,0.5145810930150512,0.4971684162574945,2e852d2d166e9db1
DVE020,DEVELOPMENT,USABLE,RIGHT,-0.6375,-0.6575,-0.6975,-0.4990264203454232,0.6976927603944868,0.7984618402629912,0.7136694116555473,0.4971684162574945,c95cc95d0d3cbe89
DVE020,DEVELOPMENT,USABLE,RIGHT,-0.6875,-0.6875,-0.6975,-0.4990264203454232,0.9496154600657478,0.9496154600657478,0.7136694116555473,0.4971684162574945,ee55a83d678ce124
DVE020,DEVELOPMENT,USABLE,RIGHT,-0.6875,-0.6875,-0.6975,-0.4990264203454232,0.9496154600657478,0.9496154600657478,0.5145810930150512,0.4971684162574945,5bc52d8a2ab9299c
DVE020,DEVELOPMENT,USABLE,RIGHT,-0.6375,-0.6575,-0.6975,-0.4990264203454232,0.6976927603944868,0.7984618402629912,0.5145810930150512,0.4971684162574945,2e852d2d166e9db1
DVE039,DEVELOPMENT,HARD,RIGHT,-0.6496768991403512,-0.4996768991403512,-0.8224999999999999,-0.4368537982807025,0.5518610060486413,0.162903460683832,1.310934367577036,3.1286619468037347,3dc1c37301f2f101
DVE039,DEVELOPMENT,USABLE,RIGHT,-0.6496768991403512,-0.4996768991403512,-0.8224999999999999,-0.4368537982807025,0.5518610060486413,0.162903460683832,1.310934367577036,3.1286619468037347,3dc1c37301f2f101
