event_id,dataset_role,bag,locked_method,lock_sha256,legacy_hard_valid,legacy_usable_valid,standalone_hard_valid,standalone_usable_valid,legacy_selected_digest,standalone_selected_digest,frozen_recorded_baseline_digest,legacy_reconstruction_parity_to_recorded_baseline,standalone_selected_digest_equals_legacy,standalone_hard_candidate_count,standalone_usable_candidate_count,lateral_factor_count,transition_factor_count,pair_proxy_count,reconstruction_count,validator_count,all_bounds_pass,frozen_baseline_provenance
SCE001,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,d9d23404d663942d,a190d346d1dceee2,d9d23404d663942d,1,0,12,12,63,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE002,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,d8755f76f270feba,6252cf62c59fbf1b,d8755f76f270feba,1,0,12,12,62,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE003,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,0,1,1,ca12d99729f10d84,fe720e33f9f57ef4,ca12d99729f10d84,1,0,12,1,62,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE004,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,6f083f28fdccfd41,f5175dc0b94f8197,6f083f28fdccfd41,1,0,12,12,31,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE005,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,3d31c4c5eac6c042,87602a80513d644a,3d31c4c5eac6c042,1,0,12,12,31,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE006,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,d96df603ea031f4c,6bc657c12b2f57d1,d96df603ea031f4c,1,0,12,11,64,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE007,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,9a31c3bebb8cb06a,ef186819bb103426,9a31c3bebb8cb06a,1,0,6,4,62,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE008,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,0,0,0,4f6c3c15a0d151a0,NONE,4f6c3c15a0d151a0,1,0,0,0,32,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE009,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,88bc845606133104,584a0ec9c1414856,88bc845606133104,1,0,8,8,32,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
SCE010,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,V3_SIDE_BALANCED_DISJOINT,ea30a441695732e87d43d6863e1a31992dbfdd45749d324047495b6c96824185,1,1,1,1,1d495bf3a3b40011,0fcc29c91ebe70b9,1d495bf3a3b40011,1,0,11,11,64,7,128,12,12,1,p3_r3_k12_integration_v1/production_success_noninterference.csv
