event_id,dataset_role,frozen_stateless_parity_exact,gqsc_hard_valid_exists,fresh_ownership_success,evaluator_lifecycle_horizon_exact,same_input_continuation_success,guard_raw_path_preserved,dropout_continuation_success,prefix_trim_success,completion_success,new_blocker_invalidation_success,pair_proxy_count,reconstruction_count,validator_count,selected_path_digest,reason
DVE001,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,70f836b083f7b199,POST_FIX_ALL_GATES_PASS
DVE002,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE003,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,a56c17ecf1766dd9,POST_FIX_ALL_GATES_PASS
DVE004,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,a17c084b2a16880d,POST_FIX_ALL_GATES_PASS
DVE005,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,11,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE006,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,068a6aaa5cd35376,POST_FIX_ALL_GATES_PASS
DVE007,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,19d0c38394f7bb60,POST_FIX_ALL_GATES_PASS
DVE008,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE009,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE010,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE011,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE012,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,c9592fe79d4433fa,POST_FIX_ALL_GATES_PASS
DVE013,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE014,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,688f323ac5b5281a,POST_FIX_ALL_GATES_PASS
DVE015,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,10,cebf7cd727e69b5b,POST_FIX_ALL_GATES_PASS
DVE016,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE017,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,11,5fc1bc133385802f,POST_FIX_ALL_GATES_PASS
DVE018,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,08dd6c73cd03a774,POST_FIX_ALL_GATES_PASS
DVE019,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,478371406d540558,POST_FIX_ALL_GATES_PASS
DVE020,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,cf86fe0c77b35947,POST_FIX_ALL_GATES_PASS
DVE021,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE022,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,8c8e23a5462309a6,POST_FIX_ALL_GATES_PASS
DVE023,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE024,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,ba34849e0919dfa8,POST_FIX_ALL_GATES_PASS
DVE025,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE026,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE027,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE028,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,c2689998875add3c,POST_FIX_ALL_GATES_PASS
DVE029,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,1cb49b9c4b90cccf,POST_FIX_ALL_GATES_PASS
DVE030,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,7bfffdb6149d2531,POST_FIX_ALL_GATES_PASS
DVE031,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,48f18152a68e6dc7,POST_FIX_ALL_GATES_PASS
DVE032,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE033,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE034,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
