event_id,dataset_role,lateral_order_exact,transition_order_exact,pair_order_exact,top12_exact,path_digests_verdicts_exact,selected_path_exact,plan_selected_path_exact,no_hidden_legacy_seed,snapshot_lineage_exact,method_sha_exact,bounded_contract_pass,pair_proxy_count,reconstruction_count,validator_count,legacy_seed_count,hard_valid_count,selected_path_digest,failure_classification
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,10,0,9,e08dc6cd11cfc0b6,NONE
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,7,566ca04653498df1,NONE
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,4,0e80da04fd67df6e,NONE
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
V2E05,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
V2E06,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
V2E07,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,4,8dd7ec9d69ccda2b,NONE
V2E09,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE001,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,5,70f836b083f7b199,NONE
DVE002,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE003,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,9,a56c17ecf1766dd9,NONE
DVE004,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,3,a17c084b2a16880d,NONE
DVE005,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE006,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,7,068a6aaa5cd35376,NONE
DVE007,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,2,19d0c38394f7bb60,NONE
DVE008,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE009,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE010,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE011,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE012,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,11,c9592fe79d4433fa,NONE
