event_id,dataset_role,scenario,step,state,has_output,fresh_selected,invalidated,complete,suffix_revalidated,suffix_hard_valid,guard_raw_revalidated,raw_validation_attempted,original_candidate_identity,original_path_digest,output_path_digest,suffix_point_count,fallback_kind,evaluator_collision_horizon_m,lifecycle_collision_horizon_m,reason
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,FRESH,FRESH_SELECTED,1,1,0,0,0,1,0,1,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,94,NONE,5.1647996114856705,5.1647996114856705,FRESH_HARD_VALID_P3_M1
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,HELD_SAME_INPUT,COMMITTED,1,0,0,0,1,1,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,a5198e50a29ba8c3,92,NONE,nan,nan,ORIGINAL_MANEUVER_COMMITTED_CURRENT_HARD_VALID
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,GUARD_FAIL_RAW_PASS,CONTINUING,1,0,0,0,1,1,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,a5198e50a29ba8c3,92,NONE,nan,nan,ORIGINAL_MANEUVER_SUFFIX_CURRENT_HARD_VALID
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,OBSTACLE_DISAPPEARANCE,CONTINUING,1,0,0,0,1,1,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,a5198e50a29ba8c3,92,NONE,nan,nan,ORIGINAL_MANEUVER_SUFFIX_CURRENT_HARD_VALID
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,FORWARD_TRIM,CONTINUING,1,0,0,0,1,1,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,a5198e50a29ba8c3,92,NONE,nan,nan,ORIGINAL_MANEUVER_SUFFIX_CURRENT_HARD_VALID
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,COMPLETE,COMPLETE,0,0,0,1,0,0,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,NONE,0,NONE,nan,nan,EXPANDED_OBSTACLE_REGION_FULLY_PASSED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,NEW_OBSTACLE,FRESH,FRESH_SELECTED,1,1,0,0,0,1,0,1,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,94,NONE,5.1647996114856705,5.1647996114856705,FRESH_HARD_VALID_P3_M1
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,NEW_OBSTACLE,INVALIDATE_AND_FALLBACK,INVALIDATED,0,0,1,0,1,0,1,1,GQSC_V3_MAIN_LEXICOGRAPHIC_RIGHT_e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,a5198e50a29ba8c3,92,NO_SAFE_PATH,nan,nan,CURRENT_RAW_OBSTACLE_COLLISION:d-offset intersects an inflated static-obstacle box
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,FRESH,FRESH_SELECTED,1,1,0,0,0,1,0,1,GQSC_V3_MAIN_LEXICOGRAPHIC_LEFT_566ca04653498df1,566ca04653498df1,566ca04653498df1,110,NONE,5.3999417402104566,5.3999417402104566,FRESH_HARD_VALID_P3_M1
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,HELD_SAME_INPUT,COMMITTED,1,0,0,0,1,1,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_LEFT_566ca04653498df1,566ca04653498df1,87a0e86e92186d8d,93,NONE,nan,nan,ORIGINAL_MANEUVER_COMMITTED_CURRENT_HARD_VALID
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,GUARD_FAIL_RAW_PASS,CONTINUING,1,0,0,0,1,1,1,1,GQSC_V3_MAIN_LEXICOGRAPHIC_LEFT_566ca04653498df1,566ca04653498df1,87a0e86e92186d8d,93,NONE,nan,nan,GUARD_SOFT_OBSTACLE_VIOLATION_PENDING_RAW_HARD_VALID
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,OBSTACLE_DISAPPEARANCE,CONTINUING,1,0,0,0,1,1,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_LEFT_566ca04653498df1,566ca04653498df1,87a0e86e92186d8d,93,NONE,nan,nan,ORIGINAL_MANEUVER_SUFFIX_CURRENT_HARD_VALID
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,FORWARD_TRIM,CONTINUING,1,0,0,0,1,1,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_LEFT_566ca04653498df1,566ca04653498df1,c5cb31e3666d0813,93,NONE,nan,nan,ORIGINAL_MANEUVER_SUFFIX_CURRENT_HARD_VALID
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,CONTINUATION,COMPLETE,COMPLETE,0,0,0,1,0,0,0,0,GQSC_V3_MAIN_LEXICOGRAPHIC_LEFT_566ca04653498df1,566ca04653498df1,NONE,0,NONE,nan,nan,EXPANDED_OBSTACLE_REGION_FULLY_PASSED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,NEW_OBSTACLE,FRESH,FRESH_SELECTED,1,1,0,0,0,1,0,1,GQSC_V3_MAIN_LEXICOGRAPHIC_LEFT_566ca04653498df1,566ca04653498df1,566ca04653498df1,110,NONE,5.3999417402104566,5.3999417402104566,FRESH_HARD_VALID_P3_M1
