case_id,corpus,obstacle_count_setting,sample_index,ego_s_m,ego_d_m,ego_speed_mps,conservative_corridor_width_m,actual_in_horizon_obstacle_count,obstacle_summary,geometry_summary,gqsc_failure,gqsc_invoked,lateral_count,transition_count,b128_pair_count,constructed_count,validator_count,hard_valid_count,legacy_would_recover,legacy_result,same_p3_exact_witness_found,primary_taxonomy,mechanism_detail,witness_side,witness_d_target,witness_d_mid,witness_entry_scale,witness_exit_scale,witness_path_digest,evidence_limit
RP2_2,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,2,21.215716668920841,0.005908189201982994,3,1.2045696611104582,1,"id=1:s=[22.83734143781707,23.33734143781707]:d=[-1.7800378408399311,-1.2800378408399311]",,GQSC_V3_FROZEN_ENTRY,1,0,0,0,0,0,0,0,no static obstacle blocks the global race line,0,OTHER,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION,,,,,,,Nonblocking event; no avoidance witness is required.
RP2_3,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,3,0.28127823672934049,0.57675532978881394,3,0.51663213642775307,2,"id=1:s=[10.158499214126838,10.658499214126838]:d=[0.35795893863128414,0.85795893863128414];id=2:s=[2.600377745912263,3.100377745912263]:d=[-0.44210031615722567,0.05789968384277433]","LEFT:domain=[0.53690764785339706,0.98150000000000004]:b=0.68644984192138725",GQSC_V3_FROZEN_ENTRY,1,32,7,128,12,12,0,1,NONE,1,TOP12_RANKING_DISPLACEMENT,HARD_VALID_PAIR_IN_B128_BUT_OUTSIDE_TOP12,LEFT,0.53690764785339706,0.53690764785339706,0.51458109301505117,0.49716841625749453,d2fda08adcd0bf96,
RP2_6,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,6,5.1655302613667331,-0.70913309198590868,3,0.62543928846510521,1,"id=1:s=[14.404992285158425,14.904992285158425]:d=[-1.1009074681945781,-0.60090746819457808]",,GQSC_V3_FROZEN_ENTRY,1,0,0,0,0,0,0,0,no static obstacle blocks the global race line,0,OTHER,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION,,,,,,,Nonblocking event; no avoidance witness is required.
RP2_8,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,8,11.910488442665622,-0.20435623295597471,3,0.64495010497572824,1,"id=1:s=[16.597683025632701,17.097683025632701]:d=[-1.0454182847052012,-0.54541828470520115]",,GQSC_V3_FROZEN_ENTRY,1,0,0,0,0,0,0,0,no static obstacle blocks the global race line,0,OTHER,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION,,,,,,,Nonblocking event; no avoidance witness is required.
RP2_10,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,10,7.2751532179438669,-0.24250819103557447,3,0.85957316786181648,1,"id=1:s=[8.2543157319812046,8.7543157319812046]:d=[-1.5100413475912893,-1.0100413475912893]",,GQSC_V3_FROZEN_ENTRY,1,0,0,0,0,0,0,0,no static obstacle blocks the global race line,0,OTHER,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION,,,,,,,Nonblocking event; no avoidance witness is required.
RP2_17,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,17,42.915054534505444,0.55790634663630545,3,0.47453182027052693,2,"id=1:s=[6.2540746209871356,6.7540746209871356]:d=[-0.70000000000000007,-0.22499999999999976];id=2:s=[3.0821663018722476,3.5821663018722476]:d=[-0.55546614517594994,-0.055466145175949944]","LEFT:domain=[0.42755190379703245,0.90650000000000008]:b=0.60476692741202509",GQSC_V3_FROZEN_ENTRY,1,32,7,128,12,12,0,0,NO_HARD_VALID_M1_CANDIDATE,0,OTHER,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS,,,,,,,"The conservative oracle is a 1D reachable corridor, not an exact five-knot P3 witness."
RP2_20,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,20,42.302729637040379,0.80098296161154847,3,0.6435894592453244,2,"id=1:s=[4.9821059712119302,5.4821059712119302]:d=[-1.1440576389747972,-0.64405763897479718];id=2:s=[7.7377621150066513,8.2377621150066513]:d=[-1.2904156481956739,-0.79041564819567389]",,GQSC_V3_FROZEN_ENTRY,1,0,0,0,0,0,0,0,no static obstacle blocks the global race line,0,OTHER,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION,,,,,,,Nonblocking event; no avoidance witness is required.
RP2_22,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,22,10.103738250930141,-0.39906412986658019,3,0.49953182027052717,2,"id=1:s=[19.343980166427631,19.843980166427631]:d=[-0.72500000000000009,-0.30000000000000004];id=2:s=[14.586454545123702,15.086454545123702]:d=[-0.99076691072656353,-0.49076691072656353]","LEFT:domain=[0.19828925429952071,0.63149999999999995]:b=0.30749999999999994",GQSC_V3_FROZEN_ENTRY,1,32,7,128,12,12,0,1,NONE,1,B128_PAIR_TRUNCATION,HARD_VALID_OPERATOR_PAIR_OUTSIDE_B128,LEFT,0.36074328393720045,0.31074328393720047,1.310934367577036,0.561555950195886,bb76e88f0e4ce5be,
RP2_26,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,26,20.456772869259552,0.42889541283915983,3,0.53865409583598045,1,"id=1:s=[29.614500202868332,30.114500202868332]:d=[-0.53912227556545322,-0.039122275565453224]","LEFT:domain=[0.37777780028432739,0.95650000000000013]:b=0.60043886221727349",GQSC_V3_FROZEN_ENTRY,1,32,7,128,12,12,0,0,NO_HARD_VALID_M1_CANDIDATE,0,OTHER,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS,,,,,,,"The conservative oracle is a 1D reachable corridor, not an exact five-knot P3 witness."
RP2_31,RULE_PROPERTY_CONSERVATIVE_CORRIDOR_538,2,31,14.708221362016172,-0.36723216240280576,3,0.56235117668800672,1,"id=1:s=[15.918027001350751,16.418027001350751]:d=[-0.98781935641747953,-0.48781935641747953]",,GQSC_V3_FROZEN_ENTRY,1,0,0,0,0,0,0,0,no static obstacle blocks the global race line,0,OTHER,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION,,,,,,,Nonblocking event; no avoidance witness is required.
