scope,fixability,count,fraction
20_EXACT_PROVEN_REGRESSION_SNAPSHOTS,selection-only,10,0.5
20_EXACT_PROVEN_REGRESSION_SNAPSHOTS,pair-policy/B128,2,0.1
20_EXACT_PROVEN_REGRESSION_SNAPSHOTS,new geometry operator,7,0.35
20_EXACT_PROVEN_REGRESSION_SNAPSHOTS,P3 representation,0,0.0
20_EXACT_PROVEN_REGRESSION_SNAPSHOTS,parameter/interface reconciliation,1,0.05
ALL_200_PROPERTY_MISSES,SELECTION_ONLY,9,0.045
ALL_200_PROPERTY_MISSES,PAIR_POLICY_OR_BUDGET,2,0.01
ALL_200_PROPERTY_MISSES,NEW_GEOMETRY_OPERATOR,2,0.01
ALL_200_PROPERTY_MISSES,P3_REPRESENTATION,0,0.0
ALL_200_PROPERTY_MISSES,NOT_EXACT_P3_ATTRIBUTABLE,187,0.935
