case_id,witness_proxy_rank,b128_pairs,side,witness_lateral_operator,witness_source,witness_transition,selected_side_distribution,selected_lateral_distribution,selected_transition_distribution,selected_12_operator_transition,exact_unique_shapes,min_pair_distance_normalized,same_witness_transition_count,same_witness_operator_count,first_displacing_field,witness_value,top10_cutoff_value,nearest_selected_distance_normalized,structural_cause
RP2_3,53,128,LEFT,P_TARGET_EQUAL,DIRECT_GEOMETRY,SHORT_ENTRY_SHORT_EXIT,LEFT:12,"P_TARGET_EQUAL:4|P_TARGET_PLUS_001_EQUAL:2|COMPONENT_F2_3_CENTER0125:2|OTHER:4","SHORT_ENTRY_LONG_EXIT:6|LONG_ENTRY_LONG_EXIT:5|LONG_ENTRY_MEDIUM_EXIT:1","COMPONENT_F2_3_CENTER0125/SHORT_ENTRY_LONG_EXIT;COMPONENT_F3_8_MID_MINUS_005/SHORT_ENTRY_LONG_EXIT;COMPONENT_HALF_MID_MINUS_015/SHORT_ENTRY_LONG_EXIT;COMPONENT_F2_3_CENTER0125/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;COMPONENT_F1_32_EQUAL/SHORT_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/SHORT_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_MID_MINUS_001/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/SHORT_ENTRY_LONG_EXIT",12,0.009712,0,4,max_violation,1.087959,0.587077,1.000000,TRANSITION_FAMILY_ABSENT
RP2_136,43,128,LEFT,P_TARGET_MID_PLUS_005,DIRECT_GEOMETRY,SHORT_ENTRY_SHORT_EXIT,LEFT:12,"P_TARGET_EQUAL:5|P_TARGET_PLUS_001_EQUAL:4|COMPONENT_F1_32_EQUAL:2|OTHER:1","LONG_ENTRY_MEDIUM_EXIT:6|LONG_ENTRY_LONG_EXIT:4|LONG_ENTRY_SHORT_EXIT:1|MEDIUM_ENTRY_SHORT_EXIT:1","P_TARGET_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;COMPONENT_F1_32_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_MID_MINUS_001/LONG_ENTRY_MEDIUM_EXIT;COMPONENT_F1_32_EQUAL/LONG_ENTRY_SHORT_EXIT;P_TARGET_EQUAL/MEDIUM_ENTRY_SHORT_EXIT",12,0.000639,0,0,curvature_proxy,0.297732,0.098106,1.222269,TRANSITION_FAMILY_ABSENT
RP2_184,67,128,LEFT,COMPONENT_F2_3_CENTER0125,DIRECT_GEOMETRY,LONG_ENTRY_MEDIUM_EXIT,LEFT:12,"P_TARGET_MID_MINUS_010:4|COMPONENT_F2_3_CENTER0125:3|COMPONENT_HALF_MID_MINUS_015:2|CORRIDOR_CENTER_EQUAL:2|OTHER:1","SHORT_ENTRY_SHORT_EXIT:5|LONG_ENTRY_SHORT_EXIT:4|MEDIUM_ENTRY_SHORT_EXIT:2|SHORT_ENTRY_LONG_EXIT:1","COMPONENT_F2_3_CENTER0125/SHORT_ENTRY_LONG_EXIT;COMPONENT_F2_3_CENTER0125/MEDIUM_ENTRY_SHORT_EXIT;COMPONENT_F2_3_CENTER0125/SHORT_ENTRY_SHORT_EXIT;COMPONENT_HALF_MID_MINUS_015/SHORT_ENTRY_SHORT_EXIT;COMPONENT_HALF_MID_MINUS_015/MEDIUM_ENTRY_SHORT_EXIT;CORRIDOR_CENTER_EQUAL/SHORT_ENTRY_SHORT_EXIT;CORRIDOR_CENTER_EQUAL/LONG_ENTRY_SHORT_EXIT;P_TARGET_MID_MINUS_010/SHORT_ENTRY_SHORT_EXIT;P_TARGET_MID_MINUS_010/LONG_ENTRY_SHORT_EXIT;P_TARGET_MID_MINUS_010/SHORT_ENTRY_SHORT_EXIT;P_TARGET_MID_MINUS_010/LONG_ENTRY_SHORT_EXIT;P_TARGET_MINUS_006_MID_MINUS_008/LONG_ENTRY_SHORT_EXIT",12,0.021267,0,3,exit_conflict,TRUE,FALSE,0.901388,TRANSITION_FAMILY_ABSENT
RP2_203,55,128,LEFT,P_TARGET_MID_MINUS_002,DIRECT_GEOMETRY,LONG_ENTRY_SHORT_EXIT,LEFT:12,"P_TARGET_CENTER025:2|P_TARGET_MID_PLUS_005:2|P_TARGET_MID_MINUS_010:2|OTHER:6",LONG_ENTRY_MEDIUM_EXIT:12,"P_TARGET_CENTER025/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_CENTER025/LONG_ENTRY_MEDIUM_EXIT;COMPONENT_NEAR_MID_MINUS_004/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_010_MID_MINUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_006_MID_MINUS_008/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_010/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_010/LONG_ENTRY_MEDIUM_EXIT;CORRIDOR_CENTER_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_CENTER0125/LONG_ENTRY_MEDIUM_EXIT",12,0.003045,0,1,exit_conflict,TRUE,FALSE,0.484375,TRANSITION_FAMILY_ABSENT
RP3_28,42,128,LEFT,P_TARGET_PLUS_006_MID_MINUS_002,DIRECT_GEOMETRY_OFFSET,LONG_ENTRY_SHORT_EXIT,LEFT:12,"P_TARGET_MID_PLUS_005:4|P_TARGET_MID_MINUS_010:2|P_TARGET_MINUS_006_MID_MINUS_008:2|P_TARGET_MINUS_010_MID_MINUS_005:2|P_TARGET_EQUAL:2","LONG_ENTRY_MEDIUM_EXIT:6|LONG_ENTRY_SHORT_EXIT:5|LONG_ENTRY_LONG_EXIT:1","P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_SHORT_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_SHORT_EXIT;P_TARGET_MID_MINUS_010/LONG_ENTRY_SHORT_EXIT;P_TARGET_MID_MINUS_010/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_006_MID_MINUS_008/LONG_ENTRY_SHORT_EXIT;P_TARGET_MINUS_006_MID_MINUS_008/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_010_MID_MINUS_005/LONG_ENTRY_SHORT_EXIT;P_TARGET_MINUS_010_MID_MINUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_MEDIUM_EXIT",12,0.022097,5,0,curvature_proxy,1.337830,1.121337,0.094140,LATERAL_SHAPE_DISPLACED_WITH_TRANSITION_PRESENT
RP3_43,31,128,LEFT,P_TARGET_MINUS_002_MID_PLUS_015,DIRECT_GEOMETRY_OFFSET,LONG_ENTRY_SHORT_EXIT,LEFT:12,"P_TARGET_EQUAL:4|P_TARGET_MID_MINUS_002:4|P_TARGET_MID_PLUS_005:2|OTHER:2","LONG_ENTRY_MEDIUM_EXIT:8|LONG_ENTRY_LONG_EXIT:4","P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_010_MID_MINUS_005/LONG_ENTRY_MEDIUM_EXIT;COMPONENT_NEAR_MID_MINUS_004/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT",12,0.022097,0,0,curvature_proxy,0.915908,0.162960,2.870000,TRANSITION_FAMILY_ABSENT
RP3_77,28,128,LEFT,COMPONENT_F2_3_CENTER0125,DIRECT_GEOMETRY,LONG_ENTRY_MEDIUM_EXIT,LEFT:12,"P_TARGET_EQUAL:4|P_TARGET_CENTER0125:2|P_TARGET_MINUS_001_EQUAL:2|P_TARGET_PLUS_001_EQUAL:2|P_TARGET_PLUS_001_MID_MINUS_001:2","LONG_ENTRY_MEDIUM_EXIT:7|LONG_ENTRY_LONG_EXIT:5","P_TARGET_CENTER0125/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_MINUS_001_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_MID_MINUS_001/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_001_MID_MINUS_001/LONG_ENTRY_LONG_EXIT;P_TARGET_CENTER0125/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_MEDIUM_EXIT",12,0.000579,7,0,curvature_proxy,0.586958,0.139304,0.856124,LATERAL_SHAPE_DISPLACED_WITH_TRANSITION_PRESENT
RP3_219,40,128,LEFT,COMPONENT_F3_8_MID_MINUS_005,DIRECT_GEOMETRY,SHORT_ENTRY_SHORT_EXIT,LEFT:12,"P_TARGET_EQUAL:2|P_TARGET_PLUS_001_EQUAL:2|COMPONENT_F2_3_CENTER0125:2|COMPONENT_F3_8_MID_MINUS_005:2|OTHER:4","LONG_ENTRY_LONG_EXIT:5|SHORT_ENTRY_LONG_EXIT:4|LONG_ENTRY_MEDIUM_EXIT:3","COMPONENT_F3_8_MID_MINUS_005/SHORT_ENTRY_LONG_EXIT;COMPONENT_HALF_MID_MINUS_015/SHORT_ENTRY_LONG_EXIT;COMPONENT_F2_3_CENTER0125/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_002_MID_PLUS_015/LONG_ENTRY_MEDIUM_EXIT;COMPONENT_F3_8_MID_MINUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;COMPONENT_F1_32_EQUAL/SHORT_ENTRY_LONG_EXIT;COMPONENT_F2_3_CENTER0125/SHORT_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT;P_TARGET_PLUS_001_MID_MINUS_001/LONG_ENTRY_LONG_EXIT;P_TARGET_EQUAL/LONG_ENTRY_LONG_EXIT",12,0.007851,0,2,max_violation,0.629825,0.257125,1.000000,TRANSITION_FAMILY_ABSENT
RP3_269,52,128,LEFT,P_TARGET_MID_MINUS_002,DIRECT_GEOMETRY,SHORT_ENTRY_SHORT_EXIT,LEFT:12,"P_TARGET_EQUAL:2|P_TARGET_PLUS_006_MID_MINUS_002:2|P_TARGET_PLUS_006_CENTER1_04375:2|P_TARGET_MID_PLUS_005:2|OTHER:4","SHORT_ENTRY_LONG_EXIT:5|SHORT_ENTRY_MEDIUM_EXIT:4|LONG_ENTRY_MEDIUM_EXIT:3","P_TARGET_EQUAL/SHORT_ENTRY_LONG_EXIT;P_TARGET_EQUAL/SHORT_ENTRY_LONG_EXIT;COMPONENT_F1_32_EQUAL/SHORT_ENTRY_LONG_EXIT;P_TARGET_PLUS_006_MID_MINUS_002/SHORT_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_006_MID_MINUS_002/SHORT_ENTRY_MEDIUM_EXIT;COMPONENT_NEAR_MID_MINUS_004/SHORT_ENTRY_LONG_EXIT;P_TARGET_PLUS_006_CENTER1_04375/SHORT_ENTRY_MEDIUM_EXIT;P_TARGET_PLUS_006_CENTER1_04375/SHORT_ENTRY_MEDIUM_EXIT;COMPONENT_F1_8_CENTER075/SHORT_ENTRY_LONG_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_PLUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_002_MID_PLUS_015/LONG_ENTRY_MEDIUM_EXIT",12,0.017927,0,0,exit_conflict,TRUE,FALSE,0.515313,TRANSITION_FAMILY_ABSENT
passing_mixed_f1,24,128,RIGHT,COMPONENT_F1_8_CENTER075,DIRECT_GEOMETRY,LONG_ENTRY_MEDIUM_EXIT,RIGHT:12,"P_TARGET_MID_MINUS_002:4|P_TARGET_CENTER025:2|P_TARGET_CENTER0125:2|P_TARGET_MINUS_006_MID_MINUS_008:2|OTHER:2","LONG_ENTRY_MEDIUM_EXIT:10|LONG_ENTRY_LONG_EXIT:2","P_TARGET_CENTER025/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_CENTER025/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_006_MID_MINUS_008/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MINUS_006_MID_MINUS_008/LONG_ENTRY_MEDIUM_EXIT;COMPONENT_NEAR_MID_MINUS_004/LONG_ENTRY_MEDIUM_EXIT;COMPONENT_F3_8_MID_MINUS_005/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_CENTER0125/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_CENTER0125/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_LONG_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_MEDIUM_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_LONG_EXIT;P_TARGET_MID_MINUS_002/LONG_ENTRY_MEDIUM_EXIT",12,0.019531,10,0,curvature_proxy,1.244939,0.568505,0.620986,LATERAL_SHAPE_DISPLACED_WITH_TRANSITION_PRESENT
