record_type,variant,candidate_count_total,candidates_per_evaluation_p50,candidates_per_evaluation_p95,candidates_per_evaluation_p99,candidates_per_evaluation_max,validator_calls_total,validator_calls_per_evaluation_p50,validator_calls_per_evaluation_p95,validator_calls_per_evaluation_p99,validator_calls_per_evaluation_max,constructed_path_total,construction_guard_reject_total,hard_valid_candidate_total,hard_valid_rate_per_validator_global,recovered_oracle_valid_episodes,oracle_valid_episode_count,recovery_fraction_of_oracle_valid,additional_recovery_beyond_production,duplicate_path_count_total,duplicate_path_rate_global,approx_incremental_runtime_total_s,approx_incremental_runtime_p50_s,approx_incremental_runtime_p95_s,approx_incremental_runtime_p99_s,approx_incremental_runtime_max_s,runtime_interpretation,budget,selected_options,covered_oracle_valid_episodes,coverage_fraction,covered_event_ids,uncovered_event_ids,selection_algorithm,coverage_interpretation
VARIANT_AGGREGATE,BASELINE_PRODUCTION,249,3.0,30.0,30.0,30,249,3.0,30.0,30.0,30,249,0,0,0.0,0,23,0.0,0,32,0.1285140562248996,0.08261584598221816,0.0012690549974649912,0.006058286398911142,0.009618450960660992,0.01018431600095937,subprocess wall minus empty baseline; diagnostic only,,,,,,,,
VARIANT_AGGREGATE,A_EXISTING_D_MID_POOL,417,4.5,64.29999999999998,72.44,74,417,4.5,64.29999999999998,72.44,74,417,0,2,0.004796163069544364,1,23,0.043478260869565216,1,39,0.09352517985611511,0.12797139299073024,0.0020142229986959137,0.009925104852300134,0.01234811377020378,0.013102123000862775,subprocess wall minus empty baseline; diagnostic only,,,,,,,,
VARIANT_AGGREGATE,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,265,4.0,30.0,31.22,32,265,4.0,30.0,31.22,32,265,0,16,0.06037735849056604,9,23,0.391304347826087,9,35,0.1320754716981132,0.14300743798230542,0.0026349530016887,0.011008463147663856,0.014285190400078134,0.015364453000074718,subprocess wall minus empty baseline; diagnostic only,,,,,,,,
VARIANT_AGGREGATE,B_CROSS_PAIR_TRANSITIONS,2181,4.0,526.3499999999998,644.38,667,2181,4.0,526.3499999999998,644.38,667,2181,0,63,0.02888583218707015,5,23,0.21739130434782608,5,51,0.023383768913342505,0.48579251697083237,0.002943075998700806,0.07503979950033679,0.12197148486822695,0.1458467259981262,subprocess wall minus empty baseline; diagnostic only,,,,,,,,
VARIANT_AGGREGATE,AB_EXISTING_FACTOR_BASIS,4077,5.0,1023.6999999999995,1259.76,1305,4077,5.0,1023.6999999999995,1259.76,1305,4077,0,69,0.01692420897718911,7,23,0.30434782608695654,7,61,0.014961981849399068,0.7498963859725336,0.0022449074986070627,0.1436648712480746,0.2374489255196385,0.2881043609995686,subprocess wall minus empty baseline; diagnostic only,,,,,,,,
VARIANT_AGGREGATE,AB_DEV_COUNTERFACTUAL,2226,4.0,527.7999999999997,655.6899999999999,667,2226,4.0,527.7999999999997,655.6899999999999,667,2226,0,81,0.03638814016172507,13,23,0.5652173913043478,13,54,0.02425876010781671,0.4523565029812744,0.0030371714983630227,0.07862442279802052,0.12561649589046278,0.15515511500052526,subprocess wall minus empty baseline; diagnostic only,,,,,,,,
VARIANT_AGGREGATE,FULL_LxT_DEV_UPPER_BOUND,21978,33.0,1898.0499999999993,5375.3399999999965,7440,21978,33.0,1898.0499999999993,5375.3399999999965,7440,21978,0,9051,0.4118209118209118,23,23,1.0,23,1318,0.05996905996905997,3.033579500988708,0.012762847001795308,0.3133016999989189,0.8330442452385247,1.0317682709974179,subprocess wall minus empty baseline; diagnostic only,,,,,,,,
TRANSITION_PAIR_ORACLE_UPPER_BOUND,,,,,,,,,,,,,,,,,23,,,,,,,,,,,1,"[[0.514581093015, 0.497168416257]]",16,0.6956521739130435,DVE001|DVE002|DVE006|DVE012|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE029|DVE030|DVE032|DVE037|DVE038,DVE004|DVE005|DVE007|DVE014|DVE024|DVE031|DVE039,EXACT_MAXIMUM_SET_COVERAGE_TIE_LEXICOGRAPHIC,DEVELOPMENT_ORACLE_UPPER_BOUND_NOT_ONLINE_SELECTOR
TRANSITION_PAIR_ORACLE_UPPER_BOUND,,,,,,,,,,,,,,,,,23,,,,,,,,,,,2,"[[0.514581093015, 0.497168416257], [1.310934367577, 0.604986819166]]",21,0.9130434782608695,DVE001|DVE002|DVE005|DVE006|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE024|DVE029|DVE030|DVE031|DVE032|DVE037|DVE038|DVE039,DVE004|DVE007,EXACT_MAXIMUM_SET_COVERAGE_TIE_LEXICOGRAPHIC,DEVELOPMENT_ORACLE_UPPER_BOUND_NOT_ONLINE_SELECTOR
TRANSITION_PAIR_ORACLE_UPPER_BOUND,,,,,,,,,,,,,,,,,23,,,,,,,,,,,3,"[[0.514581093015, 0.497168416257], [0.514581093015, 0.604986819166], [1.310934367577, 7.397546202396]]",22,0.9565217391304348,DVE001|DVE002|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE024|DVE029|DVE030|DVE031|DVE032|DVE037|DVE038|DVE039,DVE004,EXACT_MAXIMUM_SET_COVERAGE_TIE_LEXICOGRAPHIC,DEVELOPMENT_ORACLE_UPPER_BOUND_NOT_ONLINE_SELECTOR
