development_event_id,mechanism_class,template_primary_class,a_existing_mid_pool_recovered,a_dev_counterfactual_recovered,b_cross_transition_recovered,ab_dev_counterfactual_recovered,full_hard_valid_configuration_count,full_unique_hard_valid_lateral_count,full_unique_hard_valid_transition_count,required_side,ego_to_obstacle_start_m,obstacle_longitudinal_span_m,obstacle_raw_d_right_m,obstacle_raw_d_left_m,obstacle_inflated_d_right_m,obstacle_inflated_d_left_m,chosen_side_free_space_width_m,corridor_bottleneck_width_m,corridor_bottleneck_station_m,corridor_bottleneck_center_m,corridor_bottleneck_active_obstacles,available_merge_distance_after_obstacle_m,available_merge_distance_status,ego_d_m,ego_speed_mps,required_d_target_m,required_d_mid_m,required_entry_scale,required_exit_scale,reference_curvature_entry_radpm,reference_curvature_obstacle_radpm,reference_curvature_exit_radpm,maximum_abs_reference_curvature_maneuver_radpm,reference_curvature_pattern,track_total_width_entry_m,track_total_width_obstacle_m,track_total_width_exit_m,track_width_range_over_maneuver_m
DVE001,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,False,True,1219,714,2,RIGHT,0.5303974721786826,0.21568639067760387,-0.23782645683028816,-0.033563341257065414,-0.4678264568302881,0.19643665874293456,0.2546735431697119,0.2546735431697119,0.5763472806706762,-0.595163228415144,[610],3.4741172654102854,TO_NEXT_VISIBLE_OBSTACLE,-0.669079293972638,0.20287498389138472,-0.46782645683028812,-0.49999999999999917,0.71366941165554731,0.49716841625749453,-6.593912861650967e-16,1.538579667718559e-15,2.1979709538836328e-15,4.1761448123789126e-15,NEAR_ZERO,1.8625000000000003,1.8625000000000003,1.875,0.0625
DVE002,OTHER,,False,False,False,False,66,33,2,LEFT,0.23626025452301447,0.3352187232507675,-0.38595358963391163,0.18795442595556652,-0.6159535896339117,0.41795442595556653,0.9666344851072564,0.5545455740444336,0.24672569555011414,0.6952272129777833,[79],14.428521022226217,CENSORED_AT_15M_LOOKAHEAD,0.15582772957225538,0.0,0.52000000000000002,0.38000000000000006,0.51458109301505117,0.49716841625749453,0.6926792346629709,0.605537730392042,0.24549519270284087,0.6926792346629709,POSITIVE,2.075,2.0,2.6500000000000004,0.6500000000000004
DVE004,D_PROBE_DOMINANT,,False,False,False,False,5,5,1,LEFT,0.03919180232155539,0.06960125795286887,-0.2650899188648962,-0.08387634943793984,-0.4950899188648962,0.14612365056206014,0.82637634943794,0.82637634943794,0.06536223987305068,0.5593118252810302,[15],1.7901001808633328,TO_NEXT_VISIBLE_OBSTACLE,0.11913705194592336,0.0,0.14999999999999999,0.15000000000000077,1.310934367577036,6.6778298962198157,0.6636512270917774,0.6636512270917774,-2.637565144660268e-14,0.694169267872928,SIGN_CHANGE,2.0,2.0,1.8125,1.5999999999999996
DVE005,D_PROBE_DOMINANT,,False,False,False,False,6,4,2,RIGHT,0.12750660984781725,0.023277555928176596,-0.16115057871499378,-0.1403663750569323,-0.39115057871499376,0.08963362494306767,0.3188494212850062,0.3188494212850062,0.13914538781190555,-0.5505752893574969,[28],14.849215834224006,CENSORED_AT_15M_LOOKAHEAD,-0.29147676794776134,0.32444270983246104,-0.39115057871499376,-0.44999999999999918,0.51458109301505117,0.60498681916591468,0.6926792346629709,0.6926792346629709,0.3189245808619979,0.6636512270917774,POSITIVE,2.075,2.075,2.2875000000000005,0.3125
DVE006,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,False,True,591,373,2,LEFT,0.32654278804298875,0.27080253141754174,-0.39612552681928,-0.20917165361508872,-0.62612552681928,0.020828346384911267,0.9391716536150889,0.9391716536150889,0.4619440537517596,0.4904141731924557,[85],2.43150520128144,TO_NEXT_VISIBLE_OBSTACLE,0.24502107913697357,0.0,0.19000000000000003,0.20000000000000007,0.71366941165554731,0.49716841625749453,0.6636512270917774,0.605537730392042,0.24607367480059747,0.6636512270917774,POSITIVE,2.0,2.0,2.4625000000000004,0.6500000000000004
DVE007,OTHER,,False,False,False,False,2,2,1,RIGHT,0.17928945394084939,0.0147446561527107,0.002403245330437675,0.020262981978984254,-0.2275967546695623,0.2502629819789842,0.6324032453304377,0.6324032453304377,0.18666178201720474,-0.5437983773347812,[28],2.3036441271377273,TO_NEXT_VISIBLE_OBSTACLE,-0.09211946865662855,0.0,-0.22999999999999998,-0.22999999999999998,1.310934367577036,7.3975462023963852,0.659405264656562,0.659405264656562,0.035935254690761316,0.6926792346629709,SIGN_CHANGE,2.2125000000000004,2.2125000000000004,1.925,1.4374999999999998
DVE012,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,False,True,True,519,52,29,RIGHT,0.1553537068747124,0.01771081498477045,-0.17587382392667472,-0.15977152566588007,-0.4058738239266747,0.07022847433411991,0.7291261760733255,0.7291261760733255,0.16420911436709762,-0.7704369119633374,[56],14.826935478140516,CENSORED_AT_15M_LOOKAHEAD,-0.3014258724217154,0.0,-0.40999999999999998,-0.39999999999999997,0.51458109301505117,3.9473573093269398,0.24645390860160377,0.24645390860160377,1.4286811200243612e-15,0.30429655648995757,SIGN_CHANGE,2.2875,2.2875,1.9125,1.3375
DVE014,D_PROBE_DOMINANT,,False,False,False,False,22,15,3,RIGHT,0.1606350427604024,0.014846034055501889,-0.14068151566060735,-0.13095112373426657,-0.37068151566060736,0.09904887626573342,0.5268184843393927,0.5268184843393927,0.16805805978815336,-0.6340907578303037,[145],14.824518923184096,CENSORED_AT_15M_LOOKAHEAD,-0.2613767724649473,0.0,-0.37068151566060736,-0.37,1.310934367577036,7.3975462023963852,0.30429655648995757,0.30429655648995757,0.5072663874247725,0.5072663874247725,SIGN_CHANGE,2.1375,2.1375,1.9625000000000004,1.4374999999999998
DVE015,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,False,True,472,236,2,RIGHT,0.03529692875138801,0.18485433620395808,-0.10559383557115959,-0.031343917152148695,-0.33559383557115957,0.1986560828478513,0.3994061644288404,0.3994061644288404,0.12772409685336705,-0.5352969177855798,[17],14.779848735044654,CENSORED_AT_15M_LOOKAHEAD,-0.3662871642814325,0.0,-0.38999999999999996,-0.54999999999999993,0.51458109301505117,0.49716841625749453,0.605537730392042,0.5306596273496218,0.29185193577797297,0.5306596273496218,POSITIVE,2.0,2.0625,2.1875,0.25
DVE017,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,False,True,1604,802,2,RIGHT,0.18394857307891854,0.18485433620395808,-0.10559383557115959,-0.031343917152148695,-0.33559383557115957,0.1986560828478513,0.3994061644288404,0.3994061644288404,0.2763757411808976,-0.5352969177855798,[17],14.631197090717123,CENSORED_AT_15M_LOOKAHEAD,-0.48180131324627,0.0,-0.37999999999999995,-0.41999999999999998,0.51458109301505117,0.49716841625749453,0.605537730392042,0.5306596273496218,0.29185193577797297,0.5306596273496218,POSITIVE,2.0,2.0625,2.1875,0.25
