development_event_id,oracle_valid_in_full_development_oracle,mechanism_class,template_primary_class,BASELINE_PRODUCTION__recovered,BASELINE_PRODUCTION__candidates,BASELINE_PRODUCTION__validators,BASELINE_PRODUCTION__hard_valid,A_EXISTING_D_MID_POOL__recovered,A_EXISTING_D_MID_POOL__candidates,A_EXISTING_D_MID_POOL__validators,A_EXISTING_D_MID_POOL__hard_valid,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__recovered,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__candidates,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__validators,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__hard_valid,B_CROSS_PAIR_TRANSITIONS__recovered,B_CROSS_PAIR_TRANSITIONS__candidates,B_CROSS_PAIR_TRANSITIONS__validators,B_CROSS_PAIR_TRANSITIONS__hard_valid,AB_EXISTING_FACTOR_BASIS__recovered,AB_EXISTING_FACTOR_BASIS__candidates,AB_EXISTING_FACTOR_BASIS__validators,AB_EXISTING_FACTOR_BASIS__hard_valid,AB_DEV_COUNTERFACTUAL__recovered,AB_DEV_COUNTERFACTUAL__candidates,AB_DEV_COUNTERFACTUAL__validators,AB_DEV_COUNTERFACTUAL__hard_valid,FULL_LxT_DEV_UPPER_BOUND__recovered,FULL_LxT_DEV_UPPER_BOUND__candidates,FULL_LxT_DEV_UPPER_BOUND__validators,FULL_LxT_DEV_UPPER_BOUND__hard_valid
DVE001,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,2,2,0,False,2,2,0,True,3,3,1,False,2,2,0,False,2,2,0,True,4,4,1,True,1430,1430,1219
DVE002,True,OTHER,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,True,68,68,66
DVE003,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,3,3,0,False,5,5,0,False,3,3,0,False,4,4,0,False,6,6,0,False,4,4,0,False,4,4,0
DVE004,True,D_PROBE_DOMINANT,,False,1,1,0,False,1,1,0,False,1,1,0,False,1,1,0,False,1,1,0,False,1,1,0,True,6,6,5
DVE005,True,D_PROBE_DOMINANT,,False,7,7,0,False,7,7,0,False,7,7,0,False,18,18,0,False,18,18,0,False,18,18,0,True,42,42,6
DVE006,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,2,2,0,False,2,2,0,True,4,4,2,False,2,2,0,False,2,2,0,True,4,4,2,True,748,748,591
DVE007,True,OTHER,,False,1,1,0,False,1,1,0,False,1,1,0,False,1,1,0,False,1,1,0,False,1,1,0,True,3,3,2
DVE008,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0
DVE009,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,3,3,0,False,5,5,0,False,3,3,0,False,6,6,0,False,9,9,0,False,6,6,0,False,6,6,0
DVE010,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0
