selector,budget_k,oracle_valid_episode_count,recovered_episode_count,recovery_rate,selected_candidate_count_total,selected_candidates_per_episode_p50,selected_candidates_per_episode_p95,selected_candidates_per_episode_max,raw_harness_validator_executions_total,construction_guard_reject_count_total,deduplicated_validator_calls_total,duplicate_path_count_total,hard_valid_candidate_count_total,runtime_wall_p50_s,runtime_wall_p95_s,runtime_wall_p99_s,runtime_wall_max_s,runtime_interpretation
H3_FIXED_BOUNDED,4,23,8,0.34782608695652173,92,4.0,4.0,4,88,4,80,8,11,0.009523888998955954,0.02335229229865944,0.025782632919581376,0.026273565999872517,"raw exact-harness subprocess wall, not production callback latency"
H3_FIXED_BOUNDED,8,23,10,0.43478260869565216,184,8.0,8.0,8,173,11,154,19,20,0.010258752001391258,0.019790818100955218,0.02184221804032859,0.022389054000086617,"raw exact-harness subprocess wall, not production callback latency"
H3_FIXED_BOUNDED,12,23,10,0.43478260869565216,276,12.0,12.0,12,252,24,219,33,30,0.011498235999169992,0.021033869600796604,0.022969402878152325,0.023450860997400014,"raw exact-harness subprocess wall, not production callback latency"
H3_FIXED_BOUNDED,16,23,11,0.4782608695652174,368,16.0,16.0,16,329,39,289,40,40,0.012613232000148855,0.02194660190107242,0.026108206659482682,0.02718555699902936,"raw exact-harness subprocess wall, not production callback latency"
H3_FIXED_BOUNDED,24,23,13,0.5652173913043478,550,24.0,24.0,24,472,78,415,57,58,0.013467229997331742,0.020997360199180547,0.022385641860819306,0.022744294001313392,"raw exact-harness subprocess wall, not production callback latency"
H4A_GEOMETRY_TRANSITION,4,23,9,0.391304347826087,92,4.0,4.0,4,87,5,87,0,17,0.010822117001225706,0.018145648200516007,0.021754397061667992,0.022738980002031894,"raw exact-harness subprocess wall, not production callback latency"
H4A_GEOMETRY_TRANSITION,8,23,12,0.5217391304347826,184,8.0,8.0,8,168,16,168,0,26,0.011191581997991307,0.02116916560044046,0.023355598279013068,0.023887497998657636,"raw exact-harness subprocess wall, not production callback latency"
H4A_GEOMETRY_TRANSITION,12,23,14,0.6086956521739131,276,12.0,12.0,12,239,37,237,2,36,0.012112127002183115,0.02183408500131918,0.027174698879389333,0.028675845998805016,"raw exact-harness subprocess wall, not production callback latency"
H4A_GEOMETRY_TRANSITION,16,23,14,0.6086956521739131,368,16.0,16.0,16,299,69,295,4,41,0.01424657300231047,0.022865214498597197,0.02762770309956978,0.028943037999852095,"raw exact-harness subprocess wall, not production callback latency"
H4A_GEOMETRY_TRANSITION,24,23,16,0.6956521739130435,550,24.0,24.0,24,436,114,411,25,55,0.014079792999837082,0.022378505099914035,0.02450939191730868,0.02505515999655472,"raw exact-harness subprocess wall, not production callback latency"
H4B_GEOMETRY_LATERAL_TRANSITION,4,23,13,0.5652173913043478,92,4.0,4.0,4,80,12,80,0,21,0.009366628997668158,0.021773297899926543,0.027155915718394687,0.02860217899797135,"raw exact-harness subprocess wall, not production callback latency"
H4B_GEOMETRY_LATERAL_TRANSITION,8,23,15,0.6521739130434783,184,8.0,8.0,8,152,32,152,0,30,0.011192468999070115,0.024540544800402127,0.027334598937814012,0.028072285997041035,"raw exact-harness subprocess wall, not production callback latency"
H4B_GEOMETRY_LATERAL_TRANSITION,12,23,16,0.6956521739130435,276,12.0,12.0,12,223,53,223,0,42,0.013197153002693085,0.020081116899018526,0.0299449492020358,0.03271819000292453,"raw exact-harness subprocess wall, not production callback latency"
H4B_GEOMETRY_LATERAL_TRANSITION,16,23,16,0.6956521739130435,368,16.0,16.0,16,284,84,282,2,44,0.014715856003022054,0.023484282098434048,0.028324184519660782,0.029660483000043314,"raw exact-harness subprocess wall, not production callback latency"
H4B_GEOMETRY_LATERAL_TRANSITION,24,23,16,0.6956521739130435,550,24.0,24.0,24,400,150,372,28,55,0.01482842300174525,0.02518178039899794,0.025562893841706683,0.025606163002521498,"raw exact-harness subprocess wall, not production callback latency"
