method,source_variant,budget_k,online_selectable,interpretation,oracle_valid_episode_count,recovered_episode_count,recovery_rate,candidate_count_total,candidates_per_episode_p50,candidates_per_episode_p95,candidates_per_episode_max,validator_calls_total,duplicate_path_count_total,hard_valid_candidate_count_total
PRODUCTION,BASELINE_PRODUCTION,UNBOUNDED_OR_PRODUCTION,True,ONLINE_PRODUCTION_BASELINE,23,0,0.0,175,2.0,30.0,30,175,8,0
SIMPLE_UNCOUPLE_D_MID,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,UNBOUNDED_OR_PRODUCTION,False,DEVELOPMENT_ORACLE_INFORMED_UPPER_BOUND,23,9,0.391304347826087,191,4.0,30.0,32,191,11,16
SIMPLE_TRANSITION_CROSS_PAIR,B_CROSS_PAIR_TRANSITIONS,UNBOUNDED_OR_PRODUCTION,True,ONLINE_FACTOR_VALUES_BUT_EXHAUSTIVE_NOT_BOUNDED,23,5,0.21739130434782608,2044,2.0,600.2999999999998,667,2044,11,63
SIMPLE_A_PLUS_B,AB_DEV_COUNTERFACTUAL,UNBOUNDED_OR_PRODUCTION,False,DEVELOPMENT_ORACLE_INFORMED_UPPER_BOUND,23,13,0.5652173913043478,2089,4.0,626.3999999999999,667,2089,14,81
FULL_LxT,FULL_LxT_DEV_UPPER_BOUND,UNBOUNDED_OR_PRODUCTION,False,DEVELOPMENT_ORACLE_INFORMED_UPPER_BOUND,23,23,1.0,21841,416.0,2119.8999999999996,7440,21841,1278,9051
H3_FIXED_BOUNDED,H3_FIXED_BOUNDED,4,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,8,0.34782608695652173,92,4.0,4.0,4,80,8,11
H3_FIXED_BOUNDED,H3_FIXED_BOUNDED,8,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,10,0.43478260869565216,184,8.0,8.0,8,154,19,20
H3_FIXED_BOUNDED,H3_FIXED_BOUNDED,12,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,10,0.43478260869565216,276,12.0,12.0,12,219,33,30
H3_FIXED_BOUNDED,H3_FIXED_BOUNDED,16,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,11,0.4782608695652174,368,16.0,16.0,16,289,40,40
H3_FIXED_BOUNDED,H3_FIXED_BOUNDED,24,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,13,0.5652173913043478,550,24.0,24.0,24,415,57,58
H4A_GEOMETRY_TRANSITION,H4A_GEOMETRY_TRANSITION,4,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,9,0.391304347826087,92,4.0,4.0,4,87,0,17
H4A_GEOMETRY_TRANSITION,H4A_GEOMETRY_TRANSITION,8,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,12,0.5217391304347826,184,8.0,8.0,8,168,0,26
H4A_GEOMETRY_TRANSITION,H4A_GEOMETRY_TRANSITION,12,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,14,0.6086956521739131,276,12.0,12.0,12,237,2,36
H4A_GEOMETRY_TRANSITION,H4A_GEOMETRY_TRANSITION,16,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,14,0.6086956521739131,368,16.0,16.0,16,295,4,41
H4A_GEOMETRY_TRANSITION,H4A_GEOMETRY_TRANSITION,24,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,16,0.6956521739130435,550,24.0,24.0,24,411,25,55
H4B_GEOMETRY_LATERAL_TRANSITION,H4B_GEOMETRY_LATERAL_TRANSITION,4,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,13,0.5652173913043478,92,4.0,4.0,4,80,0,21
H4B_GEOMETRY_LATERAL_TRANSITION,H4B_GEOMETRY_LATERAL_TRANSITION,8,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,15,0.6521739130434783,184,8.0,8.0,8,152,0,30
H4B_GEOMETRY_LATERAL_TRANSITION,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,16,0.6956521739130435,276,12.0,12.0,12,223,0,42
H4B_GEOMETRY_LATERAL_TRANSITION,H4B_GEOMETRY_LATERAL_TRANSITION,16,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,16,0.6956521739130435,368,16.0,16.0,16,282,2,44
H4B_GEOMETRY_LATERAL_TRANSITION,H4B_GEOMETRY_LATERAL_TRANSITION,24,True,DETERMINISTIC_PRE_PLANNING_GEOMETRY_OR_FIXED_RULE,23,16,0.6956521739130435,550,24.0,24.0,24,372,28,55
