control_event_id,dataset_role,official_failure_split_membership,bag,callback_sequence,evaluation_sequence,input_snapshot_id,ego_snapshot_id,obstacle_snapshot_id,reference_snapshot_id,selection_hash,selection_rule,outside_every_frozen_failure_episode,exact_candidate_lineage,constructed_digest_multiset_parity,returned_digest_multiset_parity,production_constructed_count,production_hard_valid_count,production_selected_side,baseline_parity_runtime_s,event_input_sha256
SCE001,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_00_30,23761,1,input_5825cc21f7afe320,ego_afa1b3ca7063cf68,obs_15b277686dd224ba,ref_3f5d487564f4ee3d,067cda4dd691c6e47b5fa5638ee6815ec82810d5863a7b3ae9344f2bc1a7a9d7,lowest six SHA256 per bag among strict production successes,True,True,True,True,6,2,LEFT,0.003998159998445772,1fb4df0c9eb1ac543a584f295ea6ec7b3ae377644571884de8e84f2e64133394
SCE002,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_00_30,34294,1,input_3a420882860f3ae1,ego_3fc580bd85c7a6c5,obs_b9c2c2259ef9aea0,ref_3f5d487564f4ee3d,0686c7a8eba8fe6ca2749a02f76bba10a4c78c850433ba71aca73f55bb4a55d3,lowest six SHA256 per bag among strict production successes,True,True,True,True,2,2,LEFT,0.006874423001136165,4cfa476eebbdbfb89e22bb1ba8800d8e78d1e4b0e117d0292b8685f9e167a809
SCE003,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_00_30,19127,1,input_d3705338c0633629,ego_4df2f0bcffdccc6c,obs_f0b91cc23ab4e20c,ref_3f5d487564f4ee3d,07af2bb9f970afd6084a746d47c81377c48919ab499ae0c5e4810c7f16798bfa,lowest six SHA256 per bag among strict production successes,True,True,True,True,10,7,RIGHT,0.00998278599945479,18818e3b4b96b1d39851b7a1e16855d37d6408ae5842e40e7014541da60719e6
SCE004,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_00_30,12016,1,input_2a81adf2cdc08be3,ego_10f1f9a40cf2d20c,obs_3ef198d6370f85f9,ref_3f5d487564f4ee3d,09e8fbc5885fe873a4e1f4a47f9f18e3ca8d0c074a52681ce3fe6116efce8139,lowest six SHA256 per bag among strict production successes,True,True,True,True,4,3,RIGHT,0.008084543002041755,747a17c4ab04e4395c49cc0f51f9af7e0d81f90ab901f279313ea1efb6b98543
SCE005,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_00_30,18701,1,input_13709c23e454d2b5,ego_59f2fb89a44359b1,obs_b8343e5854fdad55,ref_3f5d487564f4ee3d,0a687a0323a802b25dec8b79da676c4a379f5321d8faf96444bf5336066e00b5,lowest six SHA256 per bag among strict production successes,True,True,True,True,6,4,LEFT,0.007785630998114357,449d601c2351375b65d6b0e71c324c775d05a55d65441b32a7a1620b14799c81
SCE006,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_00_30,12726,1,input_7160682bd2bf16da,ego_52dbc6f7835a9c55,obs_eb70eaac282075cf,ref_3f5d487564f4ee3d,0c4f52b9314330b174775980a04a0ca7d510bc7e310a4c99708d81db0ff55c37,lowest six SHA256 per bag among strict production successes,True,True,True,True,9,8,RIGHT,0.009367195001686923,562557a3507ec85ec321ab93b3c1c2f32085ee0a5482512301fa2a4af6693e6d
SCE007,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_24_17,28790,1,input_4daf793da12d9ba5,ego_469af2236ff72edc,obs_7889aa8e6db2715a,ref_3f5d487564f4ee3d,014a72df372725202729032c594fb50970030a4ce98e63b321a0f3e261047aff,lowest six SHA256 per bag among strict production successes,True,True,True,True,12,5,LEFT,0.013132521999068558,ec2e9f32d7681bdfe3c7e88a3ffca4fc44ecf613732f206bda2ee24bed617be7
SCE008,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_24_17,23126,1,input_a71c20f81b461b64,ego_58e47f6d4a98e4c6,obs_3428bba2aab0ca27,ref_3f5d487564f4ee3d,01b99e63c966ab7998e9df80104dddcd7a3f1012fbe55e72cd05894bf2c4bf19,lowest six SHA256 per bag among strict production successes,True,True,True,True,2,2,LEFT,0.005244544998276979,fa1d69fecbc25a2ea30c60223a15e2b376d166e06abff25a04e05d50efa648a8
SCE009,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_24_17,10681,1,input_4ce96e41baf04594,ego_360def65ef8aad0f,obs_91778d0c81638401,ref_3f5d487564f4ee3d,01de31638680c6e328c5fed13c1a6a6eb93f869150eec32a0abee5f078852deb,lowest six SHA256 per bag among strict production successes,True,True,True,True,4,2,LEFT,0.004647765999834519,90d49eb872627b2f48b2b9ef651c820ca2edbbec02c326c6286ac56f23b13b3b
SCE010,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_24_17,12617,1,input_8db812afcc2f48b0,ego_eb45099e115c1b6d,obs_331f47cc11a0e72c,ref_3f5d487564f4ee3d,0281ea755885c2b5f08f8983483f3fc4cd15c05fe641e7f5e9562573e8d8be01,lowest six SHA256 per bag among strict production successes,True,True,True,True,15,1,RIGHT,0.006060419000277761,6b467309317be309627ecf4ab2233a639e53e1a2400cc07e857215a420b0d27d
SCE011,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,False,rosbag2_2026_08_24-19_24_17,10648,1,input_225b563a05271eeb,ego_924111aa62022059,obs_4e7fdbb40f734cf8,ref_3f5d487564f4ee3d,02c87b308f7c8dd812ab892ffbd7c9f2e04ce21ceaa98c49f74f8950a8951f4f,lowest six SHA256 per bag among strict production successes,True,True,True,True,4,2,LEFT,0.006279924000409665,bbdaabf87b89f30cf1a008c04b94d92820deaf3f670964781bfbd4a84ba7d0f6
