selector,budget_k,success_control_count,generates_hard_valid_count,production_selected_side_available_count,offline_deduplicated_validator_calls_total,offline_construction_guard_reject_count_total,offline_duplicate_path_count_total,normalized_safety_slack_delta_p50,normalized_safety_slack_delta_min,footprint_margin_delta_p50_m,footprint_margin_delta_min_m,obstacle_margin_delta_p50_m,obstacle_margin_delta_min_m,deployment_additional_validator_calls_total,deployment_selected_path_change_count,deployment_contract
H3_FIXED_BOUNDED,4,18,15,14,70,0,2,0.0,-0.07773437246210463,0.049958034960584874,-0.004464696127050027,0.0,-0.11660155869315694,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H3_FIXED_BOUNDED,8,18,15,14,141,0,3,1.3183898417423734e-16,-0.15757469691920423,0.06204130692215315,-0.06154999397766786,0.0,-0.23636204537880634,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H3_FIXED_BOUNDED,12,18,16,16,210,0,6,-9.138949576474945e-05,-0.15757469691920423,0.005059030101425416,-0.06373281934700883,-4.707563748947152e-05,-0.23636204537880634,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H3_FIXED_BOUNDED,16,18,16,16,278,2,8,-0.002079547203811885,-0.15757469691920423,0.00017570791803278585,-0.06373281934700883,-0.0001855977111656082,-0.23636204537880634,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H3_FIXED_BOUNDED,24,18,16,16,412,7,13,-0.0019881577080470697,-0.15757469691920423,0.00022091034362259343,-0.06154999397766786,-0.0009836431712038074,-0.23636204537880634,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4A_GEOMETRY_TRANSITION,4,18,10,9,72,0,0,-0.009543317085086739,-0.06586782127104224,8.90155562365269e-05,-0.05915772350975112,-0.0027537131958569327,-0.10738237929266864,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4A_GEOMETRY_TRANSITION,8,18,14,13,144,0,0,-9.142466633377255e-05,-0.06586782127104224,-4.203530412638656e-09,-0.06154999397766786,-5.275585343578193e-08,-0.09880173190656336,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4A_GEOMETRY_TRANSITION,12,18,16,15,214,2,0,-0.002079547203811885,-0.06586782127104224,-4.203530412638656e-09,-0.09570671721334031,-0.0001855977111656082,-0.09880173190656336,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4A_GEOMETRY_TRANSITION,16,18,16,15,282,6,0,-0.002079547203811885,-0.06586782127104224,-4.203530412638656e-09,-0.09082017292919262,-0.0001855977111656082,-0.09880173190656336,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4A_GEOMETRY_TRANSITION,24,18,18,17,415,15,2,-0.0052106290930872224,-0.06586782127104224,-0.0006100274664161409,-0.09082017292919262,-0.000935182459538858,-0.09880173190656336,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4B_GEOMETRY_LATERAL_TRANSITION,4,18,7,6,72,0,0,-0.0036041602088891372,-0.06567915844402675,-0.08747135878393231,-0.3400860972741766,0.04224705406414736,0.0,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4B_GEOMETRY_LATERAL_TRANSITION,8,18,10,9,144,0,0,0.003649174756924306,-0.06055375251413446,-0.03282017833821413,-0.3110861951748273,0.16078750045404816,0.0,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4B_GEOMETRY_LATERAL_TRANSITION,12,18,11,10,213,3,0,-0.0036041602088891372,-0.06055375251413446,-0.004090362698760397,-0.3029935345211271,0.14503692916406338,-0.005964473124141195,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4B_GEOMETRY_LATERAL_TRANSITION,16,18,11,10,282,6,0,0.0003657015345872733,-0.06055375251413446,-0.0016012684312600722,-0.3029935345211271,0.1291910569218352,-0.005964473124141195,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
H4B_GEOMETRY_LATERAL_TRANSITION,24,18,11,11,414,18,0,-0.0036041602088891372,-0.06055375251413446,-0.004090362698760397,-0.3029935345211271,0.0035066126690344313,-0.0139743050152632,0,0,PRODUCTION_FIRST_SKIP_STAGE_ON_PRODUCTION_SUCCESS
