dataset_role,hypothesis,budget_k,episode_count,cheap_lateral_factor_evaluations_total,cheap_pair_priority_evaluations_total,p3_reconstruction_attempts_total,p3_reconstruction_attempts_per_episode_p95,p3_reconstruction_attempts_per_episode_max,fully_reconstructed_candidates_total,unique_constructed_candidates_total,validator_calls_total,validator_calls_per_episode_p95,validator_calls_per_episode_max,raw_audit_harness_validator_executions_total,construction_guard_rejects_total,duplicate_constructed_paths_total
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,8,40,49367.0,275651.0,320.0,8.0,8.0,320.0,312.0,312.0,8.0,8.0,320.0,0.0,8.0
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,12,40,49367.0,275651.0,480.0,12.0,12.0,480.0,468.0,468.0,12.0,12.0,480.0,0.0,12.0
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,16,40,49367.0,275651.0,640.0,16.0,16.0,640.0,624.0,624.0,16.0,16.0,640.0,0.0,16.0
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,24,40,49367.0,275651.0,960.0,24.0,24.0,960.0,936.0,936.0,24.0,24.0,960.0,0.0,24.0
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,8,40,49367.0,275651.0,320.0,8.0,8.0,320.0,312.0,312.0,8.0,8.0,320.0,0.0,8.0
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,12,40,49367.0,275651.0,480.0,12.0,12.0,480.0,468.0,468.0,12.0,12.0,480.0,0.0,12.0
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,16,40,49367.0,275651.0,640.0,16.0,16.0,640.0,624.0,624.0,16.0,16.0,640.0,0.0,16.0
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,24,40,49367.0,275651.0,960.0,24.0,24.0,960.0,936.0,936.0,24.0,24.0,960.0,0.0,24.0
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,40,49367.0,275651.0,320.0,8.0,8.0,320.0,312.0,312.0,8.0,8.0,320.0,0.0,8.0
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,40,49367.0,275651.0,480.0,12.0,12.0,480.0,440.0,440.0,12.0,12.0,480.0,0.0,40.0
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,40,49367.0,275651.0,640.0,16.0,16.0,640.0,592.0,592.0,16.0,16.0,640.0,0.0,48.0
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,40,49367.0,275651.0,960.0,24.0,24.0,960.0,832.0,832.0,24.0,24.0,960.0,0.0,128.0
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,8,37,54788.0,418949.0,296.0,8.0,8.0,296.0,285.0,285.0,8.0,8.0,296.0,0.0,11.0
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,12,37,54788.0,418949.0,444.0,12.0,12.0,444.0,427.0,427.0,12.0,12.0,444.0,0.0,17.0
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,16,37,54788.0,418949.0,592.0,16.0,16.0,592.0,569.0,569.0,16.0,16.0,592.0,0.0,23.0
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,24,37,54788.0,418949.0,888.0,24.0,24.0,888.0,854.0,854.0,24.0,24.0,888.0,0.0,34.0
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,8,37,54788.0,418949.0,296.0,8.0,8.0,296.0,281.0,281.0,8.0,8.0,296.0,0.0,15.0
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,12,37,54788.0,418949.0,444.0,12.0,12.0,444.0,421.0,421.0,12.0,12.0,444.0,0.0,23.0
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,16,37,54788.0,418949.0,592.0,16.0,16.0,592.0,561.0,561.0,16.0,16.0,592.0,0.0,31.0
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,24,37,54788.0,418949.0,888.0,24.0,24.0,888.0,842.0,842.0,24.0,24.0,888.0,0.0,46.0
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,37,54788.0,418949.0,296.0,8.0,8.0,296.0,285.0,285.0,8.0,8.0,296.0,0.0,11.0
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,37,54788.0,418949.0,444.0,12.0,12.0,444.0,412.0,412.0,12.0,12.0,444.0,0.0,32.0
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,37,54788.0,418949.0,592.0,16.0,16.0,592.0,552.0,552.0,16.0,16.0,592.0,0.0,40.0
