dataset_role,event_id,strict_side_context_count,lateral_factor_evaluations,pair_priority_evaluations_per_hypothesis,transition_factor_count,geometry_json
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,2,1204,9623,8,"[{""bottleneck_center"": -0.6771898047749098, ""bottleneck_station"": 0.15306811594111736, ""bottleneck_width"": 0.44062039045018064, ""component_count"": 1, ""components"": [[-0.8975000000000001, -0.45687960954981943]], ""domain_lower"": -0.8975000000000002, ""domain_upper"": -0.45687960954981943, ""lateral_factor_count"": 752, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.44083055126780524, ""bottleneck_station"": 0.15306811594111736, ""bottleneck_width"": 0.8383388974643895, ""component_count"": 1, ""components"": [[0.15, 0.86]], ""domain_lower"": 0.15, ""domain_upper"": 0.8600000000000001, ""lateral_factor_count"": 452, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,2,1227,3678,3,"[{""bottleneck_center"": -0.6666578664501042, ""bottleneck_station"": 0.2915671120343557, ""bottleneck_width"": 0.2116842670997916, ""component_count"": 1, ""components"": [[-0.7725, -0.5608157329002084]], ""domain_lower"": -0.7725, ""domain_upper"": -0.5608157329002084, ""lateral_factor_count"": 425, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.414193609605218, ""bottleneck_station"": 0.2915671120343557, ""bottleneck_width"": 0.7916127807895639, ""component_count"": 1, ""components"": [[0.15, 0.8099999999999999]], ""domain_lower"": 0.15, ""domain_upper"": 0.81, ""lateral_factor_count"": 802, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,1,779,6223,8,"[{""bottleneck_center"": 0.6414172572367157, ""bottleneck_station"": 0.3885738629853748, ""bottleneck_width"": 0.9121654855265688, ""component_count"": 1, ""components"": [[0.1853345144734313, 1.0975000000000001]], ""domain_lower"": 0.1853345144734313, ""domain_upper"": 1.0975000000000001, ""lateral_factor_count"": 779, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,1,1686,8424,5,"[{""bottleneck_center"": 0.455529450277968, ""bottleneck_station"": 12.664824110749416, ""bottleneck_width"": 0.8339410994440639, ""component_count"": 1, ""components"": [[0.15, 0.8724999999999999]], ""domain_lower"": 0.15, ""domain_upper"": 0.8725, ""lateral_factor_count"": 1686, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,2,1400,2798,2,"[{""bottleneck_center"": -0.532545192580844, ""bottleneck_station"": 0.9323714781991557, ""bottleneck_width"": 0.8049096148383119, ""component_count"": 1, ""components"": [[-0.9349999999999999, -0.15]], ""domain_lower"": -0.935, ""domain_upper"": -0.15, ""lateral_factor_count"": 836, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.7836051648301772, ""bottleneck_station"": 0.6816088621009504, ""bottleneck_width"": 0.10278967033964581, ""component_count"": 1, ""components"": [[0.7322103296603543, 0.8350000000000001]], ""domain_lower"": 0.7322103296603543, ""domain_upper"": 0.8350000000000002, ""lateral_factor_count"": 564, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,2,2995,35918,12,"[{""bottleneck_center"": -0.46823395209118496, ""bottleneck_station"": 4.616943058840128, ""bottleneck_width"": 0.23353209581763001, ""component_count"": 1, ""components"": [[-0.585, -0.35146790418236995]], ""domain_lower"": -0.585, ""domain_upper"": -0.35146790418236995, ""lateral_factor_count"": 1297, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.48455856203495895, ""bottleneck_station"": 4.616943058840128, ""bottleneck_width"": 0.7258828759300822, ""component_count"": 1, ""components"": [[0.15, 0.8475]], ""domain_lower"": 0.15, ""domain_upper"": 0.8475000000000001, ""lateral_factor_count"": 1698, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,1,1227,2452,2,"[{""bottleneck_center"": 0.6477093035260418, ""bottleneck_station"": 0.2259127933326721, ""bottleneck_width"": 0.6745813929479165, ""component_count"": 1, ""components"": [[0.3104186070520835, 0.9725000000000001]], ""domain_lower"": 0.3104186070520835, ""domain_upper"": 0.9725000000000001, ""lateral_factor_count"": 1227, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,1,1211,9679,8,"[{""bottleneck_center"": -0.37486814653842604, ""bottleneck_station"": 0.3512738198587826, ""bottleneck_width"": 0.7452637069231478, ""component_count"": 1, ""components"": [[-0.7474999999999999, -0.15]], ""domain_lower"": -0.7475, ""domain_upper"": -0.15, ""lateral_factor_count"": 1211, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}]"
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,2,1400,2798,2,"[{""bottleneck_center"": -0.4026749172757714, ""bottleneck_station"": 0.30228309006674436, ""bottleneck_width"": 0.7396501654484571, ""component_count"": 1, ""components"": [[-0.6849999999999999, -0.15]], ""domain_lower"": -0.7725, ""domain_upper"": -0.15, ""lateral_factor_count"": 836, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.7241697228758912, ""bottleneck_station"": 0.30228309006674436, ""bottleneck_width"": 0.12166055424821764, ""component_count"": 1, ""components"": [[0.6633394457517824, 0.785]], ""domain_lower"": 0.6633394457517824, ""domain_upper"": 0.7850000000000001, ""lateral_factor_count"": 564, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE001,2,1248,2494,2,"[{""bottleneck_center"": -0.595163228415144, ""bottleneck_station"": 0.5763472806706762, ""bottleneck_width"": 0.2546735431697119, ""component_count"": 1, ""components"": [[-0.6975, -0.4678264568302881]], ""domain_lower"": -0.7225000000000001, ""domain_upper"": -0.4678264568302881, ""lateral_factor_count"": 802, ""next_obstacle_start"": 4.220201128266572, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.4782183293714673, ""bottleneck_station"": 0.5763472806706762, ""bottleneck_width"": 0.5635633412570654, ""component_count"": 1, ""components"": [[0.19643665874293456, 0.76]], ""domain_lower"": 0.19643665874293456, ""domain_upper"": 0.76, ""lateral_factor_count"": 446, ""next_obstacle_start"": 4.220201128266572, ""side"": ""LEFT""}]"
