dataset_role,method,budget_k,hard_feasible_denominator,hard_recovered,usable_feasible_denominator,usable_recovered,interpretation
DEVELOPMENT,PRODUCTION,PRODUCTION,23,0,17,0,FROZEN_EXACT_RECOMPUTATION
DEVELOPMENT,H3_FIXED_BOUNDED,24,23,13,17,8,FROZEN_EXACT_RECOMPUTATION
DEVELOPMENT,H4A_GEOMETRY_TRANSITION,24,23,16,17,11,FROZEN_EXACT_RECOMPUTATION
DEVELOPMENT,H4B_GEOMETRY_LATERAL_TRANSITION,12,23,16,17,11,FROZEN_EXACT_RECOMPUTATION
DEVELOPMENT,REFERENCE_ORACLE_V2,FINITE_EXHAUSTIVE,23,23,17,17,OFFLINE_FINITE_DOMAIN_REFERENCE_NOT_ONLINE
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,8,23,15,17,13,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,12,23,17,17,14,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,16,23,18,17,15,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,24,23,18,17,15,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,8,23,17,17,13,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,12,23,18,17,13,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,16,23,20,17,15,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,24,23,20,17,15,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,23,15,17,13,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,23,17,17,14,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,23,19,17,15,SEEN_ONLY_V2_DESIGN_RESULT
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,23,20,17,16,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,PRODUCTION,PRODUCTION,25,0,19,0,FROZEN_EXACT_RECOMPUTATION
VALIDATION_SEEN_AFTER_V1,H3_FIXED_BOUNDED,24,25,14,19,10,FROZEN_EXACT_RECOMPUTATION
VALIDATION_SEEN_AFTER_V1,H4A_GEOMETRY_TRANSITION,24,25,14,19,11,FROZEN_EXACT_RECOMPUTATION
VALIDATION_SEEN_AFTER_V1,H4B_GEOMETRY_LATERAL_TRANSITION,12,25,14,19,11,FROZEN_EXACT_RECOMPUTATION
VALIDATION_SEEN_AFTER_V1,REFERENCE_ORACLE_V2,FINITE_EXHAUSTIVE,25,25,19,19,OFFLINE_FINITE_DOMAIN_REFERENCE_NOT_ONLINE
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,8,25,16,19,16,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,12,25,18,19,18,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,16,25,18,19,18,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,24,25,18,19,18,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,8,25,15,19,14,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,12,25,18,19,17,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,16,25,19,19,18,SEEN_ONLY_V2_DESIGN_RESULT
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,24,25,19,19,18,SEEN_ONLY_V2_DESIGN_RESULT
