dataset_role,validity_metric,hypothesis,budget_k,oracle_v2_feasible_production_failure_count,recovered_episode_count,recovery_rate,recovered_event_ids,unrecovered_event_ids
DEVELOPMENT,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,8,23,15,0.6521739130434783,DVE001|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE002|DVE004|DVE005|DVE006|DVE022|DVE023|DVE032|DVE039
DEVELOPMENT,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,12,23,17,0.7391304347826086,DVE001|DVE002|DVE004|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE005|DVE006|DVE022|DVE023|DVE032|DVE039
DEVELOPMENT,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,16,23,18,0.782608695652174,DVE001|DVE002|DVE004|DVE005|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE006|DVE022|DVE023|DVE032|DVE039
DEVELOPMENT,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,24,23,18,0.782608695652174,DVE001|DVE002|DVE004|DVE005|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE006|DVE022|DVE023|DVE032|DVE039
DEVELOPMENT,HARD,R2_BALANCED_PHYSICS_SCORE,8,23,17,0.7391304347826086,DVE001|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE002|DVE004|DVE005|DVE022|DVE032|DVE039
DEVELOPMENT,HARD,R2_BALANCED_PHYSICS_SCORE,12,23,18,0.782608695652174,DVE001|DVE004|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE002|DVE005|DVE022|DVE032|DVE039
DEVELOPMENT,HARD,R2_BALANCED_PHYSICS_SCORE,16,23,20,0.8695652173913043,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE022|DVE032|DVE039
DEVELOPMENT,HARD,R2_BALANCED_PHYSICS_SCORE,24,23,20,0.8695652173913043,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE022|DVE032|DVE039
DEVELOPMENT,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,23,15,0.6521739130434783,DVE001|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE002|DVE004|DVE005|DVE006|DVE022|DVE023|DVE032|DVE039
DEVELOPMENT,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,23,17,0.7391304347826086,DVE001|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039,DVE002|DVE004|DVE005|DVE022|DVE023|DVE032
DEVELOPMENT,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,23,19,0.8260869565217391,DVE001|DVE002|DVE004|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039,DVE005|DVE022|DVE023|DVE032
DEVELOPMENT,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,23,20,0.8695652173913043,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039,DVE022|DVE023|DVE032
DEVELOPMENT,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,8,17,13,0.7647058823529411,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE002|DVE005|DVE022|DVE039
DEVELOPMENT,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,12,17,14,0.8235294117647058,DVE001|DVE002|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE005|DVE022|DVE039
DEVELOPMENT,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,16,17,15,0.8823529411764706,DVE001|DVE002|DVE005|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE022|DVE039
DEVELOPMENT,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,24,17,15,0.8823529411764706,DVE001|DVE002|DVE005|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE022|DVE039
DEVELOPMENT,USABLE,R2_BALANCED_PHYSICS_SCORE,8,17,13,0.7647058823529411,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE002|DVE005|DVE022|DVE039
