control_event_id,dataset_role,bag,production_hard_valid_count,production_digest_parity,production_first_v2_invoked,additional_factor_evaluations,additional_pair_priority_evaluations,additional_p3_reconstructions,additional_exact_validator_calls,selected_path_changed,contract
SCE001,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,2,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE002,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,2,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE003,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,7,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE004,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,3,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE005,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,4,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE006,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,8,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE007,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,5,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE008,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,2,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE009,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,2,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE010,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,1,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE011,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,2,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE012,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,1,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE013,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_25-09_59_22,6,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE014,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_25-09_59_22,6,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE015,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_25-09_59_22,8,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE016,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_25-09_59_22,2,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE017,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_25-09_59_22,6,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
SCE018,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_25-09_59_22,4,True,False,0,0,0,0,False,PRODUCTION_HARD_VALID_THEN_SKIP_V2_STAGE
