event_id,dataset_role,hypothesis,expanded_pair_count,hard_valid_pair_count,usable_valid_pair_count,factor_space_contains_usable,first_usable_pair_rank_before_reconstruction_dedup,first_usable_side,first_usable_d_target,first_usable_d_mid,first_usable_entry_scale,first_usable_exit_scale,first_usable_target_source,first_usable_mid_source,full_pool_audit_runtime_s,online_use,interpretation
DVE029,DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,35379,118,118,True,1,RIGHT,-0.40695853087089273,-0.42921371451203116,1.310934367577036,0.593389663145893,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.250,1.872608487996331,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
DVE029,DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,35379,118,118,True,1,RIGHT,-0.40695853087089273,-0.42921371451203116,1.310934367577036,0.593389663145893,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.250,1.8915713819951634,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
DVE029,DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,35379,118,118,True,27,RIGHT,-0.40695853087089273,-0.40695853087089273,1.310934367577036,0.593389663145893,PRODUCTION_TARGET,MID_EQUALS_TARGET,3.4200091780003277,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
DVE039,DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,31758,853,853,True,382,LEFT,0.6582158104061957,0.6582158104061957,1.310934367577036,7.397546202396385,PRODUCTION_TARGET_PLUS_0.04M,MID_EQUALS_TARGET,4.940629657998215,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
DVE039,DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,31758,853,853,True,63,LEFT,0.6582158104061957,0.6582158104061957,1.310934367577036,7.397546202396385,PRODUCTION_TARGET_PLUS_0.04M,MID_EQUALS_TARGET,5.004926107998472,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
DVE039,DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,31758,853,853,True,2,RIGHT,-0.6496768991403512,-0.4996768991403512,1.310934367577036,3.1286619468037347,PRODUCTION_TARGET_MINUS_0.02M,TARGET_PLUS_0.15M,15.586071860998345,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
VUE013,VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,10328,6,0,False,,,,,,,,,1.4675916620035423,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
VUE013,VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,10328,6,0,False,,,,,,,,,1.48132445000374,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
VUE013,VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,10328,6,0,False,,,,,,,,,3.812985550001031,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
VUE025,VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,38836,406,25,True,3,LEFT,0.21,0.34462591587067476,0.5145810930150512,3.534887747961509,PRODUCTION_TARGET_PLUS_0.06M,TO_CORRIDOR_CENTER_1_F0.438,5.082058368003345,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
VUE025,VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,38836,406,25,True,9,LEFT,0.21,0.34462591587067476,0.5145810930150512,3.534887747961509,PRODUCTION_TARGET_PLUS_0.06M,TO_CORRIDOR_CENTER_1_F0.438,5.150811730003625,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
VUE025,VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,38836,406,25,True,3,LEFT,0.21,0.34462591587067476,0.5145810930150512,3.534887747961509,PRODUCTION_TARGET_PLUS_0.06M,TO_CORRIDOR_CENTER_1_F0.438,15.677113113000814,False,POST_SELECTION_FACTOR_SPACE_COMPLETENESS_DIAGNOSTIC
