scope,total_requests,constructed_paths,validator_executions,hard_valid_rows,runtime_s,cache_policy
DVE001,7201,3729,3729,1254,0.26887159699981567,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE002,6510,4030,4030,132,0.31977440300033777,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE003,8549,4769,4769,0,0.297338148997369,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE004,3846,398,398,10,0.20203683200088562,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE005,23258,1072,1072,12,0.3122565849989769,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE006,7448,5216,5216,1028,0.4350408079990302,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE007,5406,646,646,4,0.18442823699660948,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE008,4076,2032,2032,0,0.17453300000124727,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE009,8932,1306,1306,0,0.2548354249993281,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE010,5880,3896,3896,0,0.32590767799774767,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE011,5196,2716,2716,0,0.25431458100138116,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE012,158022,10686,10686,376,2.8807109979970846,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE013,3988,2476,2476,0,0.2003793139992922,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE014,32398,2458,2458,44,0.48983211900122114,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE015,8232,1616,1616,912,0.16305535599894938,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE016,16692,1662,1662,0,0.4485250219986483,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE017,8914,4698,4698,1652,0.33359897099944646,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE018,35242,3374,3374,211,0.604562556000019,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE019,7914,4842,4842,364,0.31074908899609,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE020,6904,3124,3124,514,0.2542246069970133,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE021,6924,908,908,0,0.11511520099520567,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE022,5992,3512,3512,294,0.28705518600327196,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE023,5868,2396,2396,200,0.2054298760012898,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE024,121173,10356,10356,440,2.627173042001232,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE025,16142,1358,1358,0,0.3467747520044213,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE026,5724,1716,1716,0,0.1513206870004069,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE027,31448,20528,20528,0,3.5125459949995275,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE028,6748,1072,1072,0,0.12783433599906857,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE029,105596,9968,9968,140,3.300439914997696,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE030,5948,3220,3220,440,0.28692183300154284,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE031,34998,3378,3378,130,0.5894096360025287,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE032,5454,3718,3718,16,0.31396959100311506,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE033,6348,2132,2132,0,0.19887856500281487,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE034,5806,5806,5806,0,0.5510663389977708,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE035,12904,2332,2332,0,0.43506232499930775,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE036,26458,1710,1710,0,0.43915121600366547,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE037,9426,5898,5898,888,0.4610237369997776,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE038,7154,3682,3682,1239,0.2605943269954878,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE039,52970,52970,52970,1197,8.324807412001974,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
DVE040,15842,1258,1258,0,0.34421581200149376,reference and evaluator logs indexed once; duplicate oracle requests removed exactly
TOTAL_40_DEVELOPMENT_EPISODES,853531,202664,202664,11497,31.59376510999209,behavior-preserving exact input indexing and request de-duplication
