dataset_role,development_oracle_selected,split_seed,split_algorithm_version,split_uses_oracle_outcomes,source_eligible_manifest_sha256,rank,episode_id,bag,elapsed_s,ros_time_ns,callback_sequence,evaluation_sequence,evaluation_role,clearance_pass,episode_offset_callbacks,ego_s_m,ego_d_m,ego_speed_mps,waypoint0_footprint_margin_m,waypoint0_footprint_margin_min_m,waypoint0_valid_returned_candidate_count,returned_candidate_count_with_waypoint0,production_constructed_candidate_count,production_returned_candidate_count,production_hard_valid_count,lifecycle_state,lifecycle_owner,safe_stop,safe_stop_active_previous_callback,fallback_reason,invalidation_reason,obstacle_count,obstacle_summary,input_snapshot_id,ego_snapshot_id,obstacle_snapshot_id,reference_snapshot_id,source_stamp_ns,obstacle_sequence,source_epoch,reference_generation,candidate_lineage_exact,candidate_path_digest_count,generator_stages,templates,first_failure_distribution,localization_label,localization_temporal_coverage,localization_join_offset_ms,pose_sample_gap_ms,distance_jump_m,unwrapped_dyaw_rad,backward_s_jump_m,abs_d_jump_m,localization_max_empirical_percentile,before_safe_stop_or_boundary_degradation,episode_start_before_preexisting_safe_stop_or_boundary_degradation,plan_evaluation_precedes_same_callback_fallback,exact_input_lineage_verification,obstacle_side_bin,obstacle_count_bin,obstacle_max_width_m,obstacle_width_bin,ego_speed_bin,reference_curvature_radpm,reference_curvature_abs_bin,reference_curvature_sign_bin,lifecycle_context_bin,pilot_event_id,development_event_id,selection_rank,selection_uses_oracle_outcomes
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,67,rosbag2_2026_08_25-09_59_22__EP0074,rosbag2_2026_08_25-09_59_22,955.620097445,1787620517846155930,36618,1,PLAN_PRIMARY,STRICT,0,15.725968488127515,-0.669079293972638,0.20287498389138472,0.0454345981403779,0.039558494513163324,2,2,2,2,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,2,"[{""d_center"":-0.13569489904367676,""d_left"":-0.033563341257065414,""d_right"":-0.23782645683028816,""id"":610,""is_static"":true,""is_visible"":true,""s_center"":16.364209155645,""s_end"":16.4720523509838,""s_start"":16.256365960306198},{""d_center"":-0.6355778779463921,""d_left"":-0.5338586130066731,""d_right"":-0.737290537034632,""id"":659,""is_static"":true,""is_visible"":false,""s_center"":20.032291002691736,""s_end"":20.118412388989384,""s_start"":19.946169616394087}]",input_39ddec62374c3dde,ego_c143e47b1df4dbeb,obs_adfc2fbef47b4d4d,ref_4dc0768eb37d9590,1787620517807650996,23498,2,1,True,2,"{""M1"": 2}","{""ZERO_BOUNDARY_SHORT"": 1, ""ZERO_BOUNDARY_SPAN"": 1}","{""footprint_track_bound"": 1, ""shifted race line exceeds left control steering curvature"": 1}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,10.855436,29.733709,0.0024754920863437955,0.00012355060559375575,0.0009886925286615167,0.0022694819129749355,0.7748062507940541,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,RIGHT,TWO,0.20426311557322274,MEDIUM,LOW,-8.791883815534507e-16,LOW,NEAR_ZERO,IDLE__P0_BACKUP_ONLY,,DVE001,1,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,128,rosbag2_2026_08_24-19_00_30__EP0052,rosbag2_2026_08_24-19_00_30,540.620135977,1787566170760308951,19268,1,PLAN_PRIMARY,STRICT,0,0.9833038890518194,0.15582772957225538,0,0.6776932229046283,0.6776932229046283,2,2,2,2,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,2,"[{""d_center"":0.16978735755983992,""d_left"":0.18795442595556652,""d_right"":0.15092404769358128,""id"":79,""is_static"":true,""is_visible"":true,""s_center"":1.2300295846019336,""s_end"":1.2404950256290332,""s_start"":1.219564143574834},{""d_center"":-0.31180442657814145,""d_left"":-0.23663448510725615,""d_right"":-0.38595358963391163,""id"":85,""is_static"":true,""is_visible"":true,""s_center"":1.4296057176218229,""s_end"":1.5547828668256014,""s_start"":1.3044285684180443}]",input_39d145f2d675ebb8,ego_d06d66a917236d82,obs_cee7eec9ebeb4e8f,ref_3f5d487564f4ee3d,1787566170710805621,7045,2,1,True,2,"{""M1"": 2}","{""ZERO_BOUNDARY_SHORT"": 1, ""ZERO_BOUNDARY_SPAN"": 1}","{""shifted race line exceeds right control steering curvature"": 2}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,-0.067885,29.867733,0.010890081001038105,-0.0003744449196216859,0.003067796276371104,0.010308840215671744,0.8979905026638869,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,MIXED_OR_CENTER,TWO,0.14931910452665548,NARROW,STOPPED,0.6926792346629709,MEDIUM,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE002,2,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,172,rosbag2_2026_08_25-09_59_22__EP0083,rosbag2_2026_08_25-09_59_22,1019.770095303,1787620581996153788,39120,1,PLAN_PRIMARY,STRICT,0,4.300351397445039,-0.9799189488045283,0,0.251860183150785,0.21923407300058953,3,3,3,3,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,2,"[{""d_center"":-0.2765768018717694,""d_left"":-0.220991840959663,""d_right"":-0.332044823089171,""id"":687,""is_static"":true,""is_visible"":true,""s_center"":5.437600051917169,""s_end"":5.476906087690704,""s_start"":5.398294016143634},{""d_center"":-0.0030118379449602965,""d_left"":0.14725510849580167,""d_right"":-0.15327878438572232,""id"":690,""is_static"":true,""is_visible"":true,""s_center"":10.302978813471823,""s_end"":10.349821769754403,""s_start"":10.256135857189243}]",input_66404f71ba20d6c5,ego_efbaac93080b88fd,obs_2f7cd8e2f6389967,ref_4dc0768eb37d9590,1787620581947935351,25663,2,1,True,3,"{""M1"": 3}","{""FAR_SPAN"": 1, ""ZERO_BOUNDARY_SHORT"": 1, ""ZERO_BOUNDARY_SPAN"": 1}","{""footprint_track_bound"": 1, ""shifted race line exceeds left control steering curvature"": 2}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,0.989022,29.453183,0.003247639102273461,-0.0009601531470489755,0.0024890694700614446,0.0010573281357436626,0.9696036081819337,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,MIXED_OR_CENTER,TWO,0.300533892881524,MEDIUM,STOPPED,0.24713265880620555,LOW,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE003,3,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,114,rosbag2_2026_08_24-19_24_17__EP0050,rosbag2_2026_08_24-19_24_17,596.260105794,1787567654000640079,23493,1,PLAN_PRIMARY,STRICT,0,1.1881233467915455,0.11913705194592336,0,0.28596725519987953,0.28596725519987953,1,1,1,1,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,4,"[{""d_center"":-0.17416163394162237,""d_left"":-0.08387634943793984,""d_right"":-0.2650899188648962,""id"":15,""is_static"":true,""is_visible"":true,""s_center"":1.2621157780895353,""s_end"":1.2969164070659698,""s_start"":1.227315149113101},{""d_center"":-0.7366067381635366,""d_left"":-0.6107895611424037,""d_right"":-0.8627891063177939,""id"":17,""is_static"":true,""is_visible"":true,""s_center"":3.2152353321194633,""s_end"":3.343454076309624,""s_start"":3.087016587929303},{""d_center"":-0.08921805137913204,""d_left"":0.02309555762298353,""d_right"":-0.2015316603812465,""id"":19,""is_static"":true,""is_visible"":true,""s_center"":3.924572926754741,""s_end"":4.041799312386772,""s_start"":3.80734654112271},{""d_center"":0.5685535296480323,""d_left"":0.7123671421900248,""d_right"":0.4256227974754239,""id"":15,""is_static"":true,""is_visible"":true,""s_center"":1.0574281361264346,""s_end"":1.1557300016222518,""s_start"":0.9591262706306174}]",input_bbcbf73ac85f2005,ego_7f7bdc344e0ec8eb,obs_a11d501c83cbc772,ref_3f5d487564f4ee3d,1787567653957692742,11595,2,1,True,1,"{""M1"": 1}","{""NEAR_LONG"": 1}","{""path entry is discontinuous from the current ego d"": 1}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,-12.13044,30.678272,0.004847601589762087,-0.0012252797788046,0.0,0.0048336866093926095,0.8727034120734908,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,MIXED_OR_CENTER,THREE_PLUS,0.2867443447146009,MEDIUM,STOPPED,0.6636512270917774,MEDIUM,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE004,4,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,57,rosbag2_2026_08_24-19_24_17__EP0057,rosbag2_2026_08_24-19_24_17,637.11014269,1787567694850676975,25100,1,PLAN_PRIMARY,STRICT,0,0.9700040375671524,-0.29147676794776134,0.32444270983246104,0.26857875732379083,0.26857875732379083,1,1,7,1,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,1,"[{""d_center"":-0.15070885781926238,""d_left"":-0.1403663750569323,""d_right"":-0.16115057871499378,""id"":28,""is_static"":true,""is_visible"":true,""s_center"":1.109149425379058,""s_end"":1.1207882033431462,""s_start"":1.0975106474149696}]",input_9b8b5d73e1fdab91,ego_742f9c136eaf5ce9,obs_5d06b0a06c1d94c3,ref_3f5d487564f4ee3d,1787567694811719004,12992,2,1,True,7,"{""M0_V1"": 6, ""M1"": 1}","{""FROZEN_V1_CURVATURE_CONTINUITY"": 6, ""NEAR_LONG"": 1}","{""footprint_track_bound"": 5, ""shifted race line exceeds left control steering curvature"": 2}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,3.419391,20.9238,0.0003777750114902561,9.839246071763341e-05,0.00022730906901979875,0.00024784426943769144,0.743179829794003,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,RIGHT,ONE,0.020784203658061468,NARROW,LOW,0.6926792346629709,MEDIUM,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE005,5,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,150,rosbag2_2026_08_24-19_00_30__EP0075,rosbag2_2026_08_24-19_00_30,556.070105096,1787566186210278070,19818,1,PLAN_PRIMARY,STRICT,0,1.0185121231158745,0.24502107913697357,0,0.7291026678295783,0.6636905398367448,2,2,2,2,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,3,"[{""d_center"":0.26717062765509114,""d_left"":0.27636452306648296,""d_right"":0.257571578269549,""id"":79,""is_static"":true,""is_visible"":true,""s_center"":1.2747815600912216,""s_end"":1.2801273705720386,""s_start"":1.2694357496104045},{""d_center"":-0.30281674804703457,""d_left"":-0.20917165361508872,""d_right"":-0.39612552681928,""id"":85,""is_static"":true,""is_visible"":true,""s_center"":1.480456176867634,""s_end"":1.615857442576405,""s_start"":1.3450549111588632},{""d_center"":0.19011294287941927,""d_left"":0.2904873216117178,""d_right"":0.08953727496275035,""id"":79,""is_static"":true,""is_visible"":true,""s_center"":4.157074582571414,""s_end"":4.266786521284983,""s_start"":4.047362643857845}]",input_c19b1459ec894f6f,ego_e87e892fce79b379,obs_42cda81b09bb185e,ref_3f5d487564f4ee3d,1787566186150833409,7530,2,1,True,2,"{""M1"": 2}","{""ZERO_BOUNDARY_SHORT"": 1, ""ZERO_BOUNDARY_SPAN"": 1}","{""shifted race line exceeds left control steering curvature"": 2}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,-9.168384,26.074327,0.0031921536038403402,0.002505710183164034,0.0,0.0023486662680632098,0.9319261060921936,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,MIXED_OR_CENTER,THREE_PLUS,0.20095004664896746,MEDIUM,STOPPED,0.6926792346629709,MEDIUM,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE006,6,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,127,rosbag2_2026_08_24-19_24_17__EP0056,rosbag2_2026_08_24-19_24_17,607.510060878,1787567665250595163,23923,1,PLAN_PRIMARY,STRICT,0,0.6452705720726006,-0.09211946865662855,0,0.4134844974325849,0.4134844974325849,1,1,1,1,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,3,"[{""d_center"":0.027497753391401543,""d_left"":0.749374611590905,""d_right"":-0.6943791048081018,""id"":15,""is_static"":true,""is_visible"":true,""s_center"":3.808674333478023,""s_end"":4.474399857652157,""s_start"":3.1429488093038884},{""d_center"":0.7294922159624352,""d_left"":0.7977432008576407,""d_right"":0.6617249118420236,""id"":16,""is_static"":true,""is_visible"":false,""s_center"":0.117486056471008,""s_end"":0.18771621879792916,""s_start"":0.04725589414408683},{""d_center"":0.011318902376812861,""d_left"":0.020262981978984254,""d_right"":0.002403245330437675,""id"":28,""is_static"":true,""is_visible"":true,""s_center"":0.8319323540898054,""s_end"":0.8393046821661607,""s_start"":0.82456002601345}]",input_ec2de627746e8a6e,ego_cac1613222f1cc3f,obs_ce4198d3fda20362,ref_3f5d487564f4ee3d,1787567665211679546,11948,2,1,True,1,"{""M1"": 1}","{""NEAR_LONG"": 1}","{""shifted race line exceeds right control steering curvature"": 1}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,-13.906474000000001,24.892088,0.004941586000771074,0.003838422037554468,0.0,0.004129942493927299,0.8955698719478247,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,MIXED_OR_CENTER,THREE_PLUS,1.4437537163990068,WIDE,STOPPED,0.659405264656562,MEDIUM,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE007,7,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,141,rosbag2_2026_08_24-19_00_30__EP0014,rosbag2_2026_08_24-19_00_30,436.890084667,1787566067030257641,15424,1,PLAN_PRIMARY,STRICT,0,16.980931981823407,-0.18201242357416456,0,0.3747139378913935,0.3747139378913935,2,2,2,2,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,1,"[{""d_center"":-0.25386094126615605,""d_left"":0.08223431778039209,""d_right"":-0.5899562003127041,""id"":75,""is_static"":true,""is_visible"":true,""s_center"":17.38143740218238,""s_end"":17.726947790615466,""s_start"":17.035927013749298}]",input_fbb87040f1e60f36,ego_935d3467e4889f84,obs_2f2f782c6f8cdc25,ref_3f5d487564f4ee3d,1787566066998904587,3769,2,1,True,2,"{""M1"": 2}","{""ZERO_BOUNDARY_SHORT"": 1, ""ZERO_BOUNDARY_SPAN"": 1}","{""d-offset intersects an inflated static-obstacle box"": 2}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,-11.790263000000001,19.400489,0.014917270634148171,0.003991477615333222,0.0,0.01476582264100873,0.9180275654389622,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,RIGHT,ONE,0.6721905180930963,WIDE,STOPPED,7.692898338592898e-16,LOW,NEAR_ZERO,IDLE__P0_BACKUP_ONLY,,DVE008,8,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,134,rosbag2_2026_08_24-19_00_30__EP0050,rosbag2_2026_08_24-19_00_30,540.040086959,1787566170180259933,19245,1,PLAN_PRIMARY,STRICT,0,0.9949671771879947,0.13666459376074072,0,0.6801434924825243,0.6741749189039705,3,3,3,3,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,2,"[{""d_center"":0.2615624833650801,""d_left"":0.37516650173996535,""d_right"":0.14790589239259175,""id"":76,""is_static"":true,""is_visible"":true,""s_center"":4.149471121319513,""s_end"":4.263445075324659,""s_start"":4.035497167314366},{""d_center"":0.06354298658272879,""d_left"":0.2388228254292527,""d_right"":-0.11173685226379511,""id"":79,""is_static"":true,""is_visible"":true,""s_center"":1.3353783342138954,""s_end"":1.4400171552169154,""s_start"":1.2307395132108754}]",input_585b24804c5dfe9e,ego_f0a9d2972bef30c0,obs_6fbc221ca31df787,ref_3f5d487564f4ee3d,1787566170130881965,7023,2,1,True,3,"{""M1"": 3}","{""NEAR_LONG"": 1, ""ZERO_BOUNDARY_SHORT"": 1, ""ZERO_BOUNDARY_SPAN"": 1}","{""d-offset intersects an inflated static-obstacle box"": 2, ""shifted race line exceeds left control steering curvature"": 1}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,2.012074,20.974335,0.041549507532973505,-0.0011502074631457582,0.0,0.038265180234729745,0.9118021774380357,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,LEFT,TWO,0.3505596776930478,MEDIUM,STOPPED,0.6926792346629709,MEDIUM,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE009,9,False
DEVELOPMENT,True,p3_mapping_research_corpus_v1_seed_20260830,episode_iterative_stratification_v1,False,257577c116eb07064e5a3cc367b660a9eee4f5f26460b3582af2afc7205145b0,29,rosbag2_2026_08_24-19_00_30__EP0056,rosbag2_2026_08_24-19_00_30,542.840073923,1787566172980246897,19351,1,PLAN_PRIMARY,STRICT,0,0.9819206345652735,0.20795213566231097,0,0.6288422615778055,0.6288422615778055,2,2,2,2,0,IDLE,P0_BACKUP_ONLY,True,True,SAFE_STOP_AUTHORITY,,3,"[{""d_center"":0.24372280346117534,""d_left"":0.3656306061334164,""d_right"":0.12156630775453277,""id"":76,""is_static"":true,""is_visible"":true,""s_center"":4.181134114012289,""s_end"":4.303389915427569,""s_start"":4.058878312597008},{""d_center"":0.23956911515718587,""d_left"":0.2527832121837458,""d_right"":0.22538246464592543,""id"":79,""is_static"":true,""is_visible"":true,""s_center"":1.239465670634459,""s_end"":1.2479254904618626,""s_start"":1.2310058508070552},{""d_center"":-0.31835048644556696,""d_left"":-0.22115896492849707,""d_right"":-0.41376197185084895,""id"":85,""is_static"":true,""is_visible"":true,""s_center"":1.4666523155094393,""s_end"":1.6049464333175028,""s_start"":1.3283581977013759}]",input_e4a71ad1a8c46e7c,ego_3eba85b77522f621,obs_517157fa9682b999,ref_3f5d487564f4ee3d,1787566172940427001,7124,2,1,True,2,"{""M1"": 2}","{""ZERO_BOUNDARY_SHORT"": 1, ""ZERO_BOUNDARY_SPAN"": 1}","{""shifted race line exceeds right control steering curvature"": 2}",LOC_UNKNOWN,ACCEPTABLE_NOT_A_QUALITY_LABEL,10.416457000000001,30.225602000000002,0.0024346009999175085,-0.00021804164579308782,0.0,0.0024218367635796823,0.6684618948343757,False,False,True,PASS_IDS_AND_CANDIDATE_DIGEST_SET,MIXED_OR_CENTER,THREE_PLUS,0.24406429837888366,MEDIUM,STOPPED,0.6926792346629709,MEDIUM,POSITIVE,IDLE__P0_BACKUP_ONLY,,DVE010,10,False
