development_event_id,dataset_role,episode_id,bag,elapsed_s,callback_sequence,evaluation_sequence,exact_lineage,constructed_digest_parity,returned_digest_parity,production_constructed_count,production_returned_count,production_hard_valid_count,oracle_total_requests,oracle_constructed_paths,oracle_validator_executions,oracle_hard_valid_count,oracle_runtime_s,oracle_classification,mechanism_class
DVE001,DEVELOPMENT,rosbag2_2026_08_25-09_59_22__EP0074,rosbag2_2026_08_25-09_59_22,955.620097445,36618,1,True,True,True,2,2,0,7201,3729,3729,1254,0.26887159699981567,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE002,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0052,rosbag2_2026_08_24-19_00_30,540.620135977,19268,1,True,True,True,2,2,0,6510,4030,4030,132,0.31977440300033777,ORACLE_VALID_P3_EXISTS,OTHER
DVE003,DEVELOPMENT,rosbag2_2026_08_25-09_59_22__EP0083,rosbag2_2026_08_25-09_59_22,1019.770095303,39120,1,True,True,True,3,3,0,8549,4769,4769,0,0.297338148997369,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE004,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0050,rosbag2_2026_08_24-19_24_17,596.260105794,23493,1,True,True,True,1,1,0,3846,398,398,10,0.20203683200088562,ORACLE_VALID_P3_EXISTS,D_PROBE_DOMINANT
DVE005,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0057,rosbag2_2026_08_24-19_24_17,637.11014269,25100,1,True,True,True,7,1,0,23258,1072,1072,12,0.3122565849989769,ORACLE_VALID_P3_EXISTS,D_PROBE_DOMINANT
DVE006,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0075,rosbag2_2026_08_24-19_00_30,556.070105096,19818,1,True,True,True,2,2,0,7448,5216,5216,1028,0.4350408079990302,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE007,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0056,rosbag2_2026_08_24-19_24_17,607.510060878,23923,1,True,True,True,1,1,0,5406,646,646,4,0.18442823699660948,ORACLE_VALID_P3_EXISTS,OTHER
DVE008,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0014,rosbag2_2026_08_24-19_00_30,436.890084667,15424,1,True,True,True,2,2,0,4076,2032,2032,0,0.17453300000124727,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE009,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0050,rosbag2_2026_08_24-19_00_30,540.040086959,19245,1,True,True,True,3,3,0,8932,1306,1306,0,0.2548354249993281,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE010,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0056,rosbag2_2026_08_24-19_00_30,542.840073923,19351,1,True,True,True,2,2,0,5880,3896,3896,0,0.32590767799774767,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE011,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0066,rosbag2_2026_08_24-19_00_30,550.800105388,19637,1,True,True,True,2,2,0,5196,2716,2716,0,0.25431458100138116,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE012,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0032,rosbag2_2026_08_24-19_00_30,502.350083951,17797,1,True,True,True,30,24,0,158022,10686,10686,376,2.8807109979970846,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE013,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0011,rosbag2_2026_08_24-19_00_30,432.890075117,15317,1,True,True,True,4,4,0,3988,2476,2476,0,0.2003793139992922,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE014,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0069,rosbag2_2026_08_24-19_24_17,724.130108493,28107,1,True,True,True,9,3,0,32398,2458,2458,44,0.48983211900122114,ORACLE_VALID_P3_EXISTS,D_PROBE_DOMINANT
DVE015,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0033,rosbag2_2026_08_24-19_24_17,451.360084483,17738,1,True,True,True,2,2,0,8232,1616,1616,912,0.16305535599894938,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE016,DEVELOPMENT,rosbag2_2026_08_25-09_59_22__EP0001,rosbag2_2026_08_25-09_59_22,131.890234914,5379,1,True,True,True,7,1,0,16692,1662,1662,0,0.4485250219986483,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE017,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0040,rosbag2_2026_08_24-19_24_17,475.030131896,18681,1,True,True,True,2,2,0,8914,4698,4698,1652,0.33359897099944646,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE018,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0039,rosbag2_2026_08_24-19_00_30,503.810092178,17837,1,True,True,True,9,3,0,35242,3374,3374,211,0.604562556000019,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE019,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0046,rosbag2_2026_08_24-19_00_30,521.070291282,18496,1,True,True,True,5,5,0,7914,4842,4842,364,0.31074908899609,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE020,DEVELOPMENT,rosbag2_2026_08_25-09_59_22__EP0046,rosbag2_2026_08_25-09_59_22,943.440243488,36131,1,True,True,True,3,3,0,6904,3124,3124,514,0.2542246069970133,ORACLE_VALID_P3_EXISTS,OTHER
DVE021,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0011,rosbag2_2026_08_24-19_24_17,282.730123782,11297,2,True,True,True,2,2,0,6924,908,908,0,0.11511520099520567,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NOT_APPLICABLE_NO_ORACLE_VALID
DVE022,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0020,rosbag2_2026_08_24-19_00_30,456.340144384,16031,1,True,True,True,2,2,0,5992,3512,3512,294,0.28705518600327196,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
DVE023,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0021,rosbag2_2026_08_24-19_24_17,337.010090849,13306,1,True,True,True,2,2,0,5868,2396,2396,200,0.2054298760012898,ORACLE_VALID_P3_EXISTS,TEMPLATE_OR_TRANSITION_SELECTION
