event_id,input_snapshot_id,ego_snapshot_id,obstacle_snapshot_id,reference_snapshot_id,source_stamp_ns,obstacle_sequence,source_epoch,reference_generation,instrumentation_v2_join,constructed_digest_multiset_parity,returned_digest_multiset_parity
DVE001,input_39ddec62374c3dde,ego_c143e47b1df4dbeb,obs_adfc2fbef47b4d4d,ref_4dc0768eb37d9590,1787620517807650996,23498,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE002,input_39d145f2d675ebb8,ego_d06d66a917236d82,obs_cee7eec9ebeb4e8f,ref_3f5d487564f4ee3d,1787566170710805621,7045,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE003,input_66404f71ba20d6c5,ego_efbaac93080b88fd,obs_2f7cd8e2f6389967,ref_4dc0768eb37d9590,1787620581947935351,25663,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE004,input_bbcbf73ac85f2005,ego_7f7bdc344e0ec8eb,obs_a11d501c83cbc772,ref_3f5d487564f4ee3d,1787567653957692742,11595,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE005,input_9b8b5d73e1fdab91,ego_742f9c136eaf5ce9,obs_5d06b0a06c1d94c3,ref_3f5d487564f4ee3d,1787567694811719004,12992,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE006,input_c19b1459ec894f6f,ego_e87e892fce79b379,obs_42cda81b09bb185e,ref_3f5d487564f4ee3d,1787566186150833409,7530,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE007,input_ec2de627746e8a6e,ego_cac1613222f1cc3f,obs_ce4198d3fda20362,ref_3f5d487564f4ee3d,1787567665211679546,11948,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE008,input_fbb87040f1e60f36,ego_935d3467e4889f84,obs_2f2f782c6f8cdc25,ref_3f5d487564f4ee3d,1787566066998904587,3769,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE009,input_585b24804c5dfe9e,ego_f0a9d2972bef30c0,obs_6fbc221ca31df787,ref_3f5d487564f4ee3d,1787566170130881965,7023,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE010,input_e4a71ad1a8c46e7c,ego_3eba85b77522f621,obs_517157fa9682b999,ref_3f5d487564f4ee3d,1787566172940427001,7124,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE011,input_7a0606942b1aa59e,ego_7d95c0e82a9e5cf8,obs_8a7b8cac981f56cd,ref_3f5d487564f4ee3d,1787566180889193555,7377,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE012,input_4035b9762e1920e7,ego_785617080d8afa27,obs_751927fce06197ef,ref_3f5d487564f4ee3d,1787566132458579716,5730,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE013,input_3e3ea10d7a0a3850,ego_0714c08f573ad8fb,obs_350b0082df3a7ced,ref_3f5d487564f4ee3d,1787566062989314530,3671,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE014,input_17d5ab52e7357889,ego_a0510f98e9e50943,obs_5960d55e739a2823,ref_3f5d487564f4ee3d,1787567781843903201,15626,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE015,input_ddc7505b9aadb26d,ego_9f2d452de9a10016,obs_f239c2917f0ce8da,ref_3f5d487564f4ee3d,1787567509049316322,7845,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE016,input_081c8ef59fddf7ed,ego_44bcc650e8e00377,obs_1df9ca05a80f37e6,ref_4dc0768eb37d9590,1787619694083941774,2005,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE017,input_31d67faaa5a5c3ba,ego_de240eede693bb32,obs_f239c2917f0ce8da,ref_3f5d487564f4ee3d,1787567532717289714,8568,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE018,input_1f3c869a13cb35c2,ego_374e7a381894d78b,obs_929fe85a3e5d8c06,ref_3f5d487564f4ee3d,1787566133907105494,5768,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE019,input_0e0674e6cff1eda4,ego_51bfd7f2154e6834,obs_2e8bda070c814cf6,ref_3f5d487564f4ee3d,1787566151154110237,6344,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE020,input_0c2622817b125aa6,ego_aed34634d2980c06,obs_cfc5984889cad23c,ref_4dc0768eb37d9590,1787620505631950298,23060,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE021,input_028ec84dd0c46e90,ego_74f6cc8988355e99,obs_a5bdd6440e736a0d,ref_3f5d487564f4ee3d,1787567340413032295,4629,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE022,input_12ff1878e70757bf,ego_b7c3ed2d9900bef6,obs_f24392646cc69e8c,ref_3f5d487564f4ee3d,1787566086445287489,4211,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE023,input_d54cc5c4684ebcfb,ego_50ad95a27e386f83,obs_27983e1d0242eebf,ref_3f5d487564f4ee3d,1787567391838876744,5821,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE024,input_ebee5dae5d3afcdb,ego_b5f0c6b097812319,obs_b04398ef3221888e,ref_3f5d487564f4ee3d,1787567498090139016,7572,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE025,input_7e7f963257cf07d9,ego_34e7fb29bb288f07,obs_7213ca3d71716bab,ref_4dc0768eb37d9590,1787619719382972026,2745,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE026,input_2591f04a7eb6aab9,ego_86dc1b95239f10b4,obs_2ab7cea8dde3b7cb,ref_3f5d487564f4ee3d,1787566170330871879,7031,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE027,input_caeb287a1b212148,ego_9199b485dfda42ce,obs_89eb6c7d83b3733f,ref_3f5d487564f4ee3d,1787567299226296299,3655,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE028,input_76b75ea160210fd8,ego_a857487f2932eeb3,obs_1b1f99f5c898e0c6,ref_3f5d487564f4ee3d,1787567341242987230,4655,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
DVE029,input_5415f847d940f8fe,ego_55983ac283c6ef7d,obs_0c8d49976ddfe16e,ref_3f5d487564f4ee3d,1787566411506694922,12126,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
