event_id,first_failure_reason,count
DVE001,non-positive quintic-Hermite segment,3472
DVE001,footprint_track_bound,2061
DVE001,quintic d-offset exceeds maximum_lateral_slope,237
DVE001,shifted race line exceeds left control steering curvature,124
DVE001,shifted race line exceeds right control steering curvature,53
DVE002,non-positive quintic-Hermite segment,2480
DVE002,quintic d-offset exceeds maximum_lateral_slope,1820
DVE002,shifted race line exceeds left control steering curvature,1078
DVE002,shifted race line exceeds right control steering curvature,636
DVE002,d-offset leaves the global waypoint track bounds,200
DVE002,d-offset intersects an inflated static-obstacle box,112
DVE002,footprint_track_bound,52
DVE003,non-positive quintic-Hermite segment,3780
DVE003,shifted race line exceeds left control steering curvature,2187
DVE003,quintic d-offset exceeds maximum_lateral_slope,1937
DVE003,footprint_track_bound,519
DVE003,shifted race line exceeds right control steering curvature,126
DVE004,non-positive quintic-Hermite segment,3448
DVE004,path entry is discontinuous from the current ego d,178
DVE004,d-offset intersects an inflated static-obstacle box,112
DVE004,footprint_track_bound,60
DVE004,shifted race line exceeds right control steering curvature,38
DVE005,non-positive quintic-Hermite segment,22186
DVE005,shifted race line exceeds left control steering curvature,512
DVE005,footprint_track_bound,308
DVE005,d-offset leaves the global waypoint track bounds,162
DVE005,quintic d-offset exceeds maximum_lateral_slope,78
DVE006,non-positive quintic-Hermite segment,2232
DVE006,d-offset leaves the global waypoint track bounds,896
DVE006,shifted race line exceeds left control steering curvature,874
DVE006,footprint_track_bound,632
DVE006,quintic d-offset exceeds maximum_lateral_slope,546
DVE006,d-offset intersects an inflated static-obstacle box,536
DVE006,shifted race line exceeds right control steering curvature,484
DVE006,path entry is discontinuous from the current ego d,192
DVE006,shifted race line exceeds maximum_curvature_rate_radpm2,28
DVE007,non-positive quintic-Hermite segment,4760
DVE007,shifted race line exceeds left control steering curvature,196
DVE007,shifted race line exceeds right control steering curvature,186
DVE007,footprint_track_bound,126
DVE007,path entry is discontinuous from the current ego d,102
DVE007,quintic d-offset exceeds maximum_lateral_slope,30
DVE007,shifted race line exceeds maximum_curvature_rate_radpm2,2
DVE008,non-positive quintic-Hermite segment,2044
DVE008,d-offset intersects an inflated static-obstacle box,2032
DVE009,non-positive quintic-Hermite segment,7626
DVE009,d-offset intersects an inflated static-obstacle box,572
DVE009,shifted race line exceeds right control steering curvature,386
DVE009,shifted race line exceeds left control steering curvature,156
DVE009,quintic d-offset exceeds maximum_lateral_slope,88
DVE009,d-offset leaves the global waypoint track bounds,52
DVE009,footprint_track_bound,52
DVE010,non-positive quintic-Hermite segment,1984
DVE010,quintic d-offset exceeds maximum_lateral_slope,1736
DVE010,shifted race line exceeds left control steering curvature,1140
DVE010,shifted race line exceeds right control steering curvature,472
DVE010,d-offset leaves the global waypoint track bounds,388
DVE010,footprint_track_bound,96
DVE010,d-offset intersects an inflated static-obstacle box,60
DVE010,shifted race line exceeds maximum_curvature_rate_radpm2,4
DVE011,non-positive quintic-Hermite segment,2480
