event_id,generator_stage,template,side,generation_order,path_digest,mapping_source,source_cell,analytic_branch_regime,returned_by_policy,discarded_side,d_target,s_probe,d_probe,d_mid,root_index,root_type,probe_location_rule,probe_anchor_rule,entry_scale,exit_scale,z0,z1,z2,z3,z4,validator_executed,hard_valid,first_failure_reason,waypoint0,margins,rank_tuple
DVE001,M1,ZERO_BOUNDARY_SHORT,RIGHT,2000,3992767028971c83,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ZERO_INTERFACE,ZERO_RIGHT__ZERO_BOTH__ZERO_LEFT,True,False,-0.47180573094231487,,,-0.47180573094231487,0,ZERO_INTERFACE,NONE,NONE,0.5145810930150512,0.4971684162574945,0.32220054202223214,0.5303974721786826,0.6382406675174845,0.7460838628562865,1.99323363717195,True,False,shifted race line exceeds left control steering curvature,"{""center_track_margin_m"":0.2034207060273621,""d_m"":-0.669079293972638,""footprint_invalid"":false,""footprint_track_margin_m"":0.0454345981403779,""s_m"":15.800617314285502,""x_m"":2.0096304248623085,""y_m"":-0.572583017366643,""yaw_rad"":-0.1268301504566746}","{""center_track_m"":0.2034207060273621,""curvature_rate_margin_radpm2"":14.802735546856884,""footprint_track_m"":-0.026623178152742476,""lateral_slope_margin"":0.018376142762639103,""obstacle_m"":0.005175943704137598,""peak_curvature_rate_radpm2"":5.197264453143117,""peak_lateral_slope"":0.7816238572373609,""peak_negative_curvature_radpm"":-0.7424312837968425,""peak_positive_curvature_radpm"":1.6044015678718295,""signed_curvature_margin_radpm"":-0.2881350487928185}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2000,""global_path_deviation_m"":0.10827139777883177,""minimum_normalized_safety_slack"":-0.21890327271594356,""velocity_loss"":0.23538173334288684}"
DVE001,M1,ZERO_BOUNDARY_SPAN,RIGHT,2001,930e7ae55e2725f8,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ZERO_INTERFACE,ZERO_RIGHT__ZERO_BOTH__ZERO_LEFT,True,False,-0.47180573094231487,,,-0.47180573094231487,0,ZERO_INTERFACE,NONE,NONE,0.7136694116555473,0.4971684162574945,0.2416504065166742,0.5303974721786826,0.6382406675174845,0.7460838628562865,1.99323363717195,True,False,footprint_track_bound,"{""center_track_margin_m"":0.2034207060273621,""d_m"":-0.669079293972638,""footprint_invalid"":false,""footprint_track_margin_m"":0.039558494513163324,""s_m"":15.800617314285502,""x_m"":2.0096304248623085,""y_m"":-0.572583017366643,""yaw_rad"":0.046832566467223835}","{""center_track_m"":0.2034207060273621,""curvature_rate_margin_radpm2"":16.896772252086052,""footprint_track_m"":-0.0007958974964134766,""lateral_slope_margin"":0.12768875745798314,""obstacle_m"":0.004666866686782956,""peak_curvature_rate_radpm2"":3.103227747913947,""peak_lateral_slope"":0.6723112425420169,""peak_negative_curvature_radpm"":-0.7424312837968425,""peak_positive_curvature_radpm"":0.929160464859147,""signed_curvature_margin_radpm"":0.387106054219864}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2001,""global_path_deviation_m"":0.10725571424453151,""minimum_normalized_safety_slack"":0.0031112444578553036,""velocity_loss"":0.21986750960997353}"
DVE002,M1,ZERO_BOUNDARY_SHORT,LEFT,2000,f7ab77466e61b0b5,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ZERO_INTERFACE,ZERO_RIGHT__ZERO_BOTH__ZERO_LEFT,True,False,0.4264238880500108,,,0.4264238880500108,0,ZERO_INTERFACE,NONE,NONE,0.5145810930150512,0.4971684162574945,0,0.3382451980971943,0.4548620879354881,0.571478977773782,3.643248878105572,True,False,shifted race line exceeds right control steering curvature,"{""center_track_margin_m"":0.9787251478148903,""d_m"":0.15627485218510975,""footprint_invalid"":false,""footprint_track_margin_m"":0.6776932229046283,""s_m"":1.002905005637111,""x_m"":-10.51681962985966,""y_m"":4.365457762765012,""yaw_rad"":-0.5068576316801183}","{""center_track_m"":0.6033659263113875,""curvature_rate_margin_radpm2"":14.076745108663077,""footprint_track_m"":0.4662344962030447,""lateral_slope_margin"":-0.19795351632081226,""obstacle_m"":0.43303816358964314,""peak_curvature_rate_radpm2"":5.9232548913369225,""peak_lateral_slope"":0.9979535163208123,""peak_negative_curvature_radpm"":-1.918637015125662,""peak_positive_curvature_radpm"":0.4914041935420699,""signed_curvature_margin_radpm"":-0.774561375662989}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2000,""global_path_deviation_m"":0.09687011484552649,""minimum_normalized_safety_slack"":-0.6770193761198952,""velocity_loss"":0.22582944267860405}"
DVE002,M1,ZERO_BOUNDARY_SPAN,LEFT,2001,f7ab77466e61b0b5,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ZERO_INTERFACE,ZERO_RIGHT__ZERO_BOTH__ZERO_LEFT,True,False,0.4264238880500108,,,0.4264238880500108,0,ZERO_INTERFACE,NONE,NONE,0.7136694116555473,0.4971684162574945,0,0.3382451980971943,0.4548620879354881,0.571478977773782,3.643248878105572,True,False,shifted race line exceeds right control steering curvature,"{""center_track_margin_m"":0.9787251478148903,""d_m"":0.15627485218510975,""footprint_invalid"":false,""footprint_track_margin_m"":0.6776932229046283,""s_m"":1.002905005637111,""x_m"":-10.51681962985966,""y_m"":4.365457762765012,""yaw_rad"":-0.5068576316801183}","{""center_track_m"":0.6033659263113875,""curvature_rate_margin_radpm2"":14.076745108663077,""footprint_track_m"":0.4662344962030447,""lateral_slope_margin"":-0.19795351632081226,""obstacle_m"":0.43303816358964314,""peak_curvature_rate_radpm2"":5.9232548913369225,""peak_lateral_slope"":0.9979535163208123,""peak_negative_curvature_radpm"":-1.918637015125662,""peak_positive_curvature_radpm"":0.4914041935420699,""signed_curvature_margin_radpm"":-0.774561375662989}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2001,""global_path_deviation_m"":0.09687011484552649,""minimum_normalized_safety_slack"":-0.6770193761198952,""velocity_loss"":0.22582944267860405}"
DVE003,M1,ZERO_BOUNDARY_SHORT,RIGHT,2000,240344d54dcb8ac8,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ZERO_INTERFACE,ZERO_RIGHT__ZERO_BOTH__ZERO_LEFT,True,False,-0.5686534977284028,,,-0.5686534977284028,0,ZERO_INTERFACE,NONE,NONE,0.5145810930150512,0.4971684162574945,0.6669671810479914,1.0979426186985952,1.1372486544721303,1.1765546902456654,2.423704464561329,True,False,shifted race line exceeds left control steering curvature,"{""center_track_margin_m"":0.5300810511954717,""d_m"":-0.9799189488045283,""footprint_invalid"":false,""footprint_track_margin_m"":0.21923407300058953,""s_m"":4.512932799601731,""x_m"":-9.561879911366145,""y_m"":0.7034231149052802,""yaw_rad"":-0.8618155047709902}","{""center_track_m"":0.3092358198051664,""curvature_rate_margin_radpm2"":14.311620342969032,""footprint_track_m"":0.09460722751962261,""lateral_slope_margin"":-0.4895481767038372,""obstacle_m"":-0.3772551084958017,""peak_curvature_rate_radpm2"":5.688379657030968,""peak_lateral_slope"":1.2895481767038373,""peak_negative_curvature_radpm"":-0.8622157616634218,""peak_positive_curvature_radpm"":2.0069791534705503,""signed_curvature_margin_radpm"":-0.6907126343915393}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2000,""global_path_deviation_m"":0.1776647121466592,""minimum_normalized_safety_slack"":-0.5247513511737953,""velocity_loss"":0.5774777152617202}"
DVE003,M1,ZERO_BOUNDARY_SPAN,RIGHT,2001,262da8cf2c314d0b,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ZERO_INTERFACE,ZERO_RIGHT__ZERO_BOTH__ZERO_LEFT,True,False,-0.5686534977284028,,,-0.5686534977284028,0,ZERO_INTERFACE,NONE,NONE,0.7136694116555473,0.4971684162574945,0.5002253857859935,1.0979426186985952,1.1372486544721303,1.1765546902456654,2.423704464561329,True,False,shifted race line exceeds left control steering curvature,"{""center_track_margin_m"":0.5300810511954717,""d_m"":-0.9799189488045283,""footprint_invalid"":false,""footprint_track_margin_m"":0.21975911563863784,""s_m"":4.512932799601731,""x_m"":-9.561879911366145,""y_m"":0.7034231149052802,""yaw_rad"":-0.8571313869289353}","{""center_track_m"":0.39959345001390206,""curvature_rate_margin_radpm2"":13.86710186794918,""footprint_track_m"":0.16084595768352997,""lateral_slope_margin"":-0.3014639131402197,""obstacle_m"":-0.3772551084958017,""peak_curvature_rate_radpm2"":6.132898132050819,""peak_lateral_slope"":1.1014639131402197,""peak_negative_curvature_radpm"":-0.8622157616634466,""peak_positive_curvature_radpm"":2.1726324961928567,""signed_curvature_margin_radpm"":-0.8563659771138457}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2001,""global_path_deviation_m"":0.17305964112576108,""minimum_normalized_safety_slack"":-0.6506022638280302,""velocity_loss"":0.5629463201448615}"
DVE003,M1,FAR_SPAN,RIGHT,2002,6bff5041635ac0ba,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ALL_INACTIVE,SIGN_CHANGE__SIGN_CHANGE__SIGN_CHANGE,True,False,-0.9850000000000001,1.1372486544721303,-0.7735224115445856,-0.7735224115445876,0,ALL_INACTIVE,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,0.7136694116555473,0.4971684162574945,0.5002253857859935,1.0979426186985952,1.1372486544721303,1.1765546902456654,2.423704464561329,True,False,footprint_track_bound,"{""center_track_margin_m"":0.5300810511954717,""d_m"":-0.9799189488045283,""footprint_invalid"":false,""footprint_track_margin_m"":0.251860183150785,""s_m"":4.512932799601731,""x_m"":-9.561879911366145,""y_m"":0.7034231149052802,""yaw_rad"":-0.6388284275336042}","{""center_track_m"":0.15697168383469065,""curvature_rate_margin_radpm2"":15.68458817209865,""footprint_track_m"":-0.03533663659027538,""lateral_slope_margin"":-0.6322648324743585,""obstacle_m"":-0.3772551084958017,""peak_curvature_rate_radpm2"":4.31541182790135,""peak_lateral_slope"":1.4322648324743585,""peak_negative_curvature_radpm"":-0.990273350546062,""peak_positive_curvature_radpm"":1.4112375377662594,""signed_curvature_margin_radpm"":-0.09497101868724833}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2002,""global_path_deviation_m"":0.20595980362478178,""minimum_normalized_safety_slack"":-0.2515034056638678,""velocity_loss"":0.5740378403156441}"
DVE004,M1,NEAR_LONG,LEFT,2000,dfc8153567f8a4aa,M1_BRANCH_COMPLETE_ACTIVE_SET_CLOSURE,ACTIVE_OUTER,SAME_SIGN_POSITIVE__SIGN_CHANGE__SAME_SIGN_NEGATIVE,True,False,0.15,0.06536223987305068,0.5593118252810302,0.6150186810751646,0,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,1.310934367577036,6.677829896219816,0,0.03919180232155539,0.07399243129798982,0.10879306027442426,41.36796440739351,True,False,path entry is discontinuous from the current ego d,"{""center_track_margin_m"":0.5631881747189694,""d_m"":0.5593118252810306,""footprint_invalid"":false,""footprint_track_margin_m"":0.28596725519987953,""s_m"":1.2534855866645962,""x_m"":-10.166512223032779,""y_m"":4.0917179014552065,""yaw_rad"":-1.1199607912332603}","{""center_track_m"":-18.171189736186847,""curvature_rate_margin_radpm2"":-18.823267082737324,""footprint_track_m"":-18.330007269972732,""lateral_slope_margin"":-1.005018589736817,""obstacle_m"":0.4131881747189705,""peak_curvature_rate_radpm2"":38.823267082737324,""peak_lateral_slope"":1.805018589736817,""peak_negative_curvature_radpm"":-8.73278017072959,""peak_positive_curvature_radpm"":3.267072375207208,""signed_curvature_margin_radpm"":-7.5887045312669175}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":2000,""global_path_deviation_m"":8.222090530240184,""minimum_normalized_safety_slack"":-12.21412649079123,""velocity_loss"":0.26343418859024154}"
DVE005,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,RIGHT,0,71545edd99b1a3f2,FROZEN_V1,ACTIVE_OUTER,SAME_SIGN_NEGATIVE__SIGN_CHANGE__SAME_SIGN_POSITIVE,False,True,-0.39115057871499376,0.13914538781190555,-0.4711505787149938,-0.4711505787149931,0,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,0.5145810930150512,0.6049868191659147,0.07745643778359465,0.12750660984781725,0.13914538781190555,0.15078416577599385,1.6683970114720177,True,False,shifted race line exceeds left control steering curvature,"{""center_track_margin_m"":0.5685232320522386,""d_m"":-0.29147676794776134,""footprint_invalid"":false,""footprint_track_margin_m"":0.26232497643755487,""s_m"":1.002905005637111,""x_m"":-10.943586193122892,""y_m"":4.5009266293436525,""yaw_rad"":-2.334742485828497}","{""center_track_m"":0.26805752730428684,""curvature_rate_margin_radpm2"":15.99713584801925,""footprint_track_m"":0.0663046803519072,""lateral_slope_margin"":-0.07998152709348061,""obstacle_m"":1.5,""peak_curvature_rate_radpm2"":4.00286415198075,""peak_lateral_slope"":0.8799815270934807,""peak_negative_curvature_radpm"":-0.5364694403256185,""peak_positive_curvature_radpm"":1.4049580662324146,""signed_curvature_margin_radpm"":-0.08869154715340355}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":0,""global_path_deviation_m"":0.08258283002204402,""minimum_normalized_safety_slack"":-0.06738114649870518,""velocity_loss"":0.18567265461977184}"
DVE005,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,RIGHT,1,74595933dc8c1d67,FROZEN_V1,ACTIVE_OUTER,SAME_SIGN_NEGATIVE__SIGN_CHANGE__SAME_SIGN_POSITIVE,False,True,-0.39115057871499376,0.13914538781190555,-0.4711505787149938,-0.4711505787149931,0,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,0.5145810930150512,3.94735730932694,0.07745643778359465,0.12750660984781725,0.13914538781190555,0.15078416577599385,10.052752224263191,True,False,footprint_track_bound,"{""center_track_margin_m"":0.5685232320522386,""d_m"":-0.29147676794776134,""footprint_invalid"":false,""footprint_track_margin_m"":0.2739665413723364,""s_m"":1.002905005637111,""x_m"":-10.943586193122892,""y_m"":4.5009266293436525,""yaw_rad"":-2.2292061853920973}","{""center_track_m"":-1.4919598090839665,""curvature_rate_margin_radpm2"":18.569524739183784,""footprint_track_m"":-1.677679453141335,""lateral_slope_margin"":-0.07677667243621877,""obstacle_m"":1.5,""peak_curvature_rate_radpm2"":1.4304752608162148,""peak_lateral_slope"":0.8767766724362188,""peak_negative_curvature_radpm"":-0.2680931994975687,""peak_positive_curvature_radpm"":0.9010666382512246,""signed_curvature_margin_radpm"":0.41519988082778647}","{""braking_deficit_m"":0,""braking_feasible"":true,""exit_reaches_next_obstacle"":false,""generation_index"":1,""global_path_deviation_m"":0.8489104305114984,""minimum_normalized_safety_slack"":-1.0946398727226443,""velocity_loss"":0.18283980099803313}"
