artifact,path,sha256_or_id,role
frozen_git_commit,research_instrumentation_v1,6ba46dbe90139d184c066740a3cbbf191d41cc61,frozen baseline source
production_p3_shadow_source,src/local_planning/src/p3_shadow.cpp,f7643d0c21d862477243d4b99841a4aabec50614828ecb47549bd56c15e19340,exact P3 family
production_validator_source,src/local_planning/src/raceline_spline_planner.cpp,507b28a70a3eba96fc78a4ed54baffa4fc97432d0dcb5d0f4322a50e2f8f91a4,exact validator/footprint
production_config,src/local_planning/config/local_planning.yaml,0a99dfce38a8552d40bb8903e49ad19bb06dcf7252490a66abc8fa187b4d432d,frozen parameters
recorded_snapshot_stream,/tmp/p3_oracle_snapshots_v1.tsv,29c724e3244b4f62466b41c8c814ccd3fbe8dd81ac42cfd5d62747cc40b96c14,read-only recorded message extraction
audit_input_capture_095922,/tmp/p3_oracle_capture_095922.tsv,a3bd8607503e6cf88b18eb9d228848720ea3843daec2c7e901c3dded5f569f0e,detached tag evaluator input capture
audit_input_capture_E02_rate1,/tmp/p3_oracle_capture_e02_rate1.tsv,95515df8d6d9f9cc86f97ed297966d2f8a9520f4f0e4b415ca143f87faeb1cfd,detached tag evaluator input capture
audit_input_capture_190030,/tmp/p3_oracle_capture_190030.tsv,336c236b9bc1f744ca643d1f5ca1c6a9e701d4dfbfadf093b0c340b949846602,detached tag evaluator input capture
audit_input_capture_192417,/tmp/p3_oracle_capture_192417.tsv,d2835b3366f3e790060ae8435527f5a8da12a9ef9aa5d4ab04b30c44d6cbe4c9,detached tag evaluator input capture
audit_oracle_harness_binary,/tmp/p3_oracle_pilot_build/p3_family_oracle_harness,8beb5a921c47bcf3307a417408fc768f63243a3b761b36533112703f65cec095,detached exact-source audit adapter
oracle_search_driver,/tmp/run_p3_oracle_search.py,b40f64c7295031ef9e5ef583ae3f80c456432bd6367de310bebe87f7090ecce5,deterministic coarse-to-fine protocol
