episode_id,bag,start_elapsed_s,end_elapsed_s,duration_s,callback_count,first_callback_sequence,last_callback_sequence,source_epoch,eligible_snapshot_count,earliest_eligible_callback_sequence,earliest_eligible_evaluation_sequence,earliest_eligible_offset_callbacks,lifecycle_at_episode_start,fallback_at_episode_start
rosbag2_2026_08_24-19_00_30__EP0001,rosbag2_2026_08_24-19_00_30,272.890223632,276.480079385,3.589855753,31,11018,11048,2,0,,,,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_00_30__EP0002,rosbag2_2026_08_24-19_00_30,276.84009173,276.990154933,0.150063203,2,11060,11061,2,0,,,,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_00_30__EP0003,rosbag2_2026_08_24-19_00_30,277.440199291,328.660120783,51.219921492,681,11077,11757,2,85,11405,1,328,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_00_30__EP0004,rosbag2_2026_08_24-19_00_30,328.990186738,344.380081293,15.389894555,161,11769,11929,2,31,11785,1,16,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0005,rosbag2_2026_08_24-19_00_30,344.570174416,347.400067782,2.829893366,43,11935,11977,2,5,11936,1,1,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0006,rosbag2_2026_08_24-19_00_30,384.970259022,386.320104585,1.349845563,13,13473,13485,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0007,rosbag2_2026_08_24-19_00_30,386.890059326,387.010084629,0.120025303,2,13499,13500,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0008,rosbag2_2026_08_24-19_00_30,387.170068723,387.270076324,0.100007601,2,13503,13504,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0009,rosbag2_2026_08_24-19_00_30,431.040090643,431.250083138,0.209992495,9,15245,15253,2,9,15245,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0010,rosbag2_2026_08_24-19_00_30,432.320190441,432.770073811,0.44988337,17,15296,15312,2,17,15296,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0011,rosbag2_2026_08_24-19_00_30,432.890075117,432.970102672,0.080027555,4,15317,15320,2,4,15317,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0012,rosbag2_2026_08_24-19_00_30,433.530074863,435.950108431,2.420033568,46,15342,15387,2,46,15342,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0013,rosbag2_2026_08_24-19_00_30,436.540113945,436.82010331,0.279989365,12,15410,15421,2,12,15410,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0014,rosbag2_2026_08_24-19_00_30,436.890084667,444.300087266,7.410002599,259,15424,15682,2,259,15424,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0015,rosbag2_2026_08_24-19_00_30,444.400108014,445.020057171,0.619949157,14,15684,15697,2,14,15684,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0016,rosbag2_2026_08_24-19_00_30,445.140087209,445.860092867,0.720005658,19,15701,15719,2,19,15701,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0017,rosbag2_2026_08_24-19_00_30,446.440112972,453.22008472,6.779971748,178,15740,15917,2,178,15740,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0018,rosbag2_2026_08_24-19_00_30,453.270122104,455.42010731,2.149985206,87,15919,16005,2,87,15919,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0019,rosbag2_2026_08_24-19_00_30,455.470079578,456.210289491,0.740209913,19,16007,16025,2,19,16007,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0020,rosbag2_2026_08_24-19_00_30,456.340144384,456.370119723,0.029975339,2,16031,16032,2,2,16031,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0021,rosbag2_2026_08_24-19_00_30,456.990249158,458.520183364,1.529934206,62,16057,16118,2,60,16057,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0022,rosbag2_2026_08_24-19_00_30,458.71008396,462.140102864,3.430018904,134,16125,16258,2,134,16125,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0023,rosbag2_2026_08_24-19_00_30,463.120114542,463.290088877,0.169974335,5,16296,16300,2,5,16296,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0024,rosbag2_2026_08_24-19_00_30,498.120089559,498.920100585,0.800011026,16,17690,17705,2,16,17690,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0025,rosbag2_2026_08_24-19_00_30,498.970095287,499.190097704,0.220002417,9,17707,17715,2,9,17707,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0026,rosbag2_2026_08_24-19_00_30,499.250086018,500.730254445,1.480168427,31,17717,17747,2,31,17717,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0027,rosbag2_2026_08_24-19_00_30,500.820077722,501.280145422,0.4600677,16,17750,17765,2,16,17750,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0028,rosbag2_2026_08_24-19_00_30,501.330131488,501.400114781,0.069983293,3,17767,17769,2,3,17767,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0029,rosbag2_2026_08_24-19_00_30,501.450112467,501.480119866,0.030007399,2,17771,17772,2,2,17771,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0030,rosbag2_2026_08_24-19_00_30,501.54010667,501.670280749,0.130174079,5,17774,17778,2,5,17774,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0031,rosbag2_2026_08_24-19_00_30,502.010116121,502.290089189,0.279973068,7,17789,17795,2,7,17789,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0032,rosbag2_2026_08_24-19_00_30,502.350083951,502.540091016,0.190007065,4,17797,17800,2,4,17797,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0033,rosbag2_2026_08_24-19_00_30,502.78007765,502.960084992,0.180007342,7,17805,17811,2,7,17805,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0034,rosbag2_2026_08_24-19_00_30,503.020082665,503.040085561,0.020002896,2,17813,17814,2,2,17813,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0035,rosbag2_2026_08_24-19_00_30,503.100090623,503.160085642,0.059995019,3,17816,17818,2,3,17816,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0036,rosbag2_2026_08_24-19_00_30,503.270083849,503.300076375,0.029992526,2,17822,17823,2,2,17822,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0037,rosbag2_2026_08_24-19_00_30,503.410093389,503.500102076,0.090008687,4,17827,17830,2,4,17827,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0038,rosbag2_2026_08_24-19_00_30,503.550093217,503.750082109,0.199988892,4,17832,17835,2,4,17832,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0039,rosbag2_2026_08_24-19_00_30,503.810092178,504.31009401,0.500001832,11,17837,17847,2,11,17837,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0040,rosbag2_2026_08_24-19_00_30,504.380081083,504.740127669,0.360046586,6,17849,17854,2,6,17849,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0041,rosbag2_2026_08_24-19_00_30,504.790076675,505.030083976,0.240007301,6,17857,17862,2,6,17857,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0042,rosbag2_2026_08_24-19_00_30,505.200080438,505.300158277,0.100077839,4,17868,17871,2,4,17868,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0043,rosbag2_2026_08_24-19_00_30,505.460199394,505.490123347,0.029923953,2,17873,17874,2,2,17873,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0044,rosbag2_2026_08_24-19_00_30,505.550086153,505.610134975,0.060048822,3,17876,17878,2,3,17876,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0045,rosbag2_2026_08_24-19_00_30,505.690112766,505.72012223,0.030009464,2,17881,17882,2,2,17881,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0046,rosbag2_2026_08_24-19_00_30,521.070291282,521.170205381,0.099914099,5,18496,18500,2,5,18496,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0047,rosbag2_2026_08_24-19_00_30,538.890225603,538.920140513,0.02991491,2,19207,19208,2,2,19207,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0048,rosbag2_2026_08_24-19_00_30,539.020313429,539.12010412,0.099790691,5,19212,19216,2,5,19212,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0049,rosbag2_2026_08_24-19_00_30,539.190120994,539.640101753,0.449980759,19,19219,19237,2,19,19219,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0050,rosbag2_2026_08_24-19_00_30,540.040086959,540.120103571,0.080016612,4,19245,19248,2,4,19245,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0051,rosbag2_2026_08_24-19_00_30,540.240106205,540.54009382,0.299987615,13,19253,19265,2,13,19253,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0052,rosbag2_2026_08_24-19_00_30,540.620135977,540.930105034,0.309969057,13,19268,19280,2,13,19268,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0053,rosbag2_2026_08_24-19_00_30,541.320107499,541.340101578,0.019994079,2,19295,19296,2,2,19295,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0054,rosbag2_2026_08_24-19_00_30,541.540084109,542.570100744,1.030016635,39,19304,19342,2,39,19304,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0055,rosbag2_2026_08_24-19_00_30,542.770081584,542.790104999,0.020023415,2,19348,19349,2,2,19348,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0056,rosbag2_2026_08_24-19_00_30,542.840073923,542.890077871,0.050003948,3,19351,19353,2,3,19351,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0057,rosbag2_2026_08_24-19_00_30,543.220077047,543.270080706,0.050003659,3,19365,19367,2,3,19365,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0058,rosbag2_2026_08_24-19_00_30,543.540085998,543.59008532,0.049999322,3,19378,19380,2,3,19378,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0059,rosbag2_2026_08_24-19_00_30,544.070097653,544.940084912,0.869987259,36,19399,19434,2,36,19399,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0060,rosbag2_2026_08_24-19_00_30,545.120183266,547.390100135,2.269916869,87,19441,19527,2,87,19441,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0061,rosbag2_2026_08_24-19_00_30,547.47018765,547.910094784,0.439907134,16,19530,19545,2,16,19530,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0062,rosbag2_2026_08_24-19_00_30,548.070106921,549.010085703,0.939978782,25,19551,19575,2,25,19551,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0063,rosbag2_2026_08_24-19_00_30,549.080081852,549.330063257,0.249981405,6,19577,19582,2,6,19577,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0064,rosbag2_2026_08_24-19_00_30,549.62009893,550.270074145,0.649975215,25,19593,19617,2,25,19593,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0065,rosbag2_2026_08_24-19_00_30,550.420075785,550.520090873,0.100015088,5,19622,19626,2,5,19622,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0066,rosbag2_2026_08_24-19_00_30,550.800105388,550.980106218,0.18000083,7,19637,19643,2,7,19637,1,0,IDLE,SAFE_STOP_AUTHORITY
