scope,version,mode,event_count,p50_us,p90_us,p95_us,p99_us,max_us,p50_speedup,p95_speedup,status
r3_core,V1_BEFORE,PRODUCTION_EQUIVALENT_OFF,86,17188.452,112659.168,132728.050,196073.692,263353.693,1.000,1.000,FROZEN_V1_BASELINE
r3_core,V2_AFTER,PRODUCTION_EQUIVALENT_OFF,86,13815.417,53762.698,77253.796,119652.659,166173.790,1.244,1.718,EXACT_FROZEN_R3_NOT_REALTIME_FEASIBLE
whole_evaluator,V1_BEFORE,PRODUCTION_EQUIVALENT_OFF,86,29797.894,140076.819,166053.383,223224.969,303857.978,1.000,1.000,STRICT_RELAXED_PLUS_R3
whole_evaluator,V2_AFTER,PRODUCTION_EQUIVALENT_OFF,86,25714.683,83307.376,115386.504,146880.373,206479.934,1.159,1.439,NOT_25MS_QUALIFIED
pair_proxy,V1_BEFORE,PRODUCTION_EQUIVALENT_OFF,86,6322.085,58892.330,76227.611,105211.671,156648.764,1.000,1.000,ALL_POOL_ROWS_SCORED
pair_proxy,V2_AFTER,PRODUCTION_EQUIVALENT_OFF,86,4706.636,27452.863,50309.712,85071.750,116055.081,1.343,1.515,UNIQUE_EXACT_PROFILES_SCORED
lexicographic_ordering,V1_BEFORE,PRODUCTION_EQUIVALENT_OFF,86,995.000,8379.929,20898.920,44630.638,48705.212,1.000,1.000,REPEATED_GLOBAL_MIN
lexicographic_ordering,V2_AFTER,PRODUCTION_EQUIVALENT_OFF,86,105.838,700.250,1277.832,2282.432,3380.151,9.401,16.355,EXACT_SHAPE_REPRESENTATIVE_PARTIAL_TOP10
coverage_ordering,V1_BEFORE,PRODUCTION_EQUIVALENT_OFF,86,1329.445,6697.984,14664.436,25999.280,28249.093,1.000,1.000,RECOMPUTED_BEST_PRIORITY
coverage_ordering,V2_AFTER,PRODUCTION_EQUIVALENT_OFF,86,374.304,2350.196,5778.854,8626.543,9917.072,3.552,2.538,EXACT_CACHED_INCUMBENT_PRIORITY
r3_core,V2_AFTER,INSTRUMENTATION_ON,86,13907.117,53576.969,76409.830,120538.643,162253.569,NA,NA,RESEARCH_MODE_DECISION_EXACT
whole_evaluator,V2_AFTER,INSTRUMENTATION_ON,86,26262.518,83771.385,114787.186,148490.651,203483.126,NA,NA,RESEARCH_MODE
