event_id,lateral_factors,transition_factors,raw_combinations,production_configurations_excluded,unique_configurations,unique_exact_profiles,full_proxy_evaluations_after,exact_profile_reuses,evaluation_reduction_fraction,exact_skip_reason,station_basis_builds,station_basis_reuses,r3_total_ms_after
DVE001,1248,2,2496,2,2494,2048,2048,446,0.178829,EXACT_PROFILE_EQUIVALENCE_REUSE,18,2030,10.640
DVE002,1981,2,3962,2,3960,1980,1980,1980,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,42,1938,14.013
DVE003,1202,2,2404,3,2401,1949,1949,452,0.188255,EXACT_PROFILE_EQUIVALENCE_REUSE,19,1930,9.605
DVE004,1038,1,1038,1,1037,1037,1037,0,0.000000,NONE_ALL_PROFILES_UNIQUE,29,1008,21.620
DVE005,1042,6,6252,7,6245,3209,3209,3036,0.486149,EXACT_PROFILE_EQUIVALENCE_REUSE,87,3122,17.246
DVE006,1400,2,2800,2,2798,1962,1962,836,0.298785,EXACT_PROFILE_EQUIVALENCE_REUSE,27,1935,11.630
DVE007,1013,1,1013,1,1012,1012,1012,0,0.000000,NONE_ALL_PROFILES_UNIQUE,32,980,13.512
DVE008,587,2,1174,2,1172,586,586,586,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,22,564,6.975
DVE009,1571,3,4713,3,4710,3140,3140,1570,0.333333,EXACT_PROFILE_EQUIVALENCE_REUSE,94,3046,27.562
DVE010,1940,2,3880,2,3878,1939,1939,1939,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,41,1898,13.901
DVE011,1004,2,2008,2,2006,1003,1003,1003,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,25,978,8.948
DVE012,1249,29,36221,30,36191,8191,8191,28000,0.773673,EXACT_PROFILE_EQUIVALENCE_REUSE,153,8038,54.503
DVE013,1307,2,2614,4,2610,1305,1305,1305,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,44,1261,10.872
DVE014,1204,8,9632,9,9623,5359,5359,4264,0.443105,EXACT_PROFILE_EQUIVALENCE_REUSE,132,5227,21.988
DVE015,1012,2,2024,2,2022,1199,1199,823,0.407023,EXACT_PROFILE_EQUIVALENCE_REUSE,26,1173,8.434
DVE016,614,6,3684,7,3677,1839,1839,1838,0.499864,EXACT_PROFILE_EQUIVALENCE_REUSE,69,1770,12.661
DVE017,1012,2,2024,2,2022,1462,1462,560,0.276954,EXACT_PROFILE_EQUIVALENCE_REUSE,23,1439,8.690
DVE018,1231,8,9848,9,9839,5359,5359,4480,0.455331,EXACT_PROFILE_EQUIVALENCE_REUSE,136,5223,25.082
DVE019,1945,2,3890,5,3885,3084,3084,801,0.206178,EXACT_PROFILE_EQUIVALENCE_REUSE,26,3058,13.730
DVE020,1202,2,2404,3,2401,1949,1949,452,0.188255,EXACT_PROFILE_EQUIVALENCE_REUSE,19,1930,11.158
DVE021,1039,2,2078,2,2076,1038,1038,1038,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,39,999,9.409
DVE022,1178,2,2356,2,2354,1554,1554,800,0.339847,EXACT_PROFILE_EQUIVALENCE_REUSE,28,1526,10.034
DVE023,1400,2,2800,2,2798,1467,1467,1331,0.475697,EXACT_PROFILE_EQUIVALENCE_REUSE,21,1446,10.402
DVE024,1217,29,35293,30,35263,11313,11313,23950,0.679182,EXACT_PROFILE_EQUIVALENCE_REUSE,121,11192,55.132
DVE025,589,6,3534,7,3527,1764,1764,1763,0.499858,EXACT_PROFILE_EQUIVALENCE_REUSE,66,1698,11.972
DVE026,1400,2,2800,2,2798,1399,1399,1399,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,42,1357,10.992
DVE027,1403,6,8418,8,8410,8006,8006,404,0.048038,EXACT_PROFILE_EQUIVALENCE_REUSE,44,7962,29.769
DVE028,1012,2,2024,2,2022,1011,1011,1011,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,38,973,9.901
DVE029,1221,29,35409,30,35379,9404,9404,25975,0.734193,EXACT_PROFILE_EQUIVALENCE_REUSE,173,9231,60.317
DVE030,1086,2,2172,2,2170,1085,1085,1085,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,27,1058,9.279
DVE031,1230,8,9840,9,9831,5351,5351,4480,0.455701,EXACT_PROFILE_EQUIVALENCE_REUSE,140,5211,24.558
DVE032,1138,2,2276,2,2274,1137,1137,1137,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,24,1113,9.336
DVE033,1366,2,2732,2,2730,1365,1365,1365,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,41,1324,11.078
