event_id,lateral_factors,transition_factors,raw_combinations,unique_configurations,full_proxy_before,full_proxy_after,exact_profile_reuses,station_basis_builds_after,lateral_ms_after,proxy_ms_before,proxy_ms_after,lex_ms_before,lex_ms_after,coverage_ms_before,coverage_ms_after,validation_ms_after,r3_total_ms_before,r3_total_ms_after,r3_runtime_reduction_fraction
VUE019,4471,16,71536,71506,71506,71506,0,32,9.732,156.649,116.055,43.912,3.380,13.384,5.104,3.285,263.354,166.174,0.369009
VUE021,4145,12,49740,49719,49719,41065,8654,392,9.135,96.135,79.604,48.705,2.089,10.244,3.611,2.592,184.201,111.443,0.394991
VUE025,3238,12,38856,38836,38836,28523,10313,524,5.901,76.643,62.252,23.613,1.321,9.401,3.027,3.501,134.078,87.549,0.347030
DVE012,1249,29,36221,36191,36191,8191,28000,153,2.455,64.527,25.441,2.603,0.691,28.249,9.917,5.054,121.190,54.503,0.550265
V2E06,2995,12,35940,35918,35918,35918,0,24,6.067,89.473,60.183,24.678,1.502,6.874,2.460,2.921,147.179,85.949,0.416020
DVE029,1221,29,35409,35379,35379,9404,25975,173,2.188,74.981,30.400,3.402,0.718,22.166,7.974,6.016,128.679,60.317,0.531261
VUE027,1220,29,35380,35350,35350,8700,26650,137,2.405,64.296,26.808,3.064,0.628,25.602,8.399,0.911,114.933,50.549,0.560186
DVE024,1217,29,35293,35263,35263,11313,23950,121,2.301,63.718,28.098,5.138,0.745,22.438,7.722,5.021,117.853,55.132,0.532201
DVE039,2648,12,31776,31758,31758,31758,0,24,5.327,80.899,55.702,21.749,1.342,6.017,1.945,5.190,136.111,82.899,0.390942
VUE037,2248,14,31472,31455,31455,15728,15727,427,4.604,54.067,34.111,18.349,0.709,15.091,6.004,2.714,110.386,58.966,0.465818
VUE032,2724,9,24516,24504,24504,24504,0,9,6.778,41.787,34.133,16.786,1.149,4.691,1.539,3.207,78.880,53.022,0.327819
VUE001,1378,9,12402,12390,12390,6885,5505,255,3.267,30.033,20.244,10.693,0.393,2.918,0.873,3.178,56.653,34.235,0.395698
