dataset_role,event_id,ordered_factor_candidates_exact,expected_reconstructed_count,integrated_reconstructed_count,reconstructed_count_exact,expected_duplicate_path_count,integrated_duplicate_path_count,path_digest_sequence_exact,expected_validator_calls,integrated_validator_calls,validator_count_exact,validator_verdict_sequence_exact,expected_hard_valid_count,integrated_hard_valid_count,hard_valid_sequence_exact,expected_usable_valid_count,integrated_usable_valid_count,usable_valid_sequence_exact,expected_hard_recovered,integrated_hard_recovered,expected_selected_path_digest,integrated_selected_path_digest,selected_candidate_exact,downstream_selected_path_digest,downstream_selected_candidate_exact,recovery_outcome_exact,factor_pool_count_exact,overall_parity,integrated_r3_runtime_us
DEVELOPMENT,DVE001,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,e2eb5f74d5b88b8d,e2eb5f74d5b88b8d,True,e2eb5f74d5b88b8d,True,True,True,True,100404.219
DEVELOPMENT,DVE002,True,12,12,True,1,1,True,11,11,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,136072.24900000001
DEVELOPMENT,DVE003,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,93496.793000000005
DEVELOPMENT,DVE004,True,12,12,True,2,2,True,10,10,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,58414.055
DEVELOPMENT,DVE005,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,124426.55
DEVELOPMENT,DVE006,True,12,12,True,1,1,True,11,11,True,True,1,1,True,0,0,True,True,True,8e50fafacdd7d1eb,8e50fafacdd7d1eb,True,8e50fafacdd7d1eb,True,True,True,True,86788.592999999993
DEVELOPMENT,DVE007,True,12,12,True,2,2,True,10,10,True,True,1,1,True,0,0,True,True,True,19d0c38394f7bb60,19d0c38394f7bb60,True,19d0c38394f7bb60,True,True,True,True,37494.156000000003
DEVELOPMENT,DVE008,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,37337.688999999998
DEVELOPMENT,DVE009,True,12,12,True,2,2,True,10,10,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,117342.48
DEVELOPMENT,DVE010,True,12,12,True,1,1,True,11,11,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,120200.90300000001
DEVELOPMENT,DVE011,True,12,12,True,2,2,True,10,10,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,67405.534
DEVELOPMENT,DVE012,True,12,12,True,0,0,True,12,12,True,True,11,11,True,11,11,True,True,True,c9592fe79d4433fa,c9592fe79d4433fa,True,c9592fe79d4433fa,True,True,True,True,605169.48300000001
DEVELOPMENT,DVE013,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,83067.163
DEVELOPMENT,DVE014,True,12,12,True,0,0,True,12,12,True,True,7,7,True,7,7,True,True,True,688f323ac5b5281a,688f323ac5b5281a,True,688f323ac5b5281a,True,True,True,True,172388.46599999999
DEVELOPMENT,DVE015,True,12,12,True,6,6,True,6,6,True,True,6,6,True,6,6,True,True,True,9b0793775cd3b8b8,9b0793775cd3b8b8,True,9b0793775cd3b8b8,True,True,True,True,52451.856
DEVELOPMENT,DVE016,True,12,12,True,2,2,True,10,10,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,63787.012000000002
DEVELOPMENT,DVE017,True,12,12,True,6,6,True,6,6,True,True,6,6,True,6,6,True,True,True,82eaaab619268bd5,82eaaab619268bd5,True,82eaaab619268bd5,True,True,True,True,63917.298999999999
DEVELOPMENT,DVE018,True,12,12,True,0,0,True,12,12,True,True,11,11,True,11,11,True,True,True,05e5129feeb9bbf9,05e5129feeb9bbf9,True,05e5129feeb9bbf9,True,True,True,True,174225.78400000001
DEVELOPMENT,DVE019,True,12,12,True,0,0,True,12,12,True,True,12,12,True,0,0,True,True,True,d1b5e3403259b068,d1b5e3403259b068,True,d1b5e3403259b068,True,True,True,True,137164.51000000001
DEVELOPMENT,DVE020,True,12,12,True,0,0,True,12,12,True,True,12,12,True,12,12,True,True,True,c95cc95d0d3cbe89,c95cc95d0d3cbe89,True,c95cc95d0d3cbe89,True,True,True,True,81846.813999999998
DEVELOPMENT,DVE021,True,12,12,True,2,2,True,10,10,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,52016.343000000001
DEVELOPMENT,DVE022,True,12,12,True,1,1,True,11,11,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,69399.081999999995
DEVELOPMENT,DVE023,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,91111.100000000006
DEVELOPMENT,DVE024,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,9f99c6723d90def5,9f99c6723d90def5,True,9f99c6723d90def5,True,True,True,True,697352.98499999999
DEVELOPMENT,DVE025,True,12,12,True,2,2,True,10,10,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,59641.603000000003
DEVELOPMENT,DVE026,True,12,12,True,2,2,True,10,10,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,76296.501999999993
DEVELOPMENT,DVE027,True,12,12,True,1,1,True,11,11,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,315765.95199999999
DEVELOPMENT,DVE028,True,12,12,True,1,1,True,11,11,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,52678.186999999998
DEVELOPMENT,DVE029,True,12,12,True,0,0,True,12,12,True,True,6,6,True,6,6,True,True,True,773b52090be7cece,773b52090be7cece,True,773b52090be7cece,True,True,True,True,624847.73100000003
DEVELOPMENT,DVE030,True,12,12,True,2,2,True,10,10,True,True,4,4,True,4,4,True,True,True,7bfffdb6149d2531,7bfffdb6149d2531,True,7bfffdb6149d2531,True,True,True,True,74773.835999999996
DEVELOPMENT,DVE031,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,48f18152a68e6dc7,48f18152a68e6dc7,True,48f18152a68e6dc7,True,True,True,True,172402.247
DEVELOPMENT,DVE032,True,12,12,True,1,1,True,11,11,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,78698.839999999997
DEVELOPMENT,DVE033,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,76413.326000000001
DEVELOPMENT,DVE034,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,214207.87899999999
DEVELOPMENT,DVE035,True,12,12,True,0,0,True,12,12,True,True,0,0,True,0,0,True,False,False,NONE,NONE,True,NONE,True,True,True,True,100562.715
