event_id,bag,input_sha256,baseline_selected_path_digest,integrated_selected_path_digest,selected_result_exact,production_candidate_sequence_exact,r3_invoked,extra_r3_validator_calls,production_success_noninterference
SCE001,rosbag2_2026_08_24-19_00_30,1fb4df0c9eb1ac543a584f295ea6ec7b3ae377644571884de8e84f2e64133394,d9d23404d663942d,d9d23404d663942d,True,True,False,0,True
SCE002,rosbag2_2026_08_24-19_00_30,4cfa476eebbdbfb89e22bb1ba8800d8e78d1e4b0e117d0292b8685f9e167a809,d8755f76f270feba,d8755f76f270feba,True,True,False,0,True
SCE003,rosbag2_2026_08_24-19_00_30,18818e3b4b96b1d39851b7a1e16855d37d6408ae5842e40e7014541da60719e6,ca12d99729f10d84,ca12d99729f10d84,True,True,False,0,True
SCE004,rosbag2_2026_08_24-19_00_30,747a17c4ab04e4395c49cc0f51f9af7e0d81f90ab901f279313ea1efb6b98543,6f083f28fdccfd41,6f083f28fdccfd41,True,True,False,0,True
SCE005,rosbag2_2026_08_24-19_00_30,449d601c2351375b65d6b0e71c324c775d05a55d65441b32a7a1620b14799c81,3d31c4c5eac6c042,3d31c4c5eac6c042,True,True,False,0,True
SCE006,rosbag2_2026_08_24-19_00_30,562557a3507ec85ec321ab93b3c1c2f32085ee0a5482512301fa2a4af6693e6d,d96df603ea031f4c,d96df603ea031f4c,True,True,False,0,True
SCE007,rosbag2_2026_08_24-19_24_17,ec2e9f32d7681bdfe3c7e88a3ffca4fc44ecf613732f206bda2ee24bed617be7,9a31c3bebb8cb06a,9a31c3bebb8cb06a,True,True,False,0,True
SCE008,rosbag2_2026_08_24-19_24_17,fa1d69fecbc25a2ea30c60223a15e2b376d166e06abff25a04e05d50efa648a8,4f6c3c15a0d151a0,4f6c3c15a0d151a0,True,True,False,0,True
SCE009,rosbag2_2026_08_24-19_24_17,90d49eb872627b2f48b2b9ef651c820ca2edbbec02c326c6286ac56f23b13b3b,88bc845606133104,88bc845606133104,True,True,False,0,True
SCE010,rosbag2_2026_08_24-19_24_17,6b467309317be309627ecf4ab2233a639e53e1a2400cc07e857215a420b0d27d,1d495bf3a3b40011,1d495bf3a3b40011,True,True,False,0,True
SCE011,rosbag2_2026_08_24-19_24_17,bbdaabf87b89f30cf1a008c04b94d92820deaf3f670964781bfbd4a84ba7d0f6,6fe2f85a25f7122c,6fe2f85a25f7122c,True,True,False,0,True
SCE012,rosbag2_2026_08_24-19_24_17,d465a22546fa54766af9be65a42939652878dbbbe3c80ad1a17d6f2359195fb3,f66f519b83d696c3,f66f519b83d696c3,True,True,False,0,True
SCE013,rosbag2_2026_08_25-09_59_22,cda4bde690e9301ce77221722703df2807eaab5e325f02e788d191133acff4e0,aed80d485d7984de,aed80d485d7984de,True,True,False,0,True
SCE014,rosbag2_2026_08_25-09_59_22,646551eb1793d4f1c6ed87de64fe158e7bf891f6de785f90c3f108404a787abb,a314c4416281ed3c,a314c4416281ed3c,True,True,False,0,True
SCE015,rosbag2_2026_08_25-09_59_22,14fbce96332a45942c97c51a205efb88d8ca333bf5d3601893d545ef04d62e09,ca65eca6c9dede70,ca65eca6c9dede70,True,True,False,0,True
SCE016,rosbag2_2026_08_25-09_59_22,78e4c43eef811fa6cc819d5a5cfd0da69a95aec80d252513803e3dd3554fdeec,4414e2c129a6650a,4414e2c129a6650a,True,True,False,0,True
SCE017,rosbag2_2026_08_25-09_59_22,dad77548e48eef82383f3a392823afee75caafe7e65745b6ef40bc79bf1a36e4,cf72e6e5b7947ceb,cf72e6e5b7947ceb,True,True,False,0,True
SCE018,rosbag2_2026_08_25-09_59_22,572adb59ea24f3f06bed7502eb870e57a33a5416e8630106b67bc2b1d0b405bf,8a01d50ce464f2c3,8a01d50ce464f2c3,True,True,False,0,True
