dataset_role,event_id,ordered_factor_candidates_exact,expected_reconstructed_count,integrated_reconstructed_count,reconstructed_count_exact,expected_duplicate_path_count,integrated_duplicate_path_count,path_digest_sequence_exact,expected_validator_calls,integrated_validator_calls,validator_count_exact,validator_verdict_sequence_exact,expected_hard_valid_count,integrated_hard_valid_count,hard_valid_sequence_exact,expected_usable_valid_count,integrated_usable_valid_count,usable_valid_sequence_exact,expected_hard_recovered,integrated_hard_recovered,expected_selected_path_digest,integrated_selected_path_digest,selected_candidate_exact,downstream_selected_path_digest,downstream_selected_candidate_exact,recovery_outcome_exact,factor_pool_count_exact,overall_parity,integrated_r3_runtime_us
DEVELOPMENT,DVE001,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,e2eb5f74d5b88b8d,e2eb5f74d5b88b8d,True,e2eb5f74d5b88b8d,True,True,True,True,100404.219
DEVELOPMENT,DVE006,True,12,12,True,1,1,True,11,11,True,True,1,1,True,0,0,True,True,True,8e50fafacdd7d1eb,8e50fafacdd7d1eb,True,8e50fafacdd7d1eb,True,True,True,True,86788.592999999993
DEVELOPMENT,DVE007,True,12,12,True,2,2,True,10,10,True,True,1,1,True,0,0,True,True,True,19d0c38394f7bb60,19d0c38394f7bb60,True,19d0c38394f7bb60,True,True,True,True,37494.156000000003
DEVELOPMENT,DVE012,True,12,12,True,0,0,True,12,12,True,True,11,11,True,11,11,True,True,True,c9592fe79d4433fa,c9592fe79d4433fa,True,c9592fe79d4433fa,True,True,True,True,605169.48300000001
DEVELOPMENT,DVE014,True,12,12,True,0,0,True,12,12,True,True,7,7,True,7,7,True,True,True,688f323ac5b5281a,688f323ac5b5281a,True,688f323ac5b5281a,True,True,True,True,172388.46599999999
DEVELOPMENT,DVE015,True,12,12,True,6,6,True,6,6,True,True,6,6,True,6,6,True,True,True,9b0793775cd3b8b8,9b0793775cd3b8b8,True,9b0793775cd3b8b8,True,True,True,True,52451.856
DEVELOPMENT,DVE017,True,12,12,True,6,6,True,6,6,True,True,6,6,True,6,6,True,True,True,82eaaab619268bd5,82eaaab619268bd5,True,82eaaab619268bd5,True,True,True,True,63917.298999999999
DEVELOPMENT,DVE018,True,12,12,True,0,0,True,12,12,True,True,11,11,True,11,11,True,True,True,05e5129feeb9bbf9,05e5129feeb9bbf9,True,05e5129feeb9bbf9,True,True,True,True,174225.78400000001
DEVELOPMENT,DVE019,True,12,12,True,0,0,True,12,12,True,True,12,12,True,0,0,True,True,True,d1b5e3403259b068,d1b5e3403259b068,True,d1b5e3403259b068,True,True,True,True,137164.51000000001
DEVELOPMENT,DVE020,True,12,12,True,0,0,True,12,12,True,True,12,12,True,12,12,True,True,True,c95cc95d0d3cbe89,c95cc95d0d3cbe89,True,c95cc95d0d3cbe89,True,True,True,True,81846.813999999998
DEVELOPMENT,DVE024,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,9f99c6723d90def5,9f99c6723d90def5,True,9f99c6723d90def5,True,True,True,True,697352.98499999999
DEVELOPMENT,DVE029,True,12,12,True,0,0,True,12,12,True,True,6,6,True,6,6,True,True,True,773b52090be7cece,773b52090be7cece,True,773b52090be7cece,True,True,True,True,624847.73100000003
DEVELOPMENT,DVE030,True,12,12,True,2,2,True,10,10,True,True,4,4,True,4,4,True,True,True,7bfffdb6149d2531,7bfffdb6149d2531,True,7bfffdb6149d2531,True,True,True,True,74773.835999999996
DEVELOPMENT,DVE031,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,48f18152a68e6dc7,48f18152a68e6dc7,True,48f18152a68e6dc7,True,True,True,True,172402.247
DEVELOPMENT,DVE037,True,12,12,True,1,1,True,11,11,True,True,6,6,True,6,6,True,True,True,237b14031c68c366,237b14031c68c366,True,237b14031c68c366,True,True,True,True,114862.88400000001
DEVELOPMENT,DVE038,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,57c2b1138d9350ba,57c2b1138d9350ba,True,57c2b1138d9350ba,True,True,True,True,83100.688999999998
DEVELOPMENT,DVE039,True,12,12,True,0,0,True,12,12,True,True,1,1,True,1,1,True,True,True,3dc1c37301f2f101,3dc1c37301f2f101,True,3dc1c37301f2f101,True,True,True,True,1395646.1459999999
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,True,12,12,True,5,5,True,7,7,True,True,5,5,True,5,5,True,True,True,e08dc6cd11cfc0b6,e08dc6cd11cfc0b6,True,e08dc6cd11cfc0b6,True,True,True,True,165032.54000000001
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,True,12,12,True,1,1,True,11,11,True,True,11,11,True,11,11,True,True,True,2795736f29e94f82,2795736f29e94f82,True,2795736f29e94f82,True,True,True,True,116984.81299999999
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,True,12,12,True,2,2,True,10,10,True,True,3,3,True,3,3,True,True,True,0e80da04fd67df6e,0e80da04fd67df6e,True,0e80da04fd67df6e,True,True,True,True,176795.07699999999
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,True,12,12,True,1,1,True,11,11,True,True,10,10,True,10,10,True,True,True,f7162e74c257326c,f7162e74c257326c,True,f7162e74c257326c,True,True,True,True,300786.38
VALIDATION_SEEN_AFTER_V1,VUE004,True,12,12,True,0,0,True,12,12,True,True,6,6,True,6,6,True,True,True,fd83e76f796eea5b,fd83e76f796eea5b,True,fd83e76f796eea5b,True,True,True,True,124345.825
VALIDATION_SEEN_AFTER_V1,VUE005,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,1fe5aee2e5533c11,1fe5aee2e5533c11,True,1fe5aee2e5533c11,True,True,True,True,181838.76999999999
VALIDATION_SEEN_AFTER_V1,VUE006,True,12,12,True,0,0,True,12,12,True,True,11,11,True,11,11,True,True,True,527c46d70c16e157,527c46d70c16e157,True,527c46d70c16e157,True,True,True,True,205570.87299999999
VALIDATION_SEEN_AFTER_V1,VUE007,True,12,12,True,0,0,True,12,12,True,True,11,11,True,11,11,True,True,True,27f98bf62a6b2b58,27f98bf62a6b2b58,True,27f98bf62a6b2b58,True,True,True,True,178022.56599999999
VALIDATION_SEEN_AFTER_V1,VUE008,True,12,12,True,0,0,True,12,12,True,True,2,2,True,2,2,True,True,True,66717e3ce272da88,66717e3ce272da88,True,66717e3ce272da88,True,True,True,True,121594.71000000001
VALIDATION_SEEN_AFTER_V1,VUE011,True,12,12,True,0,0,True,12,12,True,True,1,1,True,0,0,True,True,True,117f2f81c198ebe0,117f2f81c198ebe0,True,117f2f81c198ebe0,True,True,True,True,90232.930999999997
VALIDATION_SEEN_AFTER_V1,VUE018,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,98ccabf32fa2e493,98ccabf32fa2e493,True,98ccabf32fa2e493,True,True,True,True,178259.49400000001
VALIDATION_SEEN_AFTER_V1,VUE020,True,12,12,True,2,2,True,10,10,True,True,1,1,True,1,1,True,True,True,814707825e82708f,814707825e82708f,True,814707825e82708f,True,True,True,True,52285.703000000001
VALIDATION_SEEN_AFTER_V1,VUE023,True,12,12,True,6,6,True,6,6,True,True,6,6,True,6,6,True,True,True,0ed880b978756604,0ed880b978756604,True,0ed880b978756604,True,True,True,True,53921.281999999999
VALIDATION_SEEN_AFTER_V1,VUE024,True,12,12,True,0,0,True,12,12,True,True,11,11,True,11,11,True,True,True,e818f80ed497a8f9,e818f80ed497a8f9,True,e818f80ed497a8f9,True,True,True,True,63647.059000000001
VALIDATION_SEEN_AFTER_V1,VUE025,True,12,12,True,1,1,True,11,11,True,True,1,1,True,1,1,True,True,True,90d5749d559fb39c,90d5749d559fb39c,True,90d5749d559fb39c,True,True,True,True,1614522
VALIDATION_SEEN_AFTER_V1,VUE026,True,12,12,True,0,0,True,12,12,True,True,1,1,True,1,1,True,True,True,3c2c2e8b167ff096,3c2c2e8b167ff096,True,3c2c2e8b167ff096,True,True,True,True,107243.018
VALIDATION_SEEN_AFTER_V1,VUE027,True,12,12,True,9,9,True,3,3,True,True,2,2,True,2,2,True,True,True,748ed7e8280317df,748ed7e8280317df,True,748ed7e8280317df,True,True,True,True,594247.353
VALIDATION_SEEN_AFTER_V1,VUE028,True,12,12,True,0,0,True,12,12,True,True,10,10,True,10,10,True,True,True,c5befcfebed2d72d,c5befcfebed2d72d,True,c5befcfebed2d72d,True,True,True,True,217967.65700000001
VALIDATION_SEEN_AFTER_V1,VUE030,True,12,12,True,0,0,True,12,12,True,True,9,9,True,9,9,True,True,True,b8731f9e01f2fd83,b8731f9e01f2fd83,True,b8731f9e01f2fd83,True,True,True,True,162790.87899999999
VALIDATION_SEEN_AFTER_V1,VUE032,True,12,12,True,0,0,True,12,12,True,True,8,8,True,8,8,True,True,True,411e0416cb3c31b9,411e0416cb3c31b9,True,411e0416cb3c31b9,True,True,True,True,1024064.639
VALIDATION_SEEN_AFTER_V1,VUE033,True,12,12,True,1,1,True,11,11,True,True,10,10,True,10,10,True,True,True,7c3ce75fe7740ebe,7c3ce75fe7740ebe,True,7c3ce75fe7740ebe,True,True,True,True,82573.134999999995
VALIDATION_SEEN_AFTER_V1,VUE034,True,12,12,True,0,0,True,12,12,True,True,6,6,True,6,6,True,True,True,915744af2211bf84,915744af2211bf84,True,915744af2211bf84,True,True,True,True,82752.968999999997
VALIDATION_SEEN_AFTER_V1,VUE036,True,12,12,True,0,0,True,12,12,True,True,2,2,True,2,2,True,True,True,f518c26be9229c24,f518c26be9229c24,True,f518c26be9229c24,True,True,True,True,85498.001999999993
