category,mode,events,metric,p50_us,p90_us,p95_us,p99_us,max_us,interpretation
A,PRODUCTION_EQUIVALENT_OFF,86,r3_total,17188.452,112659.168,132728.050,196073.692,263353.693,DEPLOYABLE_R3_CORE
A,PRODUCTION_EQUIVALENT_OFF,86,full_evaluator_wall,29797.894,140076.819,166053.383,223224.969,303857.978,STRICT_RELAXED_PLUS_R3
B,INSTRUMENTATION_ON,86,r3_total,17842.384,113618.647,132510.456,203098.281,272167.572,R3_WITH_ACTIVE_RESEARCH_CYCLE
B,INSTRUMENTATION_ON,86,research_lineage,100.228,141.534,144.071,170.427,271.123,RESEARCH_ONLY
B,INSTRUMENTATION_ON,86,research_capture,95.735,153.628,170.024,194.297,210.401,RESEARCH_ONLY
B,INSTRUMENTATION_ON,86,research_json_serialization,2538.681,5166.324,6560.743,7633.758,8223.196,PURE_SERIALIZATION_NO_DISK_IO
B,INSTRUMENTATION_ON,86,full_evaluator_wall,30543.896,141676.304,164234.974,231132.808,313766.988,INCLUDES_LINEAGE_AND_CAPTURE
C,PRODUCTION_EQUIVALENT_OFF,86,standalone_harness_overhead,4743.900,5219.030,5350.984,5659.706,6091.908,PROCESS_STARTUP_OUTPUT_AND_UNACCOUNTED_COST
C,INSTRUMENTATION_ON,86,standalone_harness_overhead,4786.924,5158.596,5272.816,5726.954,5790.922,EXCLUDES_EXPLICIT_SERIALIZATION_TIMER
C,PRODUCTION_EQUIVALENT_OFF,86,standalone_process_wall,35827.010,146558.090,172830.034,229946.207,311292.588,NOT_PLANNER_CALLBACK_LATENCY
C,INSTRUMENTATION_ON,86,standalone_process_wall,39298.274,153982.906,175923.760,244012.413,327970.033,NOT_PLANNER_CALLBACK_LATENCY
