stage,mode,events,phase,p50_us,p90_us,p95_us,p99_us,max_us
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,r3_total,213801.122,1242704.269,2489205.770,4248128.964,6062728.460
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,context_preparation,6.970,17.110,21.109,31.226,31.828
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,geometry_preparation,486.707,532.550,661.508,769.969,771.744
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,transition_generation,47.767,125.107,177.163,196.210,198.617
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,lateral_factor_generation,61514.866,102861.880,152722.943,244906.863,269452.049
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,pair_priority_computation,62218.452,615590.052,1016211.756,1696776.666,2538514.576
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,lexicographic_ordering,13349.031,157339.600,184190.582,262806.890,374008.192
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,coverage_ordering,52857.754,322629.574,1047359.724,1820189.221,2542533.951
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,shape_deduplication,6264.985,37164.125,85080.545,156640.052,243158.874
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,candidate_deduplication,9.916,11.051,11.448,12.318,12.412
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,p3_reconstruction,2514.540,7053.756,8043.840,11412.249,12301.498
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,exact_validation,1926.050,5083.763,5987.762,8093.029,12024.768
BEFORE,PRODUCTION_EQUIVALENT_OFF,86,final_ranking,0.622,8.105,8.309,8.892,9.199
AFTER,PRODUCTION_EQUIVALENT_OFF,86,r3_total,17188.452,112659.168,132728.050,196073.692,263353.693
AFTER,PRODUCTION_EQUIVALENT_OFF,86,context_preparation,7.075,17.838,23.466,33.358,52.353
AFTER,PRODUCTION_EQUIVALENT_OFF,86,geometry_preparation,488.904,688.480,719.952,809.583,906.385
AFTER,PRODUCTION_EQUIVALENT_OFF,86,transition_generation,12.517,28.139,32.701,37.764,40.226
AFTER,PRODUCTION_EQUIVALENT_OFF,86,lateral_factor_generation,2770.976,4308.352,6442.006,9689.651,10181.253
AFTER,PRODUCTION_EQUIVALENT_OFF,86,pair_priority_computation,6322.085,58892.330,76227.611,105211.671,156648.764
AFTER,PRODUCTION_EQUIVALENT_OFF,86,lexicographic_ordering,995.000,8379.929,20898.920,44630.638,48705.212
AFTER,PRODUCTION_EQUIVALENT_OFF,86,coverage_ordering,1329.445,6697.984,14664.436,25999.280,28249.093
AFTER,PRODUCTION_EQUIVALENT_OFF,86,shape_deduplication,37.915,45.070,52.570,54.624,55.543
AFTER,PRODUCTION_EQUIVALENT_OFF,86,candidate_deduplication,10.281,12.119,12.488,13.744,14.384
AFTER,PRODUCTION_EQUIVALENT_OFF,86,p3_reconstruction,1845.903,3834.649,4180.615,7543.340,8518.744
AFTER,PRODUCTION_EQUIVALENT_OFF,86,exact_validation,1987.180,5124.206,6036.686,9501.012,12045.643
AFTER,PRODUCTION_EQUIVALENT_OFF,86,final_ranking,0.633,8.248,8.561,9.256,9.649
