dataset_role,event_id,budget_b,miss_class,teacher_stream,teacher_side,teacher_d_target,teacher_d_mid,teacher_entry_scale,teacher_exit_scale,teacher_target_source,teacher_mid_source,lateral_present,transition_present,exact_pair_present,exact_pair_selected,pair_proxy_evaluations
DEVELOPMENT,DVE020,24,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.6375,-0.6575,0.7136694116555473,0.4971684162574945,PRODUCTION_TARGET_PLUS_0.06M,TARGET_MINUS_0.02M,False,True,False,False,24
DEVELOPMENT,DVE037,24,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,LEFT,0.6331416616605761,0.6220880155143621,0.7136694116555473,0.4971684162574945,COMPONENT_C0_NEAR_TO_FAR_F0.66666667,TO_CORRIDOR_CENTER_1_F0.125,False,True,False,False,24
DEVELOPMENT,DVE039,24,LATERAL_HYPOTHESIS_ABSENT,COVERAGE_RESERVE_TOP2,RIGHT,-0.6496768991403512,-0.4996768991403512,1.310934367577036,3.1286619468037347,PRODUCTION_TARGET_MINUS_0.02M,TARGET_PLUS_0.15M,False,True,False,False,24
DEVELOPMENT,DVE039,32,LATERAL_HYPOTHESIS_ABSENT,COVERAGE_RESERVE_TOP2,RIGHT,-0.6496768991403512,-0.4996768991403512,1.310934367577036,3.1286619468037347,PRODUCTION_TARGET_MINUS_0.02M,TARGET_PLUS_0.15M,False,True,False,False,32
DEVELOPMENT,DVE039,48,LATERAL_HYPOTHESIS_ABSENT,COVERAGE_RESERVE_TOP2,RIGHT,-0.6496768991403512,-0.4996768991403512,1.310934367577036,3.1286619468037347,PRODUCTION_TARGET_MINUS_0.02M,TARGET_PLUS_0.15M,False,True,False,False,48
DEVELOPMENT,DVE039,64,LATERAL_HYPOTHESIS_ABSENT,COVERAGE_RESERVE_TOP2,RIGHT,-0.6496768991403512,-0.4996768991403512,1.310934367577036,3.1286619468037347,PRODUCTION_TARGET_MINUS_0.02M,TARGET_PLUS_0.15M,False,True,False,False,64
DEVELOPMENT,DVE039,96,LATERAL_HYPOTHESIS_ABSENT,COVERAGE_RESERVE_TOP2,RIGHT,-0.6496768991403512,-0.4996768991403512,1.310934367577036,3.1286619468037347,PRODUCTION_TARGET_MINUS_0.02M,TARGET_PLUS_0.15M,False,True,False,False,96
VALIDATION_SEEN_AFTER_V1,VUE004,24,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.2909543313009015,-0.33745718559459514,0.5145810930150512,0.6049868191659147,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.125,False,True,False,False,24
VALIDATION_SEEN_AFTER_V1,VUE004,32,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.2909543313009015,-0.33745718559459514,0.5145810930150512,0.6049868191659147,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.125,False,True,False,False,32
VALIDATION_SEEN_AFTER_V1,VUE018,24,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.33720848132730785,-0.35244962632503296,1.310934367577036,0.593401111722821,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.125,False,True,False,False,24
