dataset_role,budget_b,episode_count,oracle_v2_hard_feasible_count,oracle_v2_usable_feasible_count,exact_r3_hard_recovered,bounded_hard_recovered,exact_r3_usable_recovered,bounded_usable_recovered,additional_hard_failures_vs_exact_r3,additional_usable_failures_vs_exact_r3,hard_recoveries_not_selected_by_exact_r3,usable_recoveries_not_selected_by_exact_r3
DEVELOPMENT,24,40,23,17,17,15,14,11,4,3,2,0
VALIDATION_SEEN_AFTER_V1,24,37,25,19,19,14,18,11,7,7,2,0
COMBINED_SEEN,24,77,48,36,36,29,32,22,11,10,4,0
DEVELOPMENT,32,40,23,17,17,18,14,13,1,1,2,0
VALIDATION_SEEN_AFTER_V1,32,37,25,19,19,15,18,12,6,6,2,0
COMBINED_SEEN,32,77,48,36,36,33,32,25,7,7,4,0
DEVELOPMENT,48,40,23,17,17,18,14,13,1,1,2,0
VALIDATION_SEEN_AFTER_V1,48,37,25,19,19,18,18,15,3,3,2,0
COMBINED_SEEN,48,77,48,36,36,36,32,28,4,4,4,0
DEVELOPMENT,64,40,23,17,17,18,14,13,1,1,2,0
VALIDATION_SEEN_AFTER_V1,64,37,25,19,19,20,18,17,1,1,2,0
COMBINED_SEEN,64,77,48,36,36,38,32,30,2,2,4,0
DEVELOPMENT,96,40,23,17,17,18,14,13,1,1,2,0
VALIDATION_SEEN_AFTER_V1,96,37,25,19,19,21,18,18,0,0,2,0
COMBINED_SEEN,96,77,48,36,36,39,32,31,1,1,4,0
DEVELOPMENT,128,40,23,17,17,19,14,14,0,0,2,0
VALIDATION_SEEN_AFTER_V1,128,37,25,19,19,21,18,18,0,0,2,0
COMBINED_SEEN,128,77,48,36,36,40,32,32,0,0,4,0
