dataset_role,budget_b,episode_count,runtime_measurement,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,proposal_rank_p95_ms,geometry_prep_p95_ms,harness_process_wall_p95_ms,warning
DEVELOPMENT,24,40,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,46.463083504932,78.09946648776531,101.99293600744562,122.48076565942029,124.79247701412532,38.093595449754446,9.309898899664402,44.80201984260929,Includes Python and subprocess startup; not deployable C++ callback latency
VALIDATION_SEEN_AFTER_V1,24,37,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,50.73855099908542,104.02961000218055,123.55323579977266,141.38250587624498,151.06313698925078,69.79864040040414,9.326784010045232,46.53884979197756,Includes Python and subprocess startup; not deployable C++ callback latency
COMBINED_SEEN,24,77,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,48.25015299138613,100.48895500367507,119.77169380115812,131.0974354081553,151.06313698925078,64.37109800754116,9.350463200826198,46.280358391231864,Includes Python and subprocess startup; not deployable C++ callback latency
DEVELOPMENT,32,40,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,53.44105350377504,82.53822308906821,110.03455699756154,137.0514329096477,142.02593399386387,47.28883855714225,9.309898899664402,44.821107851748806,Includes Python and subprocess startup; not deployable C++ callback latency
VALIDATION_SEEN_AFTER_V1,32,37,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,56.58251399290748,115.49197041313164,134.55788480641786,161.4731691341149,175.20950300968252,82.35581320477651,9.326784010045232,46.65271120902617,Includes Python and subprocess startup; not deployable C++ callback latency
COMBINED_SEEN,32,77,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,55.80870600533672,105.13828400289644,130.2034626074601,149.98999055766018,175.20950300968252,74.2178396059899,9.350463200826198,46.65271120902617,Includes Python and subprocess startup; not deployable C++ callback latency
DEVELOPMENT,48,40,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,65.47360299009597,102.90388519788394,134.6040549688041,163.46220858293233,175.30022100254428,80.23393770999971,9.309898899664402,46.43419774947687,Includes Python and subprocess startup; not deployable C++ callback latency
VALIDATION_SEEN_AFTER_V1,48,37,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,67.80461200105492,151.20624499977563,164.57895219500645,200.0838678813307,216.64023800985888,118.39683200232686,9.326784010045232,47.26403339009266,Includes Python and subprocess startup; not deployable C++ callback latency
COMBINED_SEEN,48,77,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,66.61662200349383,137.25744241382932,160.3666715993313,185.22182508429958,216.64023800985888,108.41498640074863,9.350463200826198,47.26403339009266,Includes Python and subprocess startup; not deployable C++ callback latency
DEVELOPMENT,64,40,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,80.14514099340886,123.27420219953638,169.10836275419564,211.85605843333175,228.6373149981955,106.18708804759069,9.309898899664402,48.75564855028642,Includes Python and subprocess startup; not deployable C++ callback latency
VALIDATION_SEEN_AFTER_V1,64,37,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,83.4808920044452,192.250646604225,208.7369332060917,241.14532215695363,250.17110499902628,163.17236860340932,9.326784010045232,47.34688380558511,Includes Python and subprocess startup; not deployable C++ callback latency
COMBINED_SEEN,64,77,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,81.580017998931,174.78557779977572,202.14728301216383,233.80542459839478,250.17110499902628,153.195492606028,9.350463200826198,48.92617620062083,Includes Python and subprocess startup; not deployable C++ callback latency
DEVELOPMENT,96,40,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,99.815221496101,190.40503419237214,213.61885294536455,314.3243666982744,329.03472598991357,183.8533657457445,9.309898899664402,49.00801754338317,Includes Python and subprocess startup; not deployable C++ callback latency
VALIDATION_SEEN_AFTER_V1,96,37,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,107.08606200932991,286.1892063985579,299.72950400842825,335.1341067237081,346.7704670038074,257.3798696073937,9.326784010045232,50.640959804877646,Includes Python and subprocess startup; not deployable C++ callback latency
COMBINED_SEEN,96,77,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,106.18353199970443,251.572968409164,295.8148906065617,333.291303833248,346.7704670038074,246.58200540579858,9.350463200826198,50.04683640436269,Includes Python and subprocess startup; not deployable C++ callback latency
DEVELOPMENT,128,40,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,112.58941699634306,269.59423189400695,294.052780991478,414.7767376086267,420.7107439870015,271.86128709436133,9.309898899664402,48.7060854997253,Includes Python and subprocess startup; not deployable C++ callback latency
VALIDATION_SEEN_AFTER_V1,128,37,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,137.11781498568598,358.0602034024196,382.5402726011817,415.9556567610707,424.5765530067729,340.47307540313346,9.326784010045232,48.017490192432895,Includes Python and subprocess startup; not deployable C++ callback latency
COMBINED_SEEN,128,77,OFFLINE_PYTHON_PLUS_CPP_HARNESS_WALL_PROXY,125.26384099328425,315.28647019877104,382.5402726011817,421.6385381517466,424.5765530067729,340.47307540313346,9.350463200826198,48.93983200017829,Includes Python and subprocess startup; not deployable C++ callback latency
