dataset_role,budget_b,episode_count,teacher_top12_micro_recall,teacher_top12_macro_recall,teacher_final_selected_defined_count,teacher_final_selected_present_count,teacher_final_selected_pair_pool_present_count
DEVELOPMENT,24,40,0.13245033112582782,0.13166666666666665,17,7,7
VALIDATION_SEEN_AFTER_V1,24,37,0.12177985948477751,0.11928746928746928,19,8,8
COMBINED_SEEN,24,77,0.12727272727272726,0.12571822117276663,36,15,15
DEVELOPMENT,32,40,0.15894039735099338,0.1578409090909091,17,7,7
VALIDATION_SEEN_AFTER_V1,32,37,0.1522248243559719,0.15032760032760034,19,10,10
COMBINED_SEEN,32,77,0.15568181818181817,0.1542306178669815,36,17,17
DEVELOPMENT,48,40,0.2052980132450331,0.2050378787878788,17,11,11
VALIDATION_SEEN_AFTER_V1,48,37,0.1990632318501171,0.1963963963963964,19,14,14
COMBINED_SEEN,48,77,0.20227272727272727,0.20088547815820543,36,25,25
DEVELOPMENT,64,40,0.23841059602649006,0.23833333333333334,17,11,11
VALIDATION_SEEN_AFTER_V1,64,37,0.23653395784543327,0.23308763308763308,19,15,15
COMBINED_SEEN,64,77,0.2375,0.23581267217630855,36,26,26
DEVELOPMENT,96,40,0.26048565121412803,0.25916666666666666,17,12,12
VALIDATION_SEEN_AFTER_V1,96,37,0.26697892271662765,0.262981162981163,19,18,18
COMBINED_SEEN,96,77,0.2636363636363636,0.26099960645415193,36,30,30
DEVELOPMENT,128,40,0.2913907284768212,0.28833333333333333,17,13,13
VALIDATION_SEEN_AFTER_V1,128,37,0.3091334894613583,0.30352170352170355,19,18,18
COMBINED_SEEN,128,77,0.3,0.29563164108618656,36,31,31
