dataset_role,event_id,budget_b,lateral_proposal_parity,transition_proposal_parity,pair_pool_order_parity,proxy_tuple_parity,selected_top12_config_parity,candidate_digest_parity,validator_verdict_parity,hard_usable_result_parity,final_selection_parity,all_parity,native_laterals,native_transitions,native_pair_proxies,native_reconstructions,native_validator_calls
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,96,1,1,1,1,1,1,1,1,1,1,38,7,96,12,8
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,9
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,64,1,1,1,1,1,1,1,1,1,1,36,3,64,12,9
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,96,1,1,1,1,1,1,1,1,1,1,40,3,96,12,8
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,128,1,1,1,1,1,1,1,1,1,1,40,3,118,12,8
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,64,1,1,1,1,1,1,1,1,1,1,32,7,64,12,11
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,96,1,1,1,1,1,1,1,1,1,1,32,7,96,12,11
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,128,1,1,1,1,1,1,1,1,1,1,32,7,128,12,11
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,64,1,1,1,1,1,1,1,1,1,1,32,5,64,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,96,1,1,1,1,1,1,1,1,1,1,32,5,96,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,128,1,1,1,1,1,1,1,1,1,1,32,5,128,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,96,1,1,1,1,1,1,1,1,1,1,48,7,96,12,12
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,128,1,1,1,1,1,1,1,1,1,1,64,7,128,12,12
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,64,1,1,1,1,1,1,1,1,1,1,32,7,64,12,11
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,96,1,1,1,1,1,1,1,1,1,1,32,7,96,12,11
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,128,1,1,1,1,1,1,1,1,1,1,32,7,128,12,10
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
DEVELOPMENT,DVE001,64,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
DEVELOPMENT,DVE001,96,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
DEVELOPMENT,DVE001,128,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
DEVELOPMENT,DVE002,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE002,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE002,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE003,64,1,1,1,1,1,1,1,1,1,1,36,2,64,12,12
DEVELOPMENT,DVE003,96,1,1,1,1,1,1,1,1,1,1,40,2,78,12,12
DEVELOPMENT,DVE003,128,1,1,1,1,1,1,1,1,1,1,40,2,78,12,12
DEVELOPMENT,DVE004,64,1,1,1,1,1,1,1,1,1,1,29,1,29,12,10
DEVELOPMENT,DVE004,96,1,1,1,1,1,1,1,1,1,1,29,1,29,12,10
DEVELOPMENT,DVE004,128,1,1,1,1,1,1,1,1,1,1,29,1,29,12,10
DEVELOPMENT,DVE005,64,1,1,1,1,1,1,1,1,1,1,28,6,64,12,10
DEVELOPMENT,DVE005,96,1,1,1,1,1,1,1,1,1,1,28,6,96,12,11
DEVELOPMENT,DVE005,128,1,1,1,1,1,1,1,1,1,1,28,6,128,12,12
DEVELOPMENT,DVE006,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
DEVELOPMENT,DVE006,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
DEVELOPMENT,DVE006,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
DEVELOPMENT,DVE007,64,1,1,1,1,1,1,1,1,1,1,28,1,28,12,10
DEVELOPMENT,DVE007,96,1,1,1,1,1,1,1,1,1,1,28,1,28,12,10
DEVELOPMENT,DVE007,128,1,1,1,1,1,1,1,1,1,1,28,1,28,12,10
DEVELOPMENT,DVE008,64,1,1,1,1,1,1,1,1,1,1,22,2,42,12,10
DEVELOPMENT,DVE008,96,1,1,1,1,1,1,1,1,1,1,22,2,42,12,10
DEVELOPMENT,DVE008,128,1,1,1,1,1,1,1,1,1,1,22,2,42,12,10
DEVELOPMENT,DVE009,64,1,1,1,1,1,1,1,1,1,1,36,3,64,12,10
DEVELOPMENT,DVE009,96,1,1,1,1,1,1,1,1,1,1,41,3,96,12,10
DEVELOPMENT,DVE009,128,1,1,1,1,1,1,1,1,1,1,41,3,121,12,10
DEVELOPMENT,DVE010,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
DEVELOPMENT,DVE010,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
DEVELOPMENT,DVE010,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
DEVELOPMENT,DVE011,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE011,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE011,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE012,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE012,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
DEVELOPMENT,DVE012,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
DEVELOPMENT,DVE013,64,1,1,1,1,1,1,1,1,1,1,36,2,64,12,10
DEVELOPMENT,DVE013,96,1,1,1,1,1,1,1,1,1,1,45,2,86,12,10
DEVELOPMENT,DVE013,128,1,1,1,1,1,1,1,1,1,1,45,2,86,12,10
DEVELOPMENT,DVE014,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE014,96,1,1,1,1,1,1,1,1,1,1,38,7,96,12,10
DEVELOPMENT,DVE014,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,11
DEVELOPMENT,DVE015,64,1,1,1,1,1,1,1,1,1,1,30,2,58,12,5
DEVELOPMENT,DVE015,96,1,1,1,1,1,1,1,1,1,1,30,2,58,12,5
DEVELOPMENT,DVE015,128,1,1,1,1,1,1,1,1,1,1,30,2,58,12,5
DEVELOPMENT,DVE016,64,1,1,1,1,1,1,1,1,1,1,21,6,64,12,10
DEVELOPMENT,DVE016,96,1,1,1,1,1,1,1,1,1,1,21,6,96,12,10
DEVELOPMENT,DVE016,128,1,1,1,1,1,1,1,1,1,1,21,6,126,12,10
DEVELOPMENT,DVE017,64,1,1,1,1,1,1,1,1,1,1,30,2,58,12,6
DEVELOPMENT,DVE017,96,1,1,1,1,1,1,1,1,1,1,30,2,58,12,6
DEVELOPMENT,DVE017,128,1,1,1,1,1,1,1,1,1,1,30,2,58,12,6
DEVELOPMENT,DVE018,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE018,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
DEVELOPMENT,DVE018,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
DEVELOPMENT,DVE019,64,1,1,1,1,1,1,1,1,1,1,36,2,64,12,11
DEVELOPMENT,DVE019,96,1,1,1,1,1,1,1,1,1,1,48,2,92,12,11
DEVELOPMENT,DVE019,128,1,1,1,1,1,1,1,1,1,1,55,2,106,12,11
DEVELOPMENT,DVE020,64,1,1,1,1,1,1,1,1,1,1,36,2,64,12,10
DEVELOPMENT,DVE020,96,1,1,1,1,1,1,1,1,1,1,40,2,78,12,10
DEVELOPMENT,DVE020,128,1,1,1,1,1,1,1,1,1,1,40,2,78,12,10
DEVELOPMENT,DVE021,64,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
DEVELOPMENT,DVE021,96,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
DEVELOPMENT,DVE021,128,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
DEVELOPMENT,DVE022,64,1,1,1,1,1,1,1,1,1,1,31,2,60,12,11
DEVELOPMENT,DVE022,96,1,1,1,1,1,1,1,1,1,1,31,2,60,12,11
DEVELOPMENT,DVE022,128,1,1,1,1,1,1,1,1,1,1,31,2,60,12,11
DEVELOPMENT,DVE023,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE023,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE023,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE024,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE024,96,1,1,1,1,1,1,1,1,1,1,38,7,96,12,10
DEVELOPMENT,DVE024,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,11
DEVELOPMENT,DVE025,64,1,1,1,1,1,1,1,1,1,1,21,6,64,12,10
DEVELOPMENT,DVE025,96,1,1,1,1,1,1,1,1,1,1,21,6,96,12,10
DEVELOPMENT,DVE025,128,1,1,1,1,1,1,1,1,1,1,21,6,126,12,10
DEVELOPMENT,DVE026,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE026,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE026,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE027,64,1,1,1,1,1,1,1,1,1,1,36,5,64,12,10
DEVELOPMENT,DVE027,96,1,1,1,1,1,1,1,1,1,1,48,5,96,12,10
DEVELOPMENT,DVE027,128,1,1,1,1,1,1,1,1,1,1,54,5,128,12,10
DEVELOPMENT,DVE028,64,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
DEVELOPMENT,DVE028,96,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
DEVELOPMENT,DVE028,128,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
DEVELOPMENT,DVE029,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE029,96,1,1,1,1,1,1,1,1,1,1,38,7,96,12,10
DEVELOPMENT,DVE029,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,11
DEVELOPMENT,DVE030,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE030,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE030,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE031,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE031,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
DEVELOPMENT,DVE031,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
DEVELOPMENT,DVE032,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE032,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE032,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE033,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE033,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
