budget_b,rank,event_id,p50_ms,p95_ms,max_ms
64,1,DVE029,69.1260715,69.3451799,69.421995
64,2,VUE019,53.1896495,53.3372711,53.364917999999996
64,3,DVE024,42.514517,42.6238371,42.657735
64,4,V2E06,40.974833000000004,41.129307250000004,41.208788999999996
64,5,VUE027,40.38295049999999,40.5896393,40.599696
64,6,DVE039,38.8787035,38.985789049999994,39.029509
64,7,DVE012,38.695423000000005,38.8905932,38.941745000000004
64,8,VUE025,38.356541500000006,38.465343450000006,38.4823
64,9,VUE021,32.5219765,32.746104700000004,32.845887000000005
64,10,DVE027,30.741415000000003,31.16097925,32.165438
96,1,DVE029,70.3868,70.6677839,70.75932399999999
96,2,VUE019,53.876017,54.12786915,54.214759
96,3,DVE024,42.7746075,43.60998250000001,47.850849000000004
96,4,V2E06,42.087811,42.29773135,42.298099
96,5,VUE027,40.9278345,41.11954875,41.303805999999994
96,6,DVE012,40.5614925,40.7585151,40.985586000000005
96,7,VUE025,39.9160335,40.008043799999996,40.04414
96,8,DVE039,39.824151,39.9186678,39.94173
96,9,DVE027,33.911486,34.1626948,34.166016000000006
96,10,VUE021,33.050416,33.20089900000001,33.221095999999996
128,1,DVE029,70.632493,70.84137584999999,70.909051
128,2,VUE019,54.0358205,54.46220895,55.070436
128,3,DVE024,43.342805,43.4345447,43.44915
128,4,V2E06,42.791604500000005,42.88614165,43.031466
128,5,VUE025,41.876609,41.95819395,41.981905
128,6,VUE027,41.469539,41.5936461,41.693645
128,7,DVE012,40.838314499999996,41.058006500000005,41.164396999999994
128,8,DVE039,40.31093799999999,40.38069065,40.544844
128,9,DVE027,34.703808499999994,34.8236118,35.016135000000006
128,10,VUE021,33.708941,33.794569349999996,33.806146999999996
