scope,dataset_role,event_id,declared_requests,emitted_candidate_rows,constructed_paths,validator_executions,unique_constructed_paths,hard_valid_rows,usable_valid_rows,runtime_wall_s,coverage_complete,event_count,hard_feasible_event_count,usable_feasible_event_count,oracle_v2_spec_sha256,evaluation_contract_sha256,exact_validator_harness_sha256,dataset_split_manifest_sha256,frozen_method_impl_sha256
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E01,680080,680080,28320,28320,7080,836,836,10.358193642001424,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E02,198633,198633,61215,61215,20409,1914,1914,10.780696280002303,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E03,600384,600384,118944,118944,35400,70,70,25.697881301010057,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E04,355545,355545,355545,355545,177785,0,0,67.46402683599445,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E05,131226,131226,116778,116778,48877,0,0,7.9000780880014645,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E06,1466268,1466268,1466268,1466268,732771,0,0,230.91720787999657,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E07,100408,100408,40424,40424,10106,0,0,3.9504417499920237,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E08,435752,435752,164904,164904,41218,8812,8812,18.88549924101244,True,,,,,,,,
EVENT,PILOT_SEEN_DEVELOPMENT_DATA,V2E09,111906,111906,38290,38290,13540,8,8,2.946657663989754,True,,,,,,,,
EVENT,DEVELOPMENT,DVE001,118672,118672,48840,48840,24420,3388,3388,3.629634498996893,True,,,,,,,,
EVENT,DEVELOPMENT,DVE002,90780,90780,35208,35208,8802,128,128,3.2537017009890405,True,,,,,,,,
EVENT,DEVELOPMENT,DVE003,153524,153524,75264,75264,37632,0,0,4.9516845980106154,True,,,,,,,,
EVENT,DEVELOPMENT,DVE004,68618,68618,656,656,328,6,0,1.3985575790065923,True,,,,,,,,
