dataset_role,event_id,method,candidate_budget_k,oracle_v2_hard_feasible,oracle_v2_usable_feasible,hard_valid_recovered,usable_valid_recovered,selected_or_constructed_candidate_count,validator_execution_count,unique_path_count,hard_valid_candidate_count,usable_valid_candidate_count,frozen_artifact_candidate_parity,frozen_artifact_candidate_parity_count,best_hard_path_digest,best_usable_path_digest
DEVELOPMENT,DVE001,PRODUCTION,PRODUCTION,True,True,False,False,2,2,2,0,0,,,,
DEVELOPMENT,DVE001,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,10,10,True,24,7c9db0501ba86a94,7c9db0501ba86a94
DEVELOPMENT,DVE001,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,6,6,True,24,f6eed4417b88de36,f6eed4417b88de36
DEVELOPMENT,DVE001,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,4,4,True,12,ebc38246c261ee30,ebc38246c261ee30
DEVELOPMENT,DVE002,PRODUCTION,PRODUCTION,True,True,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE002,H3_FIXED_BOUNDED,24,True,True,False,False,24,16,8,0,0,True,24,,
DEVELOPMENT,DVE002,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,14,9,0,0,True,24,,
DEVELOPMENT,DVE002,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,8,8,0,0,True,12,,
DEVELOPMENT,DVE003,PRODUCTION,PRODUCTION,False,False,False,False,3,3,3,0,0,,,,
DEVELOPMENT,DVE003,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE003,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE003,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
DEVELOPMENT,DVE004,PRODUCTION,PRODUCTION,True,False,False,False,1,1,1,0,0,,,,
DEVELOPMENT,DVE004,H3_FIXED_BOUNDED,24,True,False,True,False,23,5,5,1,0,True,23,02ad20ab80135e1b,
DEVELOPMENT,DVE004,H4A_GEOMETRY_TRANSITION,24,True,False,True,False,23,5,5,1,0,True,23,02ad20ab80135e1b,
DEVELOPMENT,DVE004,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,True,False,12,5,5,1,0,True,12,02ad20ab80135e1b,
DEVELOPMENT,DVE005,PRODUCTION,PRODUCTION,True,True,False,False,7,7,7,0,0,,,,
