dataset_role,event_id,bag,elapsed_s,callback_sequence,evaluation_sequence,old_oracle_label,oracle_v2_hard_label,oracle_v2_usable_label,declared_request_count,constructed_path_count,validator_execution_count,unique_constructed_path_digest_count,hard_valid_count,usable_valid_count,best_hard_gate,best_hard_side,best_hard_d_target,best_hard_d_mid,best_hard_entry_scale,best_hard_exit_scale,best_hard_path_digest,best_hard_exit_reaches_next_obstacle,best_hard_braking_deficit_m,best_hard_velocity_loss,best_hard_minimum_normalized_safety_slack,best_hard_obstacle_margin_m,best_usable_path_digest,exact_input_lineage,production_digest_and_validator_parity,coverage_complete,runtime_wall_s,old_negative_became_oracle_v2_positive,old_miss_cause_if_identifiable,historical_artifact_overwritten
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,721.860092154,28019,2,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,680080,28320,28320,7080,836,836,STRICT,RIGHT,-0.46687960954981944,-0.47376430315060353,0.51458109301505117,7.3975462023963852,b0d5999eabe2ac3a,0,0,0.12570475515961382,0.10067650843107985,1.5,b0d5999eabe2ac3a,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,10.358193642001424,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,rosbag2_2026_08_24-19_00_30,920.020217297,33976,2,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,198633,61215,61215,20409,1914,1914,STRICT,LEFT,0.030756168910272948,0.023067126682704713,1.310934367577036,6.6307072494084043,c8b76066c1c4ac4f,0,0,0.098635242793403799,0.0031259780611706811,0.0046889670917560217,c8b76066c1c4ac4f,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,10.780696280002303,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,rosbag2_2026_08_25-09_59_22,157.790274414,6394,2,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,600384,118944,118944,35400,70,70,STRICT,LEFT,0.19,0.1853345144734313,1.310934367577036,6.6207278693945026,35bab6d454c775ca,0,0,0.048660406755628868,0.00051641346742126171,0.00077462020113189256,35bab6d454c775ca,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,25.697881301010057,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,rosbag2_2026_08_25-09_59_22,671.170114851,25383,2,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,355545,355545,355545,177785,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,67.46402683599445,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,rosbag2_2026_08_24-19_00_30,577.84009522,20689,2,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,131226,116778,116778,48877,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,7.9000780880014645,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,rosbag2_2026_08_24-19_00_30,786.320082278,28885,2,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,1466268,1466268,1466268,732771,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,230.91720787999657,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,rosbag2_2026_08_24-19_00_30,552.200231483,19683,2,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,100408,40424,40424,10106,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.9504417499920237,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,rosbag2_2026_08_25-09_23_32,6.410459678,358,2,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,435752,164904,164904,41218,8812,8812,STRICT,RIGHT,-0.013881038497526265,-0.013881038497526265,0.51458109301505117,7.3975462023963852,b84ee779a02656de,0,0,0.075719214677682986,0.0050585300151426539,0.0075877950227139813,b84ee779a02656de,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,18.88549924101244,False,UNCHANGED,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,rosbag2_2026_08_25-09_59_22,538.290114425,20095,2,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,111906,38290,38290,13540,8,8,STRICT,RIGHT,-0.043039680886675001,-0.40267491727577143,0.71366941165554731,0.49716841625749453,b82e32da7c4203eb,0,0,0.12171778957853573,0.031398090058974849,0.047097135088462277,b82e32da7c4203eb,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.946657663989754,True,OLD_SEARCH_COVERAGE_GAP_BEST_V2_TUPLE_NOT_REQUESTED,False
DEVELOPMENT,DVE001,rosbag2_2026_08_25-09_59_22,955.620097445,36618,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,118672,48840,48840,24420,3388,3388,STRICT,RIGHT,-0.46782645683028812,-0.49180573094231489,0.71366941165554731,0.49716841625749453,924c05a1589f4353,0,0,0.20670612923563211,0.0060189973325805264,0.0090284959988707891,924c05a1589f4353,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.629634498996893,False,UNCHANGED,False
